model,seed_count,parameter_count,dev_gauc_mean,dev_gauc_std,dev_macro_auc_mean,dev_macro_auc_std,dev_auc_mean,dev_auc_std,dev_logloss_mean,dev_logloss_std,dev_brier_mean,dev_brier_std,dev_ece_mean,dev_ece_std,gauc_ensemble,gauc_ci_lower,gauc_ci_upper,auc_ensemble,auc_ci_lower,auc_ci_upper,macro_auc_ensemble,macro_auc_ci_lower,macro_auc_ci_upper,log_loss_ensemble,log_loss_ci_lower,log_loss_ci_upper,brier_ensemble,brier_ci_lower,brier_ci_upper,ece_ensemble,ece_ci_lower,ece_ci_upper
LR-content-only,5,18,0.5853747553922379,0.0,0.6027873438290104,0.0,0.5792133597011646,0.0,0.6534667520515818,0.0,0.2124002527274441,3.1031676915590914e-17,0.02238152898981335,0.0,0.5853747553922379,0.4956248941205328,0.6684589121827418,0.5792133597011646,0.5110882988448654,0.648129648234902,0.6027873438290104,0.5118454935333818,0.6876013104256853,0.6534667520515818,0.560015729517819,0.7784841059300344,0.21240025272744412,0.1826747314847629,0.2410069841459143,0.02238152898981335,0.018666246473501343,0.10681141181956572
DeepFM,5,3817,0.5664001402637766,0.017260121307884662,0.5853958433541766,0.019106343426164327,0.7389804438584926,0.013735506051887163,0.6369854612568521,0.04645243725860854,0.19877974564424378,0.0096122561747327,0.09778487910914677,0.02425468073100279,0.5518978593279292,0.45036630418294227,0.647113017425454,0.7452940745623673,0.656784323218161,0.8180149419899214,0.5731153954070621,0.47161088084369335,0.6689549848299849,0.5906850644213852,0.47861896825248623,0.7039845188695611,0.19320938124853368,0.1506115489291642,0.23222414987776324,0.09467781203536829,0.0706373291138863,0.15216692179384605
TimeAwareGRU-noEEG,5,5714,0.5647620134333421,0.06452586056228794,0.5755750083250084,0.08079911568150186,0.673170731707317,0.023953294178242393,0.7258964417635336,0.14503005207718536,0.230627870869611,0.024800966865138715,0.16353206332520823,0.04371817133647309,0.5599381581899066,0.4644242093349287,0.6550270641819079,0.7051197539002417,0.6161364051578582,0.7821415120077516,0.5823519266227599,0.4826649646649647,0.6798636466395557,0.5823063222499066,0.5127882779860523,0.6458732423049905,0.1980201847248706,0.1677603145452273,0.22515483940891923,0.088763437642779,0.06055583979490388,0.1491131342073145
HistGBDT,5,1890,0.5628197268931534,0.0,0.5842604155104155,0.0,0.7596132718083938,0.0,0.5356436645580165,0.0,0.18033568286082124,0.0,0.05662250231343546,0.0,0.5628197268931534,0.47365276474569235,0.653647634167445,0.7596132718083938,0.6851231731515343,0.8192981278194081,0.5842604155104155,0.49322557215511764,0.6762825846291755,0.5356436645580165,0.4532373594102987,0.6078158119925482,0.18033568286082124,0.14466085841722925,0.21079919967831381,0.05662250231343547,0.049788288625711975,0.11182502753749937
DCNv2,5,3500,0.5516263107521848,0.04142440851315876,0.5571180378263711,0.05357081317983641,0.6956200102541567,0.0423123179480244,0.6478271140070944,0.0449231844936537,0.20869774163533633,0.013837415175717294,0.1160078538084582,0.025078247701307534,0.5709787978144623,0.48360487815210246,0.6621575692853742,0.7369808833223467,0.6550777338603425,0.809280122420516,0.5809454627162961,0.4973036315536315,0.6664913185509777,0.5581553488764979,0.4927597131641652,0.6186534734383128,0.1877873249350813,0.15880344224284057,0.2152847937564706,0.08264319931461352,0.05603234583771801,0.1420296814714103
FM,5,712,0.5382980248190037,0.01656118570507228,0.5558512058928725,0.017303160810416746,0.7410752215630264,0.012303854324809502,0.6227431048536984,0.03681478857573287,0.19363794618594402,0.007412813589435633,0.08262108185254087,0.018060550419380508,0.5295329767357739,0.4242462766167336,0.635111279991112,0.7507141287629093,0.6646771239276692,0.8190309944569497,0.5498495023495024,0.4376059759937033,0.6542907872550728,0.5707384254863831,0.46729563724666695,0.673596635516546,0.18727249161860338,0.14706591815763598,0.2242425195081998,0.07014989728970134,0.05656642870599754,0.12631931165373042
DIN-noEEG,5,5410,0.5372345933010269,0.016713994247266235,0.556781390677224,0.014370658599887854,0.7463707610049074,0.0081384633326516,0.6048895454078455,0.015124467874714059,0.18903234003147718,0.004980557267558757,0.07616723829339948,0.015591675712189796,0.5326153062167048,0.46003116279848527,0.6064771794230205,0.7562440489269757,0.6711636485267172,0.8216393566115963,0.5521205183705183,0.47714076495894686,0.6300657796788749,0.5770934500881355,0.4567411851499725,0.717297822469907,0.18282108969257313,0.1465863353887989,0.2164882888715854,0.06088233649811157,0.0511396171572468,0.11496383600830323
user-context-bias,5,38,0.5095279720279721,0.0,0.5085069444444444,0.0,0.7414670768329304,0.0,0.548922561534207,0.0,0.18390300174606206,0.0,0.07130175768014706,0.0,0.5095279720279721,0.4977505587441811,0.5255642414073622,0.7414670768329304,0.6461442487013904,0.8152161600101238,0.5085069444444444,0.4965893308080809,0.5243098958333333,0.548922561534207,0.4642791659618865,0.62673497347026,0.18390300174606206,0.1498330045486786,0.2162577396322114,0.07130175768014706,0.05110882126390316,0.1267280399847292
global-rate,5,1,0.5,0.0,0.5,0.0,0.5,0.0,0.6200325395703137,0.0,0.2143345297908378,3.1031676915590914e-17,0.009171899806854067,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6200325395703137,0.55481588814606,0.6807210903691439,0.21433452979083778,0.18318555689783464,0.24332077766564641,0.009171899806854067,0.0012936344039457717,0.0991519947231837
user-rate,5,31,0.5,0.0,0.5,0.0,0.7118581996630777,0.0,0.560387570192592,0.0,0.1888287248424762,0.0,0.05132440770051509,0.0,0.5,0.5,0.5,0.7118581996630777,0.6189032806205508,0.7875593649905137,0.5,0.5,0.5,0.560387570192592,0.48586617410163324,0.6273736630039991,0.1888287248424762,0.15724970035594393,0.2178676029819457,0.05132440770051509,0.03788752439383731,0.12605619581332037
user-bias,5,31,0.5,0.0,0.5,0.0,0.7137259210429941,0.0,0.5598711114800243,0.0,0.1886991170093854,0.0,0.051469528334777935,0.0,0.5,0.5,0.5,0.7137259210429941,0.6189032806205508,0.7896575836010749,0.5,0.5,0.5,0.5598711114800243,0.48542739970106163,0.6267185040451512,0.1886991170093854,0.1575826767524696,0.21802095072418964,0.05146952833477792,0.033950371016138806,0.12401932080919764
LR-user-only,5,35,0.5,0.0,0.5,0.0,0.7291803999121073,0.0,0.5591494697835853,0.0,0.18844979627719483,0.0,0.04489986778111019,0.0,0.5,0.5,0.5,0.7291803999121073,0.6440543553794975,0.8012408379660282,0.5,0.5,0.5,0.5591494697835853,0.49419517643776967,0.6223571771720174,0.18844979627719483,0.15965532800241627,0.21745197325520318,0.04489986778111019,0.032866529397065254,0.12022450917822834
LR-all,5,80,0.48096620745222146,0.0,0.5005171487463155,0.0,0.7625430308357137,0.0,0.5765424732911444,0.0,0.18007308699612287,0.0,0.05425614246222231,7.757919228897728e-18,0.48096620745222146,0.3892466565655658,0.5743507263437376,0.7625430308357137,0.6795881260772692,0.8255783282329665,0.5005171487463155,0.40270712027505506,0.6015469880235504,0.5765424732911444,0.4616272779658916,0.7155962760279001,0.18007308699612287,0.14497474772953634,0.21277958925871931,0.054256142462222316,0.04411600427067114,0.11523739025195377
LR-history-only,5,14,0.29060447128628947,0.0,0.3035350028058361,0.0,0.7464293561854538,0.0,0.5485335658720536,0.0,0.18363438345274474,0.0,0.08647444660949999,0.0,0.29060447128628947,0.23333453887115504,0.3563198793101696,0.7464293561854538,0.6548153286788448,0.8118627366320171,0.3035350028058361,0.24011077347701404,0.3669210362554112,0.5485335658720536,0.47588969149481625,0.6135175973914344,0.18363438345274474,0.15257571377119428,0.21206884012828117,0.08647444660949999,0.06827685044806438,0.1313519360340739
