experiment_id,model,seed,split_version,feature_set,params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,checkpoint,prediction_file,elapsed_seconds
B_global-rate_rollv2_s0,global-rate,0,protocol_a_rollv2_train_dev,global-rate,1,,0.5,0.5,0.5,0.6200325395703137,0.21433452979083778,0.009171899806854067,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_global-rate_rollv2_s0\predictions.csv,0.0019948482513427734
B_global-rate_rollv2_s1,global-rate,1,protocol_a_rollv2_train_dev,global-rate,1,,0.5,0.5,0.5,0.6200325395703137,0.21433452979083778,0.009171899806854067,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_global-rate_rollv2_s1\predictions.csv,0.0007426738739013672
B_global-rate_rollv2_s2,global-rate,2,protocol_a_rollv2_train_dev,global-rate,1,,0.5,0.5,0.5,0.6200325395703137,0.21433452979083778,0.009171899806854067,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_global-rate_rollv2_s2\predictions.csv,0.001995086669921875
B_global-rate_rollv2_s3,global-rate,3,protocol_a_rollv2_train_dev,global-rate,1,,0.5,0.5,0.5,0.6200325395703137,0.21433452979083778,0.009171899806854067,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_global-rate_rollv2_s3\predictions.csv,0.002992391586303711
B_global-rate_rollv2_s4,global-rate,4,protocol_a_rollv2_train_dev,global-rate,1,,0.5,0.5,0.5,0.6200325395703137,0.21433452979083778,0.009171899806854067,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_global-rate_rollv2_s4\predictions.csv,0.0015666484832763672
B_user-rate_rollv2_s0,user-rate,0,protocol_a_rollv2_train_dev,user-rate,31,,0.5,0.5,0.7118581996630777,0.560387570192592,0.1888287248424762,0.05132440770051509,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_user-rate_rollv2_s0\predictions.csv,0.005984306335449219
B_user-rate_rollv2_s1,user-rate,1,protocol_a_rollv2_train_dev,user-rate,31,,0.5,0.5,0.7118581996630777,0.560387570192592,0.1888287248424762,0.05132440770051509,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_user-rate_rollv2_s1\predictions.csv,0.00434422492980957
B_user-rate_rollv2_s2,user-rate,2,protocol_a_rollv2_train_dev,user-rate,31,,0.5,0.5,0.7118581996630777,0.560387570192592,0.1888287248424762,0.05132440770051509,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_user-rate_rollv2_s2\predictions.csv,0.005527019500732422
B_user-rate_rollv2_s3,user-rate,3,protocol_a_rollv2_train_dev,user-rate,31,,0.5,0.5,0.7118581996630777,0.560387570192592,0.1888287248424762,0.05132440770051509,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_user-rate_rollv2_s3\predictions.csv,0.003989696502685547
B_user-rate_rollv2_s4,user-rate,4,protocol_a_rollv2_train_dev,user-rate,31,,0.5,0.5,0.7118581996630777,0.560387570192592,0.1888287248424762,0.05132440770051509,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_user-rate_rollv2_s4\predictions.csv,0.004987478256225586
