experiment_id,suite,fold,model,mode,representation,interaction,auxiliary_weight,seed,params,eeg_params,base_epoch,base_dev_gauc,recovery_epoch,residual_scale,correction_abs_mean,eeg_gradient_norm,zero_sensitivity,shuffle_sensitivity,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
GR_fusion_roll1_band_region-bilinear-aux0_s0,fusion,roll1,band_region-bilinear-aux0,real,band_region,bilinear,0.0,0,19739,18145,18,0.5981053606426742,6,0.04042087495326996,0.048604872077703476,0.06927653011647934,0.009514089673757553,0.0035565742291510105,0.6013569597897958,0.5953703274238988,0.603123915307185,0.6628668144612062,0.23561019770276234,0.07805007612893095,16.118112325668335
GR_fusion_roll1_band_region-bilinear-aux0_s1,fusion,roll1,band_region-bilinear-aux0,real,band_region,bilinear,0.0,1,19739,18145,14,0.5960101010101011,11,-0.06649459898471832,0.2765444815158844,0.09487518586081006,0.05311765894293785,0.02768852561712265,0.6176631991557364,0.6138656548477978,0.6354043734814301,0.6476004839955941,0.22828261694716387,0.07017981789387055,12.416038990020752
GR_fusion_roll1_band_region-bilinear-aux0_s2,fusion,roll1,band_region-bilinear-aux0,real,band_region,bilinear,0.0,2,19739,18145,6,0.573459972862958,4,-0.02753985859453678,0.02445472963154316,0.14275983488002766,0.005316243972629309,0.0022880786564201117,0.5752617863065626,0.5721954236239951,0.551440472058313,0.6759941740960387,0.24136335876932044,0.09249675816143822,8.137397527694702
GR_fusion_roll1_band_region-hybrid-aux0_s0,fusion,roll1,band_region-hybrid-aux0,real,band_region,hybrid,0.0,0,20915,19321,23,0.6030781159139369,2,0.012061930261552334,0.006237845867872238,0.017756887995292413,0.001277471543289721,0.00045058454270474613,0.604222394520902,0.59564905002405,0.6013884068031934,0.6624912915844489,0.23514013253015395,0.0713136155147607,12.181715488433838
GR_fusion_roll1_band_region-hybrid-aux0_s1,fusion,roll1,band_region-hybrid-aux0,real,band_region,hybrid,0.0,1,20915,19321,13,0.6015430423639381,8,-0.06475111842155457,0.3068925142288208,0.30981767792528553,0.06094498559832573,0.02466266043484211,0.6177577480562555,0.6163484977324263,0.6323498785144048,0.6424539018347549,0.22596880652905127,0.054583976338790974,12.690074920654297
GR_fusion_roll1_band_region-hybrid-aux0_s2,fusion,roll1,band_region-hybrid-aux0,real,band_region,hybrid,0.0,2,20915,19321,6,0.5744301221166894,1,0.0018713901517912745,0.0001239386183442548,0.0018322541988995344,2.7175490686204284e-05,2.2187188733369112e-05,0.5744301221166894,0.5718879268879269,0.5461645262061784,0.6781962900466125,0.24237072253790373,0.09414046319644567,8.586179494857788
GR_fusion_roll1_band_region-hybrid-aux005_s0,fusion,roll1,band_region-hybrid-aux005,real,band_region,hybrid,0.05,0,20915,19321,23,0.6030781159139369,6,0.04467923566699028,0.06655224412679672,0.04425644308083752,0.013930335640907288,0.00267395144328475,0.6051996510951735,0.5969245602281318,0.608122179798681,0.656131584764618,0.2323980493892707,0.05989817045308798,15.507071256637573
GR_fusion_roll1_band_region-hybrid-aux005_s1,fusion,roll1,band_region-hybrid-aux005,real,band_region,hybrid,0.05,1,20915,19321,13,0.6015430423639381,1,-0.0009863610612228513,0.00017168182239402086,0.015421408759178025,3.4724700526567176e-05,1.5121390788408462e-05,0.6015430423639381,0.5968225408850409,0.5832696980215204,0.6730084820365588,0.239980385034721,0.11095363089553263,10.144503831863403
GR_fusion_roll1_band_region-hybrid-aux005_s2,fusion,roll1,band_region-hybrid-aux005,real,band_region,hybrid,0.05,2,20915,19321,6,0.5744301221166894,2,0.003491187933832407,0.0004463207733351737,0.02155075565021621,9.599182521924376e-05,4.1673254600027576e-05,0.5752593095130409,0.5725493025493026,0.5460951058660187,0.6782386222732344,0.2423890424141194,0.09420132295450027,8.109119653701782
GR_fusion_roll1_band_region-hybrid-aux01_s0,fusion,roll1,band_region-hybrid-aux01,real,band_region,hybrid,0.1,0,20915,19321,23,0.6030781159139369,7,0.05301849916577339,0.08837349712848663,0.06775895935863144,0.01860947534441948,0.0037786182947456837,0.6054898666838966,0.5982614838864838,0.6111072544255467,0.6537986869059629,0.2313810845440499,0.05598478239125712,15.718596458435059
GR_fusion_roll1_band_region-hybrid-aux01_s1,fusion,roll1,band_region-hybrid-aux01,real,band_region,hybrid,0.1,1,20915,19321,13,0.6015430423639381,13,0.09141772240400314,0.3006308078765869,0.13890738722134033,0.06163453310728073,0.024710597470402718,0.6165969933880381,0.6149131192881194,0.6346060395695938,0.6397405244484622,0.22516310813747573,0.042800857442668656,11.388925313949585
GR_fusion_roll1_band_region-hybrid-aux01_s2,fusion,roll1,band_region-hybrid-aux01,real,band_region,hybrid,0.1,2,20915,19321,6,0.5744301221166894,2,0.0034811198711395264,0.00044495463953353465,0.021441738583608736,9.570021211402491e-05,4.148218431510031e-05,0.5752593095130409,0.5725493025493026,0.5460951058660187,0.6782386635222296,0.24238906233862462,0.09420119085079619,7.172041177749634
GR_fusion_roll2_band_region-bilinear-aux0_s0,fusion,roll2,band_region-bilinear-aux0,real,band_region,bilinear,0.0,0,19739,18145,8,0.5939790764790766,6,-0.06193424016237259,0.2897995114326477,0.5981375709440128,0.06658773869276047,0.032598040997982025,0.6003661616161616,0.6076023513523514,0.6364124021027787,0.6164818459846765,0.2132603224933505,0.0659618194749987,9.322839498519897
GR_fusion_roll2_band_region-bilinear-aux0_s1,fusion,roll2,band_region-bilinear-aux0,real,band_region,bilinear,0.0,1,19739,18145,15,0.6270128742784993,3,0.025415651500225067,0.036650899797677994,0.05876007717690996,0.007355098146945238,0.00326921627856791,0.632969990079365,0.6345250120250121,0.6239316239316239,0.6108201437514704,0.2121578436442567,0.07765641189481162,10.012120962142944
GR_fusion_roll2_band_region-bilinear-aux0_s2,fusion,roll2,band_region-bilinear-aux0,real,band_region,bilinear,0.0,2,19739,18145,11,0.6183198051948053,1,-0.003686184762045741,0.0004884474910795689,0.0069257201851920846,0.00010089763236464933,3.7962821807013825e-05,0.6183198051948053,0.6170966070966071,0.5835926045131066,0.6218171922072624,0.21646542652322417,0.040609900777494996,8.97728943824768
GR_fusion_roll2_band_region-hybrid-aux0_s0,fusion,roll2,band_region-hybrid-aux0,real,band_region,hybrid,0.0,0,20915,19321,7,0.5961095328282828,6,-0.0626104548573494,0.3210812211036682,0.5691515059398154,0.07255592942237854,0.034921057522296906,0.597336534992785,0.6053962241462242,0.6425633873332617,0.6118974184937284,0.21120585697277602,0.06195914313809298,9.358800649642944
GR_fusion_roll2_band_region-hybrid-aux0_s1,fusion,roll2,band_region-hybrid-aux0,real,band_region,hybrid,0.0,1,20915,19321,18,0.6237798746392496,4,0.03552568703889847,0.0882849395275116,0.13716084335427856,0.017941700294613838,0.0068184263072907925,0.6270434253246753,0.6256974506974508,0.6417408718663947,0.603595008602383,0.20928404722509777,0.05843165858643487,11.8341224193573
GR_fusion_roll2_band_region-hybrid-aux0_s2,fusion,roll2,band_region-hybrid-aux0,real,band_region,hybrid,0.0,2,20915,19321,12,0.6193961940836942,1,-0.005345100536942482,0.0013507039984688163,0.005865486845088421,0.00028170322184450924,0.00010020557965617627,0.6193961940836942,0.6191265216265216,0.5876694203054036,0.621078482828157,0.21617739644532136,0.043596297286037505,9.29548454284668
GR_fusion_roll2_band_region-hybrid-aux005_s0,fusion,roll2,band_region-hybrid-aux005,real,band_region,hybrid,0.05,0,20915,19321,7,0.5961095328282828,4,-0.02415209449827671,0.006477085407823324,0.016243525933012606,0.0014231709064915776,0.0005762062501162291,0.5974947014790766,0.6021457246457247,0.5998641061402568,0.6246796773242688,0.2173250918780454,0.03450323659285715,9.00941252708435
GR_fusion_roll2_band_region-hybrid-aux005_s1,fusion,roll2,band_region-hybrid-aux005,real,band_region,hybrid,0.05,1,20915,19321,18,0.6237798746392496,5,0.03733423724770546,0.04010588303208351,0.027118954365456183,0.008177344687283039,0.003249518573284149,0.6275457702020202,0.6277491027491027,0.6399170332224726,0.6054163646332695,0.20994830466889888,0.05078753967131121,12.274032354354858
GR_fusion_roll2_band_region-hybrid-aux005_s2,fusion,roll2,band_region-hybrid-aux005,real,band_region,hybrid,0.05,2,20915,19321,12,0.6193961940836942,6,-0.05340180546045303,0.10136887431144714,0.10382656851363051,0.021349117159843445,0.004425741732120514,0.623800505050505,0.6243926443926444,0.6086972070235669,0.6135991627210359,0.21319427156386095,0.036457086669338674,11.075896739959717
GR_fusion_roll2_band_region-hybrid-aux01_s0,fusion,roll2,band_region-hybrid-aux01,real,band_region,hybrid,0.1,0,20915,19321,7,0.5961095328282828,4,-0.02370358072221279,0.005973325576633215,0.017293743247492038,0.0013125016121193767,0.0005424398696050048,0.5974947014790766,0.6021457246457247,0.5995422522619175,0.6247492137374935,0.2173568595696044,0.03453794593943724,9.646898031234741
GR_fusion_roll2_band_region-hybrid-aux01_s1,fusion,roll2,band_region-hybrid-aux01,real,band_region,hybrid,0.1,1,20915,19321,18,0.6237798746392496,5,0.03664905205368996,0.03316309675574303,0.026914249624753184,0.006781171075999737,0.0026046254206448793,0.6301178075396826,0.6305587930587931,0.6394521331759826,0.6056113419912377,0.21000511991289014,0.05381340394058169,13.07317304611206
GR_fusion_roll2_band_region-hybrid-aux01_s2,fusion,roll2,band_region-hybrid-aux01,real,band_region,hybrid,0.1,2,20915,19321,12,0.6193961940836942,6,-0.05223607271909714,0.08504723757505417,0.12668748951994,0.01798279583454132,0.003343011485412717,0.6253816062409812,0.6257917082917083,0.6063727067911169,0.6147245733704191,0.21363225482582204,0.04528499671762931,11.346126794815063
GR_fusion_roll3_band_region-bilinear-aux0_s0,fusion,roll3,band_region-bilinear-aux0,real,band_region,bilinear,0.0,0,19739,18145,10,0.5926261287275274,8,-0.0746074989438057,0.3270877003669739,0.1910224497504623,0.07248671352863312,0.05710114911198616,0.615770622151741,0.6252756695465028,0.6415806049952393,0.6387629196048259,0.20505544714162668,0.07604743476796856,11.284564018249512
GR_fusion_roll3_band_region-bilinear-aux0_s1,fusion,roll3,band_region-bilinear-aux0,real,band_region,bilinear,0.0,1,19739,18145,13,0.6145339314919734,6,0.05914992466568947,0.22442223131656647,0.12799999884187935,0.03999931365251541,0.0187640693038702,0.629026218536708,0.6438122872497872,0.6518713835787007,0.6277048050652199,0.2026927152371056,0.02535124587616642,12.066845178604126
GR_fusion_roll3_band_region-bilinear-aux0_s2,fusion,roll3,band_region-bilinear-aux0,real,band_region,bilinear,0.0,2,19739,18145,3,0.5857655650487819,9,0.09607292711734772,0.366767942905426,0.12432760822422338,0.07740923762321472,0.06425312161445618,0.610647035559623,0.6248970551053885,0.6556800703142166,0.6289156335060165,0.20063069115458484,0.05474996524152275,10.019912004470825
GR_fusion_roll3_band_region-hybrid-aux0_s0,fusion,roll3,band_region-hybrid-aux0,real,band_region,hybrid,0.0,0,20915,19321,11,0.5949335435349421,7,-0.0790104940533638,0.39413580298423767,0.20812373510563462,0.08400676399469376,0.061351727694272995,0.5960083913755242,0.6064189205855873,0.6652384091408481,0.6272397487887033,0.20023304940952807,0.06442521471975203,11.634039640426636
GR_fusion_roll3_band_region-hybrid-aux0_s1,fusion,roll3,band_region-hybrid-aux0,real,band_region,hybrid,0.0,1,20915,19321,6,0.5923206261492975,1,-0.006991120986640453,0.0024717312771826982,0.006284677240981985,0.0005554207018576562,0.00027012682403437793,0.5911218249504964,0.6059397623980957,0.599318831026148,0.6511797737888738,0.211429950267986,0.04136826572920402,8.507314443588257
GR_fusion_roll3_band_region-hybrid-aux0_s2,fusion,roll3,band_region-hybrid-aux0,real,band_region,hybrid,0.0,2,20915,19321,1,0.5853747553922379,10,0.10195206850767136,0.5130087733268738,0.22928269363421738,0.09999458491802216,0.07317579537630081,0.6011019089690418,0.6080536207619541,0.6565223760345711,0.6278601651096846,0.2002298770998415,0.07390750636945559,9.287805318832397
GR_fusion_roll3_band_region-hybrid-aux005_s0,fusion,roll3,band_region-hybrid-aux005,real,band_region,hybrid,0.05,0,20915,19321,11,0.5949335435349421,1,-0.00538695277646184,0.0008293078280985355,0.005710478932329311,0.00018155810539610684,8.8503111328464e-05,0.5949335435349421,0.6121017793934461,0.6426060206548011,0.6478941433367535,0.20982370039848539,0.06838319391300672,10.05991005897522
GR_fusion_roll3_band_region-hybrid-aux005_s1,fusion,roll3,band_region-hybrid-aux005,real,band_region,hybrid,0.05,1,20915,19321,6,0.5923206261492975,1,-0.002678892109543085,0.0002275220467709005,0.0019379078730239903,5.0334681873209774e-05,3.112934064120054e-05,0.5911218249504964,0.6059397623980957,0.5995385629531971,0.6511924484631111,0.2114371057828296,0.041188987834493346,8.438695430755615
GR_fusion_roll3_band_region-hybrid-aux005_s2,fusion,roll3,band_region-hybrid-aux005,real,band_region,hybrid,0.05,2,20915,19321,1,0.5853747553922379,1,0.0020041486714035273,0.00019069552945438772,0.015127681360848666,4.042075670440681e-05,1.804916792025324e-05,0.5853747553922379,0.6027873438290104,0.5793964696403722,0.6534604226183058,0.21239710189782057,0.022397474843961245,7.351306676864624
GR_fusion_roll3_band_region-hybrid-aux01_s0,fusion,roll3,band_region-hybrid-aux01,real,band_region,hybrid,0.1,0,20915,19321,11,0.5949335435349421,1,-0.005379139445722103,0.0008269990794360638,0.0055189572361607955,0.00018108641961589456,8.820807124720886e-05,0.5949335435349421,0.6121017793934461,0.6426060206548011,0.647894331790655,0.2098237865013503,0.06838352330380101,10.415462493896484
GR_fusion_roll3_band_region-hybrid-aux01_s1,fusion,roll3,band_region-hybrid-aux01,real,band_region,hybrid,0.1,1,20915,19321,6,0.5923206261492975,1,-0.0026731817051768303,0.00022658263333141804,0.0019178348637653427,5.012892506783828e-05,3.100198955507949e-05,0.5911218249504964,0.6059397623980957,0.5995385629531971,0.6511924953249956,0.2114371284067371,0.04118913114860248,8.4794180393219
GR_fusion_roll3_band_region-hybrid-aux01_s2,fusion,roll3,band_region-hybrid-aux01,real,band_region,hybrid,0.1,2,20915,19321,1,0.5853747553922379,1,0.0020036185160279274,0.00019077659817412496,0.015170310178284482,4.043352964799851e-05,1.803393206500914e-05,0.5853747553922379,0.6027873438290104,0.5793964696403722,0.6534604274532338,0.21239710649788926,0.022397481188433235,7.459478139877319
