experiment_id,suite,fold,model,mode,representation,interaction,auxiliary_weight,seed,params,eeg_params,base_epoch,base_dev_gauc,recovery_epoch,residual_scale,correction_abs_mean,eeg_gradient_norm,zero_sensitivity,shuffle_sensitivity,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
GR_screen_roll1_pca16-bilinear_s0,screen,roll1,pca16-bilinear,real,pca16,bilinear,0.0,0,7163,5569,18,0.5981053606426742,9,0.06271211057901382,0.17092475295066833,0.04343825770690213,0.03237561509013176,0.01511058397591114,0.6043516185307231,0.6007866505187935,0.6205484206872613,0.6538676836851769,0.23167319241952553,0.07687217371810474,12.494
GR_screen_roll1_pca16-bilinear_s1,screen,roll1,pca16-bilinear,real,pca16,bilinear,0.0,1,7163,5569,14,0.5960101010101011,8,-0.06266701966524124,0.15892279148101807,0.03608186534925892,0.030369596555829048,0.013015017844736576,0.6065851478538046,0.6022707517350375,0.6185352308226311,0.6568985247191191,0.23285040714588612,0.07853195045602357,9.385
GR_screen_roll1_pca16-bilinear_s2,screen,roll1,pca16-bilinear,real,pca16,bilinear,0.0,2,7163,5569,6,0.573459972862958,2,-0.010632777586579323,0.001600486459210515,0.018820714233425736,0.0003476025885902345,0.0002277913154102862,0.5748281320669382,0.572483164983165,0.5475529330093718,0.6779688422501141,0.24226495647910656,0.09409837719362578,7.262
GR_screen_roll1_band-region-bilinear_s0,screen,roll1,band-region-bilinear,real,band_region,bilinear,0.0,0,19739,18145,18,0.5981053606426742,6,0.04042087495326996,0.048604872077703476,0.06927653011647934,0.009514089673757553,0.0035565742291510105,0.6013569597897958,0.5953703274238988,0.603123915307185,0.6628668144612062,0.23561019770276234,0.07805007612893095,11.743
GR_screen_roll1_band-region-bilinear_s1,screen,roll1,band-region-bilinear,real,band_region,bilinear,0.0,1,19739,18145,14,0.5960101010101011,11,-0.06649459898471832,0.2765444815158844,0.09487518586081006,0.05311765894293785,0.02768852561712265,0.6176631991557364,0.6138656548477978,0.6354043734814301,0.6476004839955941,0.22828261694716387,0.07017981789387055,11.84
GR_screen_roll1_band-region-bilinear_s2,screen,roll1,band-region-bilinear,real,band_region,bilinear,0.0,2,19739,18145,6,0.573459972862958,4,-0.02753985859453678,0.02445472963154316,0.14275983488002766,0.005316243972629309,0.0022880786564201117,0.5752617863065626,0.5721954236239951,0.551440472058313,0.6759941740960387,0.24136335876932044,0.09249675816143822,7.963
GR_screen_roll2_pca16-bilinear_s0,screen,roll2,pca16-bilinear,real,pca16,bilinear,0.0,0,7163,5569,8,0.5939790764790766,8,-0.08509629964828491,0.3000234067440033,0.4757302391449033,0.06785363703966141,0.03175817057490349,0.6202408008658009,0.6245048932548933,0.6487501341057827,0.609467304129911,0.20960831060222593,0.07625995342635414,10.099
GR_screen_roll2_pca16-bilinear_s1,screen,roll2,pca16-bilinear,real,pca16,bilinear,0.0,1,7163,5569,15,0.6270128742784993,4,0.0355856828391552,0.030196135863661766,0.015435372315709413,0.005999044049531221,0.002604498527944088,0.6313950892857142,0.6335426147926149,0.6232521546329077,0.6111168957023165,0.21219361327014385,0.06449428329563418,11.052
GR_screen_roll2_pca16-bilinear_s2,screen,roll2,pca16-bilinear,real,pca16,bilinear,0.0,2,7163,5569,11,0.6183198051948053,4,0.03733168542385101,0.035194139927625656,0.014876602095193543,0.006981751881539822,0.003611798631027341,0.6160152867965368,0.6159445184445185,0.5918892822658512,0.6191678293094267,0.2154851480198827,0.045512136468255686,10.224
GR_screen_roll2_band-region-bilinear_s0,screen,roll2,band-region-bilinear,real,band_region,bilinear,0.0,0,19739,18145,8,0.5939790764790766,6,-0.06193424016237259,0.2897995114326477,0.5981375709440128,0.06658773869276047,0.032598040997982025,0.6003661616161616,0.6076023513523514,0.6364124021027787,0.6164818459846765,0.2132603224933505,0.0659618194749987,10.611
GR_screen_roll2_band-region-bilinear_s1,screen,roll2,band-region-bilinear,real,band_region,bilinear,0.0,1,19739,18145,15,0.6270128742784993,3,0.025415651500225067,0.036650899797677994,0.05876007717690996,0.007355098146945238,0.00326921627856791,0.632969990079365,0.6345250120250121,0.6239316239316239,0.6108201437514704,0.2121578436442567,0.07765641189481162,11.114
GR_screen_roll2_band-region-bilinear_s2,screen,roll2,band-region-bilinear,real,band_region,bilinear,0.0,2,19739,18145,11,0.6183198051948053,1,-0.003686184762045741,0.0004884474910795689,0.0069257201851920846,0.00010089763236464933,3.7962821807013825e-05,0.6183198051948053,0.6170966070966071,0.5835926045131066,0.6218171922072624,0.21646542652322417,0.040609900777494996,8.786
GR_screen_roll3_pca16-bilinear_s0,screen,roll3,pca16-bilinear,real,pca16,bilinear,0.0,0,7163,5569,10,0.5926261287275274,1,-0.007199335377663374,0.000927340763155371,0.006859572862991561,0.0002155963593395427,0.00010365477646701038,0.5923930284944272,0.6103722820389487,0.6402255914451037,0.6483072725641184,0.21000630089239447,0.06656405326737051,9.504
GR_screen_roll3_pca16-bilinear_s1,screen,roll3,pca16-bilinear,real,pca16,bilinear,0.0,1,7163,5569,13,0.6145339314919734,7,0.0735718309879303,0.24759483337402344,0.06654029470856616,0.04232273995876312,0.01789012923836708,0.6305417484613289,0.6443246028662696,0.6647623232989086,0.6261715731043279,0.2017219198794293,0.04454748470405544,11.51
GR_screen_roll3_pca16-bilinear_s2,screen,roll3,pca16-bilinear,real,pca16,bilinear,0.0,2,7163,5569,3,0.5857655650487819,1,-0.0011406241683289409,5.237660661805421e-05,0.008542045811516007,1.126193910749862e-05,1.0745094186859205e-05,0.5857655650487819,0.6036124215290882,0.5813740569838131,0.6532099338610375,0.21229110441378557,0.021742719741141156,7.224
GR_screen_roll3_band-region-bilinear_s0,screen,roll3,band-region-bilinear,real,band_region,bilinear,0.0,0,19739,18145,10,0.5926261287275274,8,-0.0746074989438057,0.3270877003669739,0.1910224497504623,0.07248671352863312,0.05710114911198616,0.615770622151741,0.6252756695465028,0.6415806049952393,0.6387629196048259,0.20505544714162668,0.07604743476796856,13.819
GR_screen_roll3_band-region-bilinear_s1,screen,roll3,band-region-bilinear,real,band_region,bilinear,0.0,1,19739,18145,13,0.6145339314919734,6,0.05914992466568947,0.22442223131656647,0.12799999884187935,0.03999931365251541,0.0187640693038702,0.629026218536708,0.6438122872497872,0.6518713835787007,0.6277048050652199,0.2026927152371056,0.02535124587616642,12.81
GR_screen_roll3_band-region-bilinear_s2,screen,roll3,band-region-bilinear,real,band_region,bilinear,0.0,2,19739,18145,3,0.5857655650487819,9,0.09607292711734772,0.366767942905426,0.12432760822422338,0.07740923762321472,0.06425312161445618,0.610647035559623,0.6248970551053885,0.6556800703142166,0.6289156335060165,0.20063069115458484,0.05474996524152275,10.058
