experiment_id,suite,fold,model,ablation,normalization,encoder,seed,train_count,dev_count,params,trainable_params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
G_normalization_roll3_norm-global_train_zscore_s0,normalization,roll3,norm-global_train_zscore,E1,global_train_zscore,mlp,0,2491,357,25082,25001,13,0.6110738814410144,0.6148476022434356,0.7160697282648502,0.6011754480257643,0.18948605821063286,0.07413364126815489,10.038
G_normalization_roll3_norm-global_train_zscore_s1,normalization,roll3,norm-global_train_zscore,E1,global_train_zscore,mlp,1,2491,357,25082,25001,12,0.6100388927312005,0.6216098561931895,0.7250054932981762,0.5905711342028634,0.18591463834301425,0.051358810087592396,6.62
G_normalization_roll3_norm-global_train_zscore_s2,normalization,roll3,norm-global_train_zscore,E1,global_train_zscore,mlp,2,2491,357,25082,25001,23,0.6367533204945793,0.6506455697080696,0.7194755731341097,0.6167181315221834,0.1950071074891384,0.1073056372242565,9.619
G_normalization_roll3_norm-global_train_zscore_s3,normalization,roll3,norm-global_train_zscore,E1,global_train_zscore,mlp,3,2491,357,25082,25001,2,0.5890142976681438,0.6058176468593136,0.5833150223394126,0.6522818692784812,0.2118834885981975,0.02227889649545417,3.61
G_normalization_roll3_norm-global_train_zscore_s4,normalization,roll3,norm-global_train_zscore,E1,global_train_zscore,mlp,4,2491,357,25082,25001,1,0.5877154702329528,0.6049478376561711,0.5806782392148246,0.6533810766458252,0.2123561957365195,0.018523784277699296,3.236
G_normalization_roll3_norm-subject_train_zscore_s0,normalization,roll3,norm-subject_train_zscore,E1,subject_train_zscore,mlp,0,2491,357,25082,25001,5,0.6019099005112991,0.6110408226033226,0.6339632315242071,0.6449379174229072,0.208709203030315,0.050734308578600465,4.891
G_normalization_roll3_norm-subject_train_zscore_s1,normalization,roll3,norm-subject_train_zscore,E1,subject_train_zscore,mlp,1,2491,357,25082,25001,2,0.5864334189509014,0.6035589487672821,0.5800556654215191,0.6532402523785217,0.21230565953012906,0.018838266877613537,3.979
G_normalization_roll3_norm-subject_train_zscore_s2,normalization,roll3,norm-subject_train_zscore,E1,subject_train_zscore,mlp,2,2491,357,25082,25001,2,0.5845391399587203,0.6021288356705023,0.5811177030689226,0.6531765744663968,0.21227898115972824,0.020157043915048446,3.359
G_normalization_roll3_norm-subject_train_zscore_s3,normalization,roll3,norm-subject_train_zscore,E1,subject_train_zscore,mlp,3,2491,357,25082,25001,8,0.5988558450096912,0.6208832332790667,0.6249176005273567,0.6447335631470292,0.20898966068860678,0.05558753482305009,5.127
G_normalization_roll3_norm-subject_train_zscore_s4,normalization,roll3,norm-subject_train_zscore,E1,subject_train_zscore,mlp,4,2491,357,25082,25001,1,0.5854621679796504,0.6027873438290104,0.5796894455431041,0.6535475308249776,0.21243358419384842,0.024482451913116102,3.15
G_normalization_roll3_norm-subject_residual_s0,normalization,roll3,norm-subject_residual,E1,subject_residual,mlp,0,2491,357,25082,25001,6,0.6019291993942344,0.6116795010545011,0.6580238775360726,0.638312262726674,0.2057843005202111,0.06057753947306721,4.66
G_normalization_roll3_norm-subject_residual_s1,normalization,roll3,norm-subject_residual,E1,subject_residual,mlp,1,2491,357,25082,25001,2,0.5866665191840018,0.603385337656171,0.5808979711418736,0.6529843234104057,0.21219778700355438,0.020905675352500996,3.923
G_normalization_roll3_norm-subject_residual_s2,normalization,roll3,norm-subject_residual,E1,subject_residual,mlp,2,2491,357,25082,25001,4,0.59337424424837,0.6100743122618123,0.6120632827949901,0.6494605436306331,0.210640388739098,0.049913504180834484,3.828
G_normalization_roll3_norm-subject_residual_s3,normalization,roll3,norm-subject_residual,E1,subject_residual,mlp,3,2491,357,25082,25001,2,0.5857146932321757,0.6030574055574055,0.57983593349447,0.6532131972241444,0.21229471955395288,0.016998344058295672,3.288
G_normalization_roll3_norm-subject_residual_s4,normalization,roll3,norm-subject_residual,E1,subject_residual,mlp,4,2491,357,25082,25001,1,0.5854621679796504,0.6027873438290104,0.5796894455431041,0.6535409185271173,0.21243072632162185,0.024482406541793348,2.906
G_normalization_roll3_norm-session_residual_s0,normalization,roll3,norm-session_residual,E1,session_residual,mlp,0,2491,357,25082,25001,5,0.5961100185750535,0.6060330063455063,0.6329378158646451,0.6452443318763325,0.20880837104244124,0.054624721419957896,4.095
G_normalization_roll3_norm-session_residual_s1,normalization,roll3,norm-session_residual,E1,session_residual,mlp,1,2491,357,25082,25001,11,0.5973785635498922,0.6172364942156608,0.7439024390243902,0.5948372980132262,0.18725881160773716,0.08300967163019125,5.603
G_normalization_roll3_norm-session_residual_s2,normalization,roll3,norm-session_residual,E1,session_residual,mlp,2,2491,357,25082,25001,12,0.5972214459976697,0.6180412450204117,0.6914597524353623,0.612598561788773,0.1953146423238325,0.02676240017889569,5.615
G_normalization_roll3_norm-session_residual_s3,normalization,roll3,norm-session_residual,E1,session_residual,mlp,3,2491,357,25082,25001,1,0.5854621679796504,0.6027873438290104,0.5792866036768476,0.6534545634153288,0.21239524390006642,0.022336495243581157,3.025
G_normalization_roll3_norm-session_residual_s4,normalization,roll3,norm-session_residual,E1,session_residual,mlp,4,2491,357,25082,25001,2,0.5876598440409629,0.605042534625868,0.577931590126712,0.6538614422778902,0.21256707807129857,0.022774582266019246,3.047
