experiment_id,suite,fold,model,ablation,normalization,encoder,seed,train_count,dev_count,params,trainable_params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
G_ablation_roll1_ablation-E0_s0,ablation,roll1,ablation-E0,E0,global_train_zscore,mlp,0,1786,349,25082,25001,23,0.6021494260300231,0.593605871641586,0.598750433877126,0.6640958030644495,0.2358405575004235,0.0735083020860623,9.6125009059906
G_ablation_roll1_ablation-E0_s1,ablation,roll1,ablation-E0,E0,global_train_zscore,mlp,1,1786,349,25082,25001,19,0.5995343628179449,0.5922971852882567,0.610204790003471,0.6619324934434102,0.23496272329692677,0.07926206954656154,6.841311693191528
G_ablation_roll1_ablation-E0_s2,ablation,roll1,ablation-E0,E0,global_train_zscore,mlp,2,1786,349,25082,25001,15,0.5940353427666861,0.5866039862914861,0.5856994099271087,0.672508133284947,0.23966717577974053,0.09761135075187956,5.864084720611572
G_ablation_roll1_ablation-E0_s3,ablation,roll1,ablation-E0,E0,global_train_zscore,mlp,3,1786,349,25082,25001,10,0.603958131420818,0.6037016422730709,0.5780978826796251,0.6798412182776885,0.2428880298886603,0.11056107205784425,4.914831876754761
G_ablation_roll1_ablation-E0_s4,ablation,roll1,ablation-E0,E0,global_train_zscore,mlp,4,1786,349,25082,25001,7,0.5777056277056278,0.5767299697656841,0.5484553974314474,0.6776671413446969,0.24211039892301936,0.08949198358209223,4.030750513076782
G_ablation_roll1_ablation-E1_s0,ablation,roll1,ablation-E1,E1,global_train_zscore,mlp,0,1786,349,25082,25001,6,0.5787542805453254,0.5763205825259397,0.5713988198542173,0.6864010555227665,0.24383108824953287,0.10632594403701388,3.970837354660034
G_ablation_roll1_ablation-E1_s1,ablation,roll1,ablation-E1,E1,global_train_zscore,mlp,1,1786,349,25082,25001,11,0.6009662725334367,0.5992082603243317,0.6567858382506074,0.6400583336785785,0.2212906507889148,0.06065649089849097,4.879231214523315
G_ablation_roll1_ablation-E1_s2,ablation,roll1,ablation-E1,E1,global_train_zscore,mlp,2,1786,349,25082,25001,23,0.594876483383946,0.5879630703291417,0.7063172509545298,0.6163986840104955,0.20882786935150838,0.0731501873598613,7.900378465652466
G_ablation_roll1_ablation-E1_s3,ablation,roll1,ablation-E1,E1,global_train_zscore,mlp,3,1786,349,25082,25001,13,0.6049340957549914,0.6036002886002888,0.6404720583130857,0.6561408943034183,0.2283702149450914,0.0825874185280335,5.60140323638916
G_ablation_roll1_ablation-E1_s4,ablation,roll1,ablation-E1,E1,global_train_zscore,mlp,4,1786,349,25082,25001,6,0.5697667506622731,0.569510667903525,0.5792086081221799,0.6652058954274989,0.23537584693032748,0.06847622977799192,4.027773857116699
G_ablation_roll1_ablation-E2_s0,ablation,roll1,ablation-E2,E2,global_train_zscore,mlp,0,1786,349,25082,25001,8,0.5903831491891194,0.5881242054902768,0.6230822631030892,0.6660689269646064,0.23386679024045068,0.08306915466713703,4.537390232086182
G_ablation_roll1_ablation-E2_s1,ablation,roll1,ablation-E2,E2,global_train_zscore,mlp,1,1786,349,25082,25001,13,0.6056295363011781,0.6063015572390572,0.6818118708781673,0.6206782120417008,0.21193518702092978,0.06677009056410338,5.630021572113037
G_ablation_roll1_ablation-E2_s2,ablation,roll1,ablation-E2,E2,global_train_zscore,mlp,2,1786,349,25082,25001,14,0.5892842066722663,0.5884113026523741,0.6944116626171468,0.623057375933053,0.21247480491092358,0.08481690865597104,6.8879077434539795
G_ablation_roll1_ablation-E2_s3,ablation,roll1,ablation-E2,E2,global_train_zscore,mlp,3,1786,349,25082,25001,20,0.6052814929680602,0.6072777949563665,0.6995140576188823,0.6265023167350597,0.21357144197170053,0.08340435993342651,7.417769432067871
G_ablation_roll1_ablation-E2_s4,ablation,roll1,ablation-E2,E2,global_train_zscore,mlp,4,1786,349,25082,25001,6,0.5793320195559002,0.5789550264550264,0.5839291912530371,0.6629580111835894,0.23494504167070945,0.05515135342207203,3.731093406677246
G_ablation_roll1_ablation-E3_s0,ablation,roll1,ablation-E3,E3,global_train_zscore,mlp,0,1786,349,25082,25001,6,0.5922662660722363,0.5904158506837078,0.5656022214508851,0.6825268515939382,0.24403484671352266,0.11133578359909935,4.033891916275024
G_ablation_roll1_ablation-E3_s1,ablation,roll1,ablation-E3,E3,global_train_zscore,mlp,1,1786,349,25082,25001,8,0.6108500786112727,0.6127432702879132,0.5932315168344324,0.6666464237113818,0.23713275178660037,0.09796677649362724,4.330859184265137
G_ablation_roll1_ablation-E3_s2,ablation,roll1,ablation-E3,E3,global_train_zscore,mlp,2,1786,349,25082,25001,7,0.5845043182356616,0.5804120499209785,0.5740715029503645,0.6750763475716248,0.24092149738862725,0.11337766093989153,4.112661838531494
G_ablation_roll1_ablation-E3_s3,ablation,roll1,ablation-E3,E3,global_train_zscore,mlp,3,1786,349,25082,25001,8,0.6213793586181646,0.6278549311138598,0.6028115237764665,0.6656655181099128,0.23699331681211308,0.09059797184685925,4.398313999176025
G_ablation_roll1_ablation-E3_s4,ablation,roll1,ablation-E3,E3,global_train_zscore,mlp,4,1786,349,25082,25001,7,0.5791523981822491,0.5772324434824435,0.5627559875043388,0.6726801500812157,0.23995888854693503,0.06659594370335083,4.393378019332886
G_ablation_roll1_ablation-E4_s0,ablation,roll1,ablation-E4,E4,global_train_zscore,mlp,0,1786,349,25082,25001,6,0.5948748680838234,0.589226147529719,0.6003818118708782,0.6782267612786784,0.2401569027686892,0.099789523975897,4.001448392868042
G_ablation_roll1_ablation-E4_s1,ablation,roll1,ablation-E4,E4,global_train_zscore,mlp,1,1786,349,25082,25001,12,0.5854588529215395,0.5866025261114547,0.6659493231516834,0.6387312629424896,0.2198588081682809,0.08996709707302486,5.384608745574951
G_ablation_roll1_ablation-E4_s2,ablation,roll1,ablation-E4,E4,global_train_zscore,mlp,2,1786,349,25082,25001,15,0.5972266373758912,0.5942880978148836,0.7022214508851093,0.618218335795688,0.20973927928245703,0.0861470368730817,5.893152236938477
G_ablation_roll1_ablation-E4_s3,ablation,roll1,ablation-E4,E4,global_train_zscore,mlp,3,1786,349,25082,25001,14,0.6036170877215654,0.6025660087267231,0.6491148906629642,0.6600453893294282,0.22857590294156785,0.08514697541266594,5.864445209503174
G_ablation_roll1_ablation-E4_s4,ablation,roll1,ablation-E4,E4,global_train_zscore,mlp,4,1786,349,25082,25001,5,0.5777031509121062,0.5766822991822992,0.5761194029850747,0.6662304800705475,0.23661311145351982,0.054992614810309634,3.738476514816284
G_ablation_roll1_ablation-E5_s0,ablation,roll1,ablation-E5,E5,global_train_zscore,mlp,0,1786,349,25082,25001,9,0.5946960005168962,0.596340509688724,0.5903505727178064,0.6654165443290625,0.23684747136252832,0.08925499843919175,4.630474805831909
G_ablation_roll1_ablation-E5_s1,ablation,roll1,ablation-E5,E5,global_train_zscore,mlp,1,1786,349,25082,25001,10,0.609344403523508,0.6128182763004191,0.6186046511627907,0.6498499870064937,0.23015136525103172,0.0716903530338774,4.80060076713562
G_ablation_roll1_ablation-E5_s2,ablation,roll1,ablation-E5,E5,global_train_zscore,mlp,2,1786,349,25082,25001,30,0.6517280480713316,0.655058879612451,0.713988198542173,0.6007044541012618,0.20520316345389764,0.0744192422952044,9.24814748764038
