experiment_id,stage,fold,config,scheduler,balance,lambda_pair,seed,params,backbone_params,eeg_params,backbone_best_epoch,eeg_best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds,locked_test_accessed
T_T2_scheduler_f1_sch-none_bal-sample_bce_pair-0p0_s0,T2_scheduler,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,20,2,0.599324266115311,0.591214290008933,0.5953835473793821,0.6669691673663015,0.23718629594767016,0.0792552081382377,16.922366619110107,False
T_T2_scheduler_f1_sch-none_bal-sample_bce_pair-0p0_s1,T2_scheduler,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,12,20,0.6273969976955052,0.6221553760393046,0.6401943769524471,0.6529146477106609,0.22722519002292196,0.09340213726469473,17.90044617652893,False
T_T2_scheduler_f1_sch-none_bal-sample_bce_pair-0p0_s2,T2_scheduler,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,6,1,0.5737833559475353,0.5715903078403078,0.5470322804581742,0.6783322421229321,0.2424181605713799,0.09475865118995438,9.528865575790405,False
T_T2_scheduler_f2_sch-none_bal-sample_bce_pair-0p0_s0,T2_scheduler,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,10,4,0.5934789862914863,0.5997704610204609,0.6202839466437793,0.6208914966117269,0.2154916923952617,0.06422188456609762,13.557294130325317,False
T_T2_scheduler_f2_sch-none_bal-sample_bce_pair-0p0_s1,T2_scheduler,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,16,2,0.6319196428571429,0.634282846782847,0.6266852626685263,0.6098958254658935,0.21176415080073935,0.06612082951037697,15.693872928619385,False
T_T2_scheduler_f2_sch-none_bal-sample_bce_pair-0p0_s2,T2_scheduler,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,15,1,0.6109361471861472,0.6110493672993672,0.5963952365626006,0.618922448687708,0.2153975027024248,0.045904797891003137,15.520800113677979,False
T_T2_scheduler_f3_sch-none_bal-sample_bce_pair-0p0_s0,T2_scheduler,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,6,5,0.6194808881871819,0.6331782453657454,0.636453526697429,0.6379307953016662,0.20482688934981644,0.05058788651299383,16.11669373512268,False
T_T2_scheduler_f3_sch-none_bal-sample_bce_pair-0p0_s1,T2_scheduler,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,16,11,0.6499909084699296,0.6631393143893144,0.7027027027027027,0.6050459449006398,0.1931479042020712,0.038474905734077795,22.407060146331787,False
T_T2_scheduler_f3_sch-none_bal-sample_bce_pair-0p0_s2,T2_scheduler,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,3,9,0.6029295102721677,0.6167878032461366,0.6605874166849778,0.6289817028322684,0.20022252994781511,0.05788201391234089,14.147347927093506,False
T_T2_scheduler_f1_sch-plateau_bal-sample_bce_pair-0p0_s0,T2_scheduler,1,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,0,19739,1513,18145,18,3,0.5971612715642567,0.5891623720195149,0.5933703575147518,0.6680002763949578,0.23784391281308503,0.09907596498557011,21.39136004447937,False
T_T2_scheduler_f1_sch-plateau_bal-sample_bce_pair-0p0_s1,T2_scheduler,1,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,1,19739,1513,18145,12,4,0.6036992526544767,0.6018344585308871,0.607497396737244,0.6641287937297238,0.2359219279933621,0.08903578248269921,14.08736515045166,False
T_T2_scheduler_f1_sch-plateau_bal-sample_bce_pair-0p0_s2,T2_scheduler,1,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,2,19739,1513,18145,9,1,0.574594990415886,0.572646533360819,0.5498438042346407,0.6760393828587457,0.24145736707373358,0.0940935666803644,11.66102385520935,False
T_T2_scheduler_f2_sch-plateau_bal-sample_bce_pair-0p0_s0,T2_scheduler,2,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,0,19739,1513,18145,10,10,0.5935793199855699,0.5979186554186554,0.636948825233344,0.6206826153787975,0.21433313068524548,0.06471896759728805,17.909874439239502,False
T_T2_scheduler_f2_sch-plateau_bal-sample_bce_pair-0p0_s1,T2_scheduler,2,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,1,19739,1513,18145,16,2,0.6319196428571429,0.634282846782847,0.6266852626685263,0.6098958254658935,0.21176415080073935,0.06612082951037697,20.946322679519653,False
T_T2_scheduler_f2_sch-plateau_bal-sample_bce_pair-0p0_s2,T2_scheduler,2,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,2,19739,1513,18145,15,1,0.6109361471861472,0.6110493672993672,0.5963952365626006,0.618922448687708,0.2153975027024248,0.045904797891003137,22.678855180740356,False
T_T2_scheduler_f3_sch-plateau_bal-sample_bce_pair-0p0_s0,T2_scheduler,3,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,0,19739,1513,18145,6,5,0.6194808881871819,0.6331782453657454,0.636453526697429,0.6379307953016662,0.20482688934981644,0.05058788651299383,18.612266540527344,False
T_T2_scheduler_f3_sch-plateau_bal-sample_bce_pair-0p0_s1,T2_scheduler,3,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,1,19739,1513,18145,6,8,0.6091384916559742,0.6265693103193103,0.6494909543690032,0.630150319716534,0.20245209080229,0.026909184213325502,18.910252809524536,False
T_T2_scheduler_f3_sch-plateau_bal-sample_bce_pair-0p0_s2,T2_scheduler,3,sch-plateau_bal-sample_bce_pair-0p0,plateau,sample_bce,0.0,2,19739,1513,18145,3,9,0.5990904976918962,0.6121635077885078,0.6535559950194096,0.6289274001304707,0.20045429191123684,0.06541954157437238,14.929768800735474,False
