experiment_id,stage,fold,config,seed,params,backbone_params,eeg_params,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,h2_gauc,h2_logloss,h2_brier,h2_ece,shuffle_gauc,zero_gauc,delta_h2_gauc,delta_shuffle_gauc,delta_zero_gauc,zero_sensitivity,shuffle_sensitivity,h2_sensitivity,correction_abs_mean,eeg_gradient_norm,backbone_best_epoch,eeg_best_epoch,elapsed_seconds,locked_test_accessed
U_U1_f1_U1-profile_s0,U1,1,U1-profile,0,17171,1513,15577,0.6124856238289074,0.6077844559540988,0.6169038528288788,0.6554128450974495,0.2319594314319512,0.07647040919707634,0.5955810772974953,0.6733736093568559,0.24025554596557033,0.12634253203438392,0.5950703193986776,0.5866471753785186,0.016904546531412046,0.01741530443022976,0.02583844845038874,0.05477090924978256,0.0082945441827178,0.05685161426663399,0.295328289270401,0.08807409622798977,13,11,20.73081350326538,False
U_U1_f1_U1-profile_s1,U1,1,U1-profile,1,17171,1513,15577,0.6325373134328358,0.631245640933141,0.632939951405762,0.6422570543685768,0.22580461967850102,0.05166691886447904,0.6009247054769443,0.6725341227012133,0.2397801836111185,0.10715150071633237,0.6086068574874545,0.5975617583080272,0.03161260795589149,0.023930455945381346,0.034975555124808655,0.06126825883984566,0.015322130173444748,0.06338519603013992,0.31250059604644775,0.43261372542166565,13,9,19.736404180526733,False
U_U1_f1_U1-profile_s2,U1,1,U1-profile,2,17171,1513,15577,0.571047037539575,0.5686141173641174,0.5464422075668172,0.6782632432043585,0.24238548274924276,0.09455589937275664,0.5730157653291982,0.6784588344395844,0.24247134321853844,0.0947495330372493,0.571047037539575,0.5730157653291982,-0.0019687277896232036,0.0,-0.0019687277896232036,0.00038551725447177887,6.959969323361292e-05,0.00038638178375549614,0.0017796114552766085,0.005655356055442174,6,1,11.828425645828247,False
U_U1_f2_U1-profile_s0,U1,2,U1-profile,0,17171,1513,15577,0.5920780348124098,0.5963408813408813,0.5939634517040374,0.625378226547067,0.21762631560316803,0.03260707060853543,0.5920780348124098,0.6256173831865409,0.2177340389461653,0.0323367214483146,0.5920780348124098,0.5920780348124098,0.0,0.0,0.0,0.0004602250410243869,0.0001315165573032573,0.00046205034595914185,0.0020294918213039637,0.02282926965547411,7,1,14.23178744316101,False
U_U1_f2_U1-profile_s1,U1,2,U1-profile,1,17171,1513,15577,0.6467598980880231,0.6477013727013726,0.6344455172907055,0.6067028877921696,0.21055966229892092,0.074161923957434,0.626472086940837,0.6120682931399176,0.21253169471697536,0.06408018513342696,0.6393119814213564,0.6230629960317461,0.02028781114718614,0.007447916666666776,0.023696902056277058,0.01584700308740139,0.0032547812443226576,0.01623627170920372,0.07963915914297104,0.06392871954196125,15,3,18.012640714645386,False
U_U1_f2_U1-profile_s2,U1,2,U1-profile,2,17171,1513,15577,0.6170669868326119,0.6144850982350983,0.6094481994063584,0.6133848013153431,0.21340763293719653,0.05832772680069058,0.613713924963925,0.6203150301845455,0.2159175056188892,0.04429030693483144,0.6168476055194805,0.6100183757215007,0.0033530618686868907,0.00021938131313137266,0.007048611111111103,0.01795305497944355,0.0032816140446811914,0.01837540790438652,0.09144135564565659,0.044796730885120026,13,3,21.74517321586609,False
U_U1_f3_U1-profile_s0,U1,3,U1-profile,0,17171,1513,15577,0.5907030518044504,0.6094000598167265,0.6372225884421006,0.6482906352296443,0.21002322312984684,0.06535744595215073,0.5906198017212003,0.6490071349650898,0.21037281634875776,0.06337780090756301,0.5907030518044504,0.5906198017212003,8.325008325005268e-05,0.0,8.325008325005268e-05,0.0033078622072935104,0.0009674741886556149,0.0033117388375103474,0.014120842330157757,0.07541615066009932,9,2,16.421722650527954,False
U_U1_f3_U1-profile_s1,U1,3,U1-profile,1,17171,1513,15577,0.6266578312906984,0.6404902504902505,0.7068409873287922,0.601894661475814,0.1926246045849373,0.029917553898421382,0.6245254551198608,0.6045035803074666,0.19397368710982346,0.037581139280112065,0.6235415031743703,0.6229423160367216,0.002132376170837613,0.0031163281163281153,0.003715515253976842,0.019017649814486504,0.0025438929442316294,0.019315678626298904,0.09331192076206207,0.03824939036871334,21,3,26.168276071548462,False
U_U1_f3_U1-profile_s2,U1,3,U1-profile,2,17171,1513,15577,0.6092238375455159,0.6258822543197543,0.6637369076393466,0.6384469171658648,0.2054883504988598,0.07429181704205262,0.5892927197123001,0.6531793063090838,0.21227648449330216,0.02326531453781514,0.6210886141830197,0.5892995310827478,0.019931117833215772,-0.011864776637503849,0.019924306462768104,0.054293762892484665,0.016527175903320312,0.05446456000208855,0.24358205497264862,0.1629894304741226,3,4,14.853886604309082,False
U_U1_f1_U1-dynamic_s0,U1,1,U1-dynamic,0,31187,1513,29593,0.574909004759751,0.5745733697519412,0.5573412009718848,0.6716876136362876,0.2395112799915102,0.0920695667195115,0.5756303977945769,0.6718621589970541,0.23959180536755786,0.09444329670487105,0.574909004759751,0.5756303977945769,-0.000721393034825879,0.0,-0.000721393034825879,0.00046607860713265836,0.00021494843531399965,0.0004663110594265163,0.0020890608429908752,0.06554394605923164,8,1,12.24649453163147,False
U_U1_f1_U1-dynamic_s1,U1,1,U1-dynamic,1,31187,1513,29593,0.6067807068553337,0.6027684798666942,0.6389795209996529,0.6380371237572297,0.22385395722433668,0.043920333467872226,0.5958465249510028,0.6727161876882704,0.23988334859817886,0.11205355280802294,0.6101318084900175,0.6029326312162133,0.01093418190433093,-0.003351101634683773,0.003848075639120374,0.07451529800891876,0.0325966477394104,0.07863175868988037,0.36933690309524536,0.34103513957457526,13,7,17.380450963974,False
U_U1_f1_U1-dynamic_s2,U1,1,U1-dynamic,2,31187,1513,29593,0.5747073076177555,0.5724406479763623,0.5467893092676154,0.6785596142770285,0.24251080315726867,0.09851182519023266,0.5736625314983526,0.6785797842695567,0.24251998248819345,0.0985248341833811,0.5747073076177555,0.5736625314983526,0.0010447761194029015,0.0,0.0010447761194029015,4.906999311060645e-05,2.974305971292779e-05,4.9096677685156465e-05,0.00022769362840335816,0.014081647778754095,6,1,10.806133031845093,False
