fold,user_id,sample_count,positive_count,negative_count,like_rate,valid_user_auc,exclusion_reason,real_user_auc,h2_user_auc,zero_user_auc,shuffle_user_auc,delta_h2_user_auc,delta_zero_user_auc,delta_shuffle_user_auc,zero_sensitivity_mean,shuffle_sensitivity_mean,h2_sensitivity_mean,eeg_correction_abs_mean,eeg_correction_abs_std,history_length_mean,history_length_median,seen_item_rate,session_mode_majority,session_mode_distribution,video_type_majority,video_type_distribution,train_sample_count,train_positive_count,train_negative_count,dev_sample_count_manifest,dev_positive_count_manifest,dev_negative_count_manifest,train_pair_eligible,train_possible_pos_neg_pairs,train_pair_cap_per_epoch,train_pair_minor_class_coverage,train_pair_pairspace_coverage,hard_negative_pairs_enabled,pairwise_weight
1,16,10,5,5,0.5,True,,0.2,0.2,0.24,0.24,0.0,-0.03999999999999998,-0.03999999999999998,0.0008673106630642912,0.0010668997963269532,0.0020679061611493634,0.009995397630253334,0.008504137812874004,20.0,20.0,0.0,1,1:1.0000,1,1:1.0000,53,16,37,10,5,5,True,592,8,0.5,0.013513513513513514,True,0.05
1,23,9,1,8,0.1111111111111111,True,,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0008143296948185601,7.776971216553247e-05,0.00363331977967862,0.017356595238518516,0.005669039035803496,20.0,20.0,0.1111111111111111,1,1:1.0000,1,1:1.0000,45,7,38,9,1,8,True,266,7,1.0,0.02631578947368421,True,0.05
1,28,14,2,12,0.14285714285714285,True,,0.25,0.29166666666666663,0.25,0.25,-0.04166666666666663,0.0,0.0,0.0002350239526657884,0.00034864920945395665,0.0011285596660205374,0.005822255103047618,0.00686937633800424,20.0,20.0,0.07142857142857142,2,1:0.2857;2:0.7143,2,1:0.2857;2:0.7143,72,28,44,14,2,12,True,1232,8,0.2857142857142857,0.006493506493506494,True,0.05
1,0,15,6,9,0.4,True,,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0017590370443132165,0.0006426172124014954,0.001099664303991534,0.005488208154733333,0.006032041221066052,20.0,20.0,0.06666666666666667,1,1:1.0000,1,1:1.0000,73,9,64,15,6,9,True,576,8,0.8888888888888888,0.013888888888888888,True,0.05
1,22,10,1,9,0.1,True,,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.00015474458535512657,0.0005059455831845777,0.0008524626493454119,0.004414527643066667,0.0036001425124791197,20.0,20.0,0.0,2,2:1.0000,2,2:1.0000,52,23,29,10,1,9,True,667,8,0.34782608695652173,0.01199400299850075,True,0.05
1,29,9,5,4,0.5555555555555556,True,,0.35,0.30000000000000004,0.35,0.35,0.04999999999999993,0.0,0.0,0.00034174985355801054,7.01281759474136e-05,0.002036485407087532,0.009702792766296297,0.007314987027080227,20.0,20.0,0.0,2,1:0.3333;2:0.6667,2,1:0.3333;2:0.6667,46,28,18,9,5,4,True,504,8,0.4444444444444444,0.015873015873015872,True,0.05
1,24,9,2,7,0.2222222222222222,True,,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.0,0.0,0.0,0.001962889675740823,0.00010922164828688598,0.00026620482956922335,0.0019443722881481486,0.001252539932315966,20.0,20.0,0.1111111111111111,1,1:0.8889;2:0.1111,1,1:0.8889;2:0.1111,46,7,39,9,2,7,True,273,7,1.0,0.02564102564102564,True,0.05
1,26,12,1,11,0.08333333333333333,True,,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.00012815081410937992,0.0001194857888751714,0.0005415744251675222,0.0032074720686111106,0.004926424262651333,20.0,20.0,0.0,2,2:1.0000,2,2:1.0000,63,7,56,12,1,11,True,392,7,1.0,0.017857142857142856,True,0.05
1,7,13,5,8,0.38461538461538464,True,,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0005612086791258485,0.00046461285688938095,0.004342912863462383,0.021784906412594875,0.0068330267375954715,20.0,20.0,0.15384615384615385,3,3:1.0000,1,1:1.0000,65,11,54,13,5,8,True,594,8,0.7272727272727273,0.013468013468013467,True,0.05
1,19,11,3,8,0.2727272727272727,True,,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0011050579222765837,0.0011384947733445803,0.0010883505597259026,0.005533618444787878,0.005553956001953384,20.0,20.0,0.6363636363636364,3,3:1.0000,0,0:0.5455;1:0.4545,54,8,46,11,3,8,True,368,8,1.0,0.021739130434782608,True,0.05
1,18,13,5,8,0.38461538461538464,True,,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.00012285892780009876,8.98440678914331e-05,0.0021299941417498515,0.010571629762051282,0.007362942622272665,20.0,20.0,0.07692307692307693,1,1:1.0000,1,1:1.0000,67,6,61,13,5,8,True,366,6,1.0,0.01639344262295082,True,0.05
