experiment_id,stage,fold,config,seed,params,backbone_params,eeg_params,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,h2_gauc,h2_logloss,h2_brier,h2_ece,shuffle_gauc,zero_gauc,delta_h2_gauc,delta_shuffle_gauc,delta_zero_gauc,zero_sensitivity,shuffle_sensitivity,h2_sensitivity,correction_abs_mean,eeg_gradient_norm,normalization,pairwise_weight,pair_cap_per_user,hard_negative_pairs,listwise_weight,user_weight_power,correction_l2,backbone_best_epoch,eeg_best_epoch,elapsed_seconds,locked_test_accessed
V_V2E_f1_V2E-dynamic-gated-hardneg-cap16-p0p10_s0,V2E,1,V2E-dynamic-gated-hardneg-cap16-p0p10,0,43451,1513,41857,0.6014539854838363,0.5932518424036283,0.5976744186046512,0.6646488957697213,0.2363344371069465,0.09687016039745174,0.6032450302599557,0.6648548263936348,0.23642539198433382,0.09706467808488445,0.6014539854838363,0.6014539854838363,-0.0017910447761193549,0.0,0.0,0.00020710336684715003,5.913553468417376e-05,0.00035672515514306724,0.0016653877682983875,0.0033577730345889438,global_train_zscore,0.1,16,True,0.0,0.0,0.0,23,1,27.73414444923401,False
V_V2E_f1_V2E-dynamic-gated-hardneg-cap16-p0p10_s1,V2E,1,V2E-dynamic-gated-hardneg-cap16-p0p10,1,43451,1513,41857,0.575817341862118,0.5740973510616367,0.5524470669906283,0.6747792607323756,0.24084053594604757,0.09275037686428576,0.575817341862118,0.6748292838312997,0.24086203369746856,0.09053652650305742,0.575817341862118,0.575817341862118,0.0,0.0,0.0,5.268478344078176e-05,5.211952156969346e-05,0.00011305639054626226,0.0005226428038440645,0.007563274419172077,global_train_zscore,0.1,16,True,0.0,0.0,0.0,8,1,17.175469636917114,False
V_V2E_f1_V2E-dynamic-gated-hardneg-cap16-p0p10_s2,V2E,1,V2E-dynamic-gated-hardneg-cap16-p0p10,2,43451,1513,41857,0.5753897180762854,0.5730098605098606,0.5494272821936828,0.6766895511181115,0.2416999035369499,0.09141694957171607,0.5736069651741295,0.6777578701158328,0.24218256471899258,0.09433141158610839,0.5771867933061964,0.5762415196743557,0.001782752902155904,-0.001797075229911016,-0.0008518015980703009,0.0022338018752634525,0.0010452865390107036,0.0026046079583466053,0.012013927102088928,0.07509704003846893,global_train_zscore,0.1,16,True,0.0,0.0,0.0,6,3,16.977522134780884,False
V_V2E_f2_V2E-dynamic-gated-hardneg-cap16-p0p10_s0,V2E,2,V2E-dynamic-gated-hardneg-cap16-p0p10,0,43451,1513,41857,0.5983402101370852,0.6025762663262663,0.6333726710295748,0.6172590830655774,0.21398971085634882,0.031533759834213436,0.5963759244227994,0.6258267079472958,0.21782571582956894,0.03167819259675176,0.5913782918470418,0.5856070752164503,0.0019642857142857517,0.006961918290043334,0.012733134920634881,0.014642926864326,0.006388436537235975,0.013037165626883507,0.0590897798538208,0.3169783325675765,global_train_zscore,0.1,16,True,0.0,0.0,0.0,6,4,21.12342357635498,False
V_V2E_f2_V2E-dynamic-gated-hardneg-cap16-p0p10_s1,V2E,2,V2E-dynamic-gated-hardneg-cap16-p0p10,1,43451,1513,41857,0.6633938717532468,0.665798507048507,0.7103315094946894,0.5744345486653395,0.1976038304666184,0.1103003906672088,0.6323500631313131,0.6156164797757329,0.21382442576546967,0.06259212804646912,0.6245486111111112,0.5890867379148628,0.031043808621933677,0.03884526064213567,0.07430713383838405,0.12767274677753448,0.0555557943880558,0.100994773209095,0.4901784360408783,0.2839180223267875,global_train_zscore,0.1,16,True,0.0,0.0,0.0,13,11,32.809327602386475,False
V_V2E_f2_V2E-dynamic-gated-hardneg-cap16-p0p10_s2,V2E,2,V2E-dynamic-gated-hardneg-cap16-p0p10,2,43451,1513,41857,0.6353880321067821,0.6357598882598883,0.6184243464578194,0.6128578871920105,0.21268315539013224,0.060938415111021604,0.6215214646464646,0.6216074968027842,0.21630098168588094,0.049208203732857496,0.6327516233766233,0.6221822014790764,0.013866567460317447,0.0026364087301588013,0.01320583062770564,0.011857274919748306,0.004180423449724913,0.013611792586743832,0.0650259405374527,0.07259581352495216,global_train_zscore,0.1,16,True,0.0,0.0,0.0,10,4,24.473825454711914,False
V_V2E_f3_V2E-dynamic-gated-hardneg-cap16-p0p10_s0,V2E,3,V2E-dynamic-gated-hardneg-cap16-p0p10,0,43451,1513,41857,0.6243696280409566,0.6379342455384122,0.6816084377059988,0.6215383219387567,0.1977827127812824,0.04879300428994204,0.5967709737814633,0.6507853358856985,0.21120030281287275,0.039073932863751035,0.5807421017211227,0.5931159652313498,0.02759865425949337,0.04362752631983391,0.03125366280960684,0.05812455341219902,0.03552496060729027,0.0690726637840271,0.3207559287548065,0.31969251801110915,global_train_zscore,0.1,16,True,0.0,0.0,0.0,5,5,23.262128353118896,False
V_V2E_f3_V2E-dynamic-gated-hardneg-cap16-p0p10_s1,V2E,3,V2E-dynamic-gated-hardneg-cap16-p0p10,1,43451,1513,41857,0.5973318639402555,0.6123902178068845,0.6470372811836227,0.6463446749348662,0.2091003651643777,0.06898981586512372,0.5973318639402555,0.6464419672773764,0.2091420554433992,0.06904669487927141,0.5973318639402555,0.5973318639402555,0.0,0.0,0.0,0.00023428960412275046,9.798020619200543e-05,0.0003795964876189828,0.0017143379664048553,0.0044949102781039,global_train_zscore,0.1,16,True,0.0,0.0,0.0,15,1,28.79208517074585,False
V_V2E_f3_V2E-dynamic-gated-hardneg-cap16-p0p10_s2,V2E,3,V2E-dynamic-gated-hardneg-cap16-p0p10,2,43451,1513,41857,0.6052595714309003,0.6233321732280065,0.6789716545814105,0.6291942640067751,0.20124478818717806,0.07051914729111645,0.592038837231145,0.6524287515614634,0.21197543319776183,0.055049017864782945,0.5446436333674096,0.5941689041339391,0.013220734199755224,0.06061593806349064,0.011090667296961176,0.08226193487644196,0.043551281094551086,0.06756968051195145,0.30926713347435,0.3841986236040345,global_train_zscore,0.1,16,True,0.0,0.0,0.0,6,5,24.27350640296936,False
V_V2E_f1_V2E-dynamic-gated-listwise-0p02_s0,V2E,1,V2E-dynamic-gated-listwise-0p02,0,43451,1513,41857,0.6035791820120179,0.5950190897065898,0.5975702880944117,0.6640805318470532,0.2359971105648051,0.07955266086966396,0.6022110228080377,0.6650320152973651,0.2364196707840959,0.08158313493673985,0.6022856496737095,0.6027499946156663,0.001368159203980146,0.001293532338308423,0.0008291873963516272,0.0009916566777974367,0.00026634649839252234,0.00201174383983016,0.009358016774058342,0.017679829119658444,global_train_zscore,0.05,16,True,0.02,0.0,0.0,23,2,34.16917586326599,False
V_V2E_f1_V2E-dynamic-gated-listwise-0p02_s1,V2E,1,V2E-dynamic-gated-listwise-0p02,1,43451,1513,41857,0.6118891473369086,0.6073137626262628,0.5980562304755294,0.6644574648338035,0.23623253907187242,0.08296532025907646,0.6081376666451294,0.6684883753227605,0.23801688152141248,0.10444830253421408,0.6120597230298723,0.6117197561973683,0.0037514806917792187,-0.00017057569296374808,0.00016939113954028695,0.001369314850308001,0.0010000837501138449,0.005970512051135302,0.027888098731637,0.037693236979025366,global_train_zscore,0.05,16,True,0.02,0.0,0.0,15,4,27.82344365119934,False
V_V2E_f1_V2E-dynamic-gated-listwise-0p02_s2,V2E,1,V2E-dynamic-gated-listwise-0p02,2,43451,1513,41857,0.5744610281923715,0.5726205936920223,0.5569246789309268,0.6739282649433668,0.24041528855395924,0.09087500834362554,0.5736069651741295,0.6779333411208723,0.24225511481542622,0.0914183676157435,0.57749833085654,0.5798236092265944,0.0008540630182420905,-0.003037302664168462,-0.005362581034222824,0.01056856382638216,0.003211000934243202,0.011829838156700134,0.054434362798929214,0.18459683679005123,global_train_zscore,0.05,16,True,0.02,0.0,0.0,6,4,20.45245051383972,False
V_V2E_f2_V2E-dynamic-gated-listwise-0p02_s0,V2E,2,V2E-dynamic-gated-listwise-0p02,0,43451,1513,41857,0.6004630005411256,0.6050665538165538,0.6526123806458535,0.6109630132501187,0.21121386905885925,0.03303709695392989,0.5964105339105339,0.6237564154327486,0.21691432322452098,0.045583179089753456,0.5760688356782107,0.5941101866883116,0.004052466630591667,0.024394164862914902,0.006352813852813943,0.022999823093414307,0.009580006822943687,0.019941989332437515,0.09035303443670273,0.43824226319295495,global_train_zscore,0.05,16,True,0.02,0.0,0.0,8,4,26.478532552719116,False
V_V2E_f2_V2E-dynamic-gated-listwise-0p02_s1,V2E,2,V2E-dynamic-gated-listwise-0p02,1,43451,1513,41857,0.6694868326118326,0.6678894253894254,0.7037513857597539,0.579666420249076,0.20010193296219436,0.06972828288000141,0.6302643623737374,0.6038759672963708,0.20913741580744105,0.055199412443267,0.6163248556998557,0.5924321338383839,0.03922247023809522,0.05316197691197688,0.07705469877344873,0.1545194536447525,0.06599590927362442,0.11179818958044052,0.5412359237670898,0.25262722527979337,global_train_zscore,0.05,16,True,0.02,0.0,0.0,20,11,45.204673290252686,False
V_V2E_f2_V2E-dynamic-gated-listwise-0p02_s2,V2E,2,V2E-dynamic-gated-listwise-0p02,2,43451,1513,41857,0.633835340007215,0.6321053483553484,0.6592640274648642,0.5975945985069431,0.20648280192047516,0.037088885902704434,0.617137784090909,0.6232812458417387,0.21696324745352133,0.04558305567250783,0.6192400568181818,0.6063122294372294,0.01669755591630595,0.014595283189033137,0.027523110569985576,0.0476108081638813,0.018298227339982986,0.04635770246386528,0.2196027934551239,0.17191068212529012,global_train_zscore,0.05,16,True,0.02,0.0,0.0,8,5,26.868003129959106,False
V_V2E_f3_V2E-dynamic-gated-listwise-0p02_s0,V2E,3,V2E-dynamic-gated-listwise-0p02,0,43451,1513,41857,0.6184142198128213,0.6326182382432383,0.6817183036695232,0.6181319195117155,0.19619813921462578,0.0411867588586965,0.5935228330333225,0.6508305687423083,0.21122685349284956,0.038015274231841235,0.5814729365428666,0.5941787912941758,0.02489138677949876,0.03694128326995472,0.024235428518645463,0.06399352103471756,0.03972296789288521,0.08104162663221359,0.37497422099113464,0.3169975394234259,global_train_zscore,0.05,16,True,0.02,0.0,0.0,5,5,27.024792671203613,False
V_V2E_f3_V2E-dynamic-gated-listwise-0p02_s1,V2E,3,V2E-dynamic-gated-listwise-0p02,1,43451,1513,41857,0.5909078974638415,0.6063959111875779,0.6388339559071267,0.6475367862318304,0.20975437933685073,0.06810932522098531,0.5899366464925906,0.6475849660342723,0.209776251266835,0.06814928724318325,0.5909078974638415,0.5909078974638415,0.0009712509712509476,0.0,0.0,0.0002734283043537289,0.00011875551717821509,0.0002733625005930662,0.0011906578438356519,0.016991321927887014,global_train_zscore,0.05,16,True,0.02,0.0,0.0,12,1,31.120493173599243,False
V_V2E_f3_V2E-dynamic-gated-listwise-0p02_s2,V2E,3,V2E-dynamic-gated-listwise-0p02,2,43451,1513,41857,0.5954964906887984,0.6130428367928368,0.6727092946605142,0.6290133764116185,0.2014815362246925,0.050881467604717,0.590289071845016,0.6523202965851168,0.21197011202906105,0.05905079040206782,0.5815622411776259,0.5857840683015509,0.0052074188437823965,0.013934249511172503,0.009712422387247455,0.028107956051826477,0.014624828472733498,0.0541972741484642,0.24819208681583405,0.368742180271621,global_train_zscore,0.05,16,True,0.02,0.0,0.0,7,4,29.62373113632202,False
V_V2E_f1_V2E-dynamic-gated-userw0p5-listwise_s0,V2E,1,V2E-dynamic-gated-userw0p5-listwise,0,43451,1513,41857,0.6050551355775237,0.5964670299938158,0.5977785491148907,0.6634332309963019,0.23565125746270316,0.07471278954542811,0.6029927203807801,0.6643640224977853,0.23606582810107923,0.07645682962798114,0.6027439641618747,0.6037887402812777,0.00206241519674355,0.0023111714156489604,0.001266395296245948,0.0009113363921642303,0.0002459323441144079,0.0019676070660352707,0.00910228956490755,0.022023171247586317,global_train_zscore,0.05,16,True,0.02,0.5,0.0,24,2,37.02231168746948,False
V_V2E_f1_V2E-dynamic-gated-userw0p5-listwise_s1,V2E,1,V2E-dynamic-gated-userw0p5-listwise,1,43451,1513,41857,0.6125406517197562,0.608926574417646,0.595209996528983,0.6659181389057088,0.23688828523016944,0.09656479295054957,0.6081116064698155,0.6694121238000277,0.23843253264051126,0.11150603726463536,0.6140995240248972,0.6138495832525684,0.0044290452499407,-0.001558872305140957,-0.0013089315328121964,0.001793730421923101,0.0011374903842806816,0.004915556404739618,0.023029819130897522,0.034250964512239974,global_train_zscore,0.05,16,True,0.02,0.5,0.0,15,4,27.8097665309906,False
V_V2E_f1_V2E-dynamic-gated-userw0p5-listwise_s2,V2E,1,V2E-dynamic-gated-userw0p5-listwise,2,43451,1513,41857,0.5753377054123323,0.5732332680546967,0.5568552585907671,0.6741039600070038,0.24051372621897885,0.09491983090225807,0.5723405698778834,0.6778682210325366,0.24223451495703693,0.09344773173844576,0.5723988283689777,0.5764322327755165,0.0029971355344489137,0.002938877043354604,-0.0010945273631841612,0.00948887225240469,0.0031679158564656973,0.011152267456054688,0.051256392151117325,0.1796579484453449,global_train_zscore,0.05,16,True,0.02,0.5,0.0,6,4,21.360679864883423,False
V_V2E_f2_V2E-dynamic-gated-userw0p5-listwise_s0,V2E,2,V2E-dynamic-gated-userw0p5-listwise,0,43451,1513,41857,0.6041614808802309,0.6078988603988604,0.6288309551907878,0.6172559913844616,0.21402503201552447,0.02647132382027051,0.5978283955627706,0.626132918247652,0.21796776072488216,0.03300855402819018,0.5915470553751804,0.5932041396103896,0.006333085317460352,0.012614425505050542,0.01095734126984127,0.017063703387975693,0.006697892677038908,0.013525170274078846,0.06158280000090599,0.369100106219354,global_train_zscore,0.05,16,True,0.02,0.5,0.0,6,4,24.39872169494629,False
V_V2E_f2_V2E-dynamic-gated-userw0p5-listwise_s1,V2E,2,V2E-dynamic-gated-userw0p5-listwise,1,43451,1513,41857,0.6452628968253968,0.6471649184149183,0.6359475020562886,0.6075337251727695,0.2106909586928786,0.04419517492237132,0.6327816107503608,0.6161354404350068,0.21409531060574996,0.05895208277192826,0.6304414682539682,0.6336704094516594,0.012481286075036069,0.014821428571428652,0.011592487373737415,0.010743114165961742,0.004016261547803879,0.016406916081905365,0.08012711256742477,0.03654119879666659,global_train_zscore,0.05,16,True,0.02,0.5,0.0,13,4,30.89895486831665,False
V_V2E_f2_V2E-dynamic-gated-userw0p5-listwise_s2,V2E,2,V2E-dynamic-gated-userw0p5-listwise,2,43451,1513,41857,0.6012910353535353,0.6035843785843786,0.6179236848692916,0.6182907644506067,0.21462047923805383,0.028846017029424183,0.5970052083333333,0.6277308908251678,0.2188082099683083,0.04297001398720498,0.5989794146825397,0.5977580492424243,0.004285827020202082,0.002311620670995662,0.0035329861111110805,0.015486395917832851,0.007853877730667591,0.01710609719157219,0.07633417844772339,0.338984024191728,global_train_zscore,0.05,16,True,0.02,0.5,0.0,7,4,25.628537893295288,False
V_V2E_f3_V2E-dynamic-gated-userw0p5-listwise_s0,V2E,3,V2E-dynamic-gated-userw0p5-listwise,0,43451,1513,41857,0.6109286013132167,0.6176955721747389,0.6864059181132351,0.6408615224889702,0.20757581161507582,0.09159732444234227,0.594232855334254,0.6484928357106811,0.21009633986053963,0.06289621452991366,0.5521931545532943,0.570313466642138,0.01669574597896273,0.05873544675992237,0.04061513467107869,0.17076802253723145,0.07161886990070343,0.13853643834590912,0.6412816047668457,0.3500298627179231,global_train_zscore,0.05,16,True,0.02,0.5,0.0,10,11,39.35988259315491,False
