fold,user_id,train_sample_count,train_positive_count,train_negative_count,train_like_rate,dev_sample_count,dev_positive_count,dev_negative_count,dev_like_rate,valid_dev_user_auc,dev_pos_neg_pair_count,auc_0p8_standard_error,auc_0p8_95ci_halfwidth,auc_0p616_standard_error,sample_power_flag,champion_user_auc,v2e_user_auc,delta_v2e_minus_champion_user_auc
1,6,21,3,18,0.14285714285714285,4,0,4,0.0,False,0,,,,invalid_auc_one_class,,,
1,23,45,7,38,0.15555555555555556,9,1,8,0.1111111111111111,True,8,0.28674417556808757,0.5620185841134516,0.3293390903649576,very_low_dev_samples,0.25,0.25,0.0
1,24,46,7,39,0.15217391304347827,9,2,7,0.2222222222222222,True,14,0.20930724738891343,0.4102422048822703,0.24541116285524872,very_low_dev_samples,0.35714285714285715,0.35714285714285715,0.0
1,29,46,28,18,0.6086956521739131,9,5,4,0.5555555555555556,True,20,0.15491933384829665,0.3036418943426614,0.19615683791344596,very_low_dev_samples,0.25,0.30000000000000004,0.050000000000000044
1,16,53,16,37,0.3018867924528302,10,5,5,0.5,True,25,0.14847371634213388,0.2910084840305824,0.18544194857194146,low_dev_samples,0.2,0.24,0.03999999999999998
1,22,52,23,29,0.4423076923076923,10,1,9,0.1,True,9,0.28458329944145994,0.5577832669052615,0.32623810282083987,low_dev_samples,0.4444444444444444,0.33333333333333337,-0.11111111111111105
1,25,49,6,43,0.12244897959183673,10,0,10,0.0,False,0,,,,invalid_auc_one_class,,,
1,27,52,27,25,0.5192307692307693,10,5,5,0.5,True,25,0.14847371634213388,0.2910084840305824,0.18544194857194146,low_dev_samples,0.8400000000000001,0.8800000000000001,0.040000000000000036
1,1,54,20,34,0.37037037037037035,11,4,7,0.36363636363636365,True,28,0.15430334996209188,0.3024345659257001,0.1865501331400257,low_dev_samples,0.6785714285714286,0.6428571428571428,-0.03571428571428581
1,3,56,25,31,0.44642857142857145,11,9,2,0.8181818181818182,True,18,0.15713484026367716,0.30798428691680724,0.2175267445841223,low_dev_samples,0.9444444444444444,1.0,0.05555555555555558
1,9,54,35,19,0.6481481481481481,11,3,8,0.2727272727272727,True,24,0.17213259316477408,0.3373798826029572,0.20401875000347625,low_dev_samples,0.7916666666666667,0.7916666666666667,0.0
1,10,60,38,22,0.6333333333333333,11,9,2,0.8181818181818182,True,18,0.15713484026367716,0.30798428691680724,0.2175267445841223,low_dev_samples,1.0,1.0,0.0
1,14,59,21,38,0.3559322033898305,11,5,6,0.45454545454545453,True,30,0.1440164599646191,0.28227226153065343,0.1779405999487742,low_dev_samples,0.7,0.7,0.0
1,19,54,8,46,0.14814814814814814,11,3,8,0.2727272727272727,True,24,0.17213259316477408,0.3373798826029572,0.20401875000347625,low_dev_samples,0.4166666666666667,0.4166666666666667,0.0
1,5,65,27,38,0.4153846153846154,12,7,5,0.5833333333333334,True,35,0.1314147680812216,0.25757294543919435,0.16826608385752487,low_dev_samples,0.45714285714285713,0.48571428571428565,0.028571428571428525
1,12,61,15,46,0.2459016393442623,12,4,8,0.3333333333333333,True,32,0.15184055965240498,0.29760749691871374,0.182396757350018,low_dev_samples,0.6875,0.6875,0.0
1,20,60,16,44,0.26666666666666666,12,2,10,0.16666666666666666,True,20,0.2033060090930254,0.3984797778223298,0.2359741894895811,low_dev_samples,0.9,0.7999999999999999,-0.10000000000000009
1,26,63,7,56,0.1111111111111111,12,1,11,0.08333333333333333,True,11,0.2814105882725794,0.5515647530142557,0.3216742154429371,low_dev_samples,0.36363636363636365,0.36363636363636365,0.0
1,7,65,11,54,0.16923076923076924,13,5,8,0.38461538461538464,True,40,0.13824294235551812,0.2709561670168155,0.16809382241799842,low_dev_samples,0.5750000000000001,0.45,-0.12500000000000006
1,8,65,27,38,0.4153846153846154,13,7,6,0.5384615384615384,True,42,0.12682529749484556,0.24857758308989727,0.1604413132756686,low_dev_samples,0.6190476190476191,0.5952380952380952,-0.023809523809523836
1,11,66,27,39,0.4090909090909091,13,12,1,0.9230769230769231,True,12,0.1943650631615099,0.3809555237965594,0.2826120268019042,low_dev_samples,0.8333333333333334,0.8333333333333334,0.0
1,13,69,18,51,0.2608695652173913,13,3,10,0.23076923076923078,True,30,0.16865480854231354,0.33056342474293454,0.198267766801313,low_dev_samples,0.7666666666666666,0.7,-0.06666666666666665
1,18,67,6,61,0.08955223880597014,13,5,8,0.38461538461538464,True,40,0.13824294235551812,0.2709561670168155,0.16809382241799842,low_dev_samples,0.5,0.45,-0.04999999999999999
1,21,70,26,44,0.37142857142857144,13,4,9,0.3076923076923077,True,36,0.14989708403591157,0.29379828471038666,0.17909977611714165,low_dev_samples,0.7500000000000001,0.7500000000000001,0.0
1,2,71,14,57,0.19718309859154928,14,3,11,0.21428571428571427,True,33,0.1673722438562261,0.32804959795820315,0.19613469603444691,low_dev_samples,0.7575757575757576,0.7575757575757576,0.0
1,4,74,30,44,0.40540540540540543,14,10,4,0.7142857142857143,True,40,0.12382783747337801,0.2427025614478209,0.16565660215748576,low_dev_samples,0.775,0.8,0.025000000000000022
1,17,68,8,60,0.11764705882352941,14,4,10,0.2857142857142857,True,40,0.14832396974191325,0.29071498069414997,0.17641783349745963,low_dev_samples,0.7250000000000001,0.7749999999999999,0.04999999999999982
