fold,split,user_id,session_id,event_count,positive_count,negative_count,like_rate,possible_pair_count,valid_pair_context,session_position_min,session_position_max
1,dev,0,2,15,6,9,0.4,54,True,31,45
1,dev,1,4,11,4,7,0.36363636363636365,28,True,3,13
1,dev,2,3,10,1,9,0.1,9,True,5,14
1,dev,2,4,4,2,2,0.5,4,True,1,4
1,dev,3,3,3,1,2,0.3333333333333333,2,True,16,18
1,dev,3,4,8,8,0,1.0,0,False,1,8
1,dev,4,4,14,10,4,0.7142857142857143,40,True,1,14
1,dev,5,4,3,3,0,1.0,0,False,21,23
1,dev,5,5,9,4,5,0.4444444444444444,20,True,1,9
1,dev,6,2,4,0,4,0.0,0,False,1,4
1,dev,7,4,13,5,8,0.38461538461538464,40,True,21,33
1,dev,8,3,8,6,2,0.75,12,True,23,30
1,dev,8,4,5,1,4,0.2,4,True,1,5
1,dev,9,3,5,1,4,0.2,4,True,13,17
1,dev,9,4,6,2,4,0.3333333333333333,8,True,1,6
1,dev,10,2,1,1,0,1.0,0,False,33,33
1,dev,10,3,10,8,2,0.8,16,True,1,10
1,dev,11,4,3,3,0,1.0,0,False,18,20
1,dev,11,5,10,9,1,0.9,9,True,1,10
1,dev,12,3,9,2,7,0.2222222222222222,14,True,17,25
1,dev,12,4,3,2,1,0.6666666666666666,2,True,1,3
1,dev,13,3,13,3,10,0.23076923076923078,30,True,16,28
1,dev,14,4,6,1,5,0.16666666666666666,5,True,9,14
1,dev,14,5,5,4,1,0.8,4,True,1,5
1,dev,15,4,15,7,8,0.4666666666666667,56,True,10,24
1,dev,16,2,5,1,4,0.2,4,True,14,18
1,dev,16,3,5,4,1,0.8,4,True,1,5
1,dev,17,4,14,4,10,0.2857142857142857,40,True,2,15
1,dev,18,5,13,5,8,0.38461538461538464,40,True,3,15
1,dev,19,4,11,3,8,0.2727272727272727,24,True,3,13
1,dev,20,4,11,1,10,0.09090909090909091,10,True,1,11
1,dev,20,5,1,1,0,1.0,0,False,1,1
1,dev,21,3,13,4,9,0.3076923076923077,36,True,9,21
1,dev,22,4,10,1,9,0.1,9,True,8,17
1,dev,23,2,3,1,2,0.3333333333333333,2,True,26,28
1,dev,23,3,6,0,6,0.0,0,False,1,6
1,dev,24,2,8,2,6,0.25,12,True,7,14
1,dev,24,3,1,0,1,0.0,0,False,1,1
1,dev,25,2,10,0,10,0.0,0,False,9,18
1,dev,26,3,12,1,11,0.08333333333333333,11,True,5,16
1,dev,27,3,10,5,5,0.5,25,True,16,25
1,dev,28,3,4,1,3,0.25,3,True,22,25
1,dev,28,4,10,1,9,0.1,9,True,1,10
1,dev,29,3,3,3,0,1.0,0,False,12,14
1,dev,29,4,6,2,4,0.3333333333333333,8,True,1,6
1,train,0,1,43,9,34,0.20930232558139536,306,True,1,43
1,train,0,2,30,0,30,0.0,0,False,1,30
1,train,1,1,22,3,19,0.13636363636363635,57,True,1,22
1,train,1,2,17,10,7,0.5882352941176471,70,True,1,17
1,train,1,3,13,7,6,0.5384615384615384,42,True,1,13
1,train,1,4,2,0,2,0.0,0,False,1,2
1,train,2,1,42,5,37,0.11904761904761904,185,True,1,42
1,train,2,2,25,7,18,0.28,126,True,1,25
1,train,2,3,4,2,2,0.5,4,True,1,4
1,train,3,1,20,7,13,0.35,91,True,1,20
1,train,3,2,21,9,12,0.42857142857142855,108,True,1,21
1,train,3,3,15,9,6,0.6,54,True,1,15
1,train,4,1,23,3,20,0.13043478260869565,60,True,1,23
1,train,4,2,23,12,11,0.5217391304347826,132,True,1,23
1,train,4,3,28,15,13,0.5357142857142857,195,True,1,28
1,train,5,1,26,12,14,0.46153846153846156,168,True,1,26
1,train,5,2,13,8,5,0.6153846153846154,40,True,1,13
1,train,5,3,6,4,2,0.6666666666666666,8,True,1,6
1,train,5,4,20,3,17,0.15,51,True,1,20
1,train,6,1,21,3,18,0.14285714285714285,54,True,1,21
1,train,7,1,15,2,13,0.13333333333333333,26,True,1,15
1,train,7,2,17,3,14,0.17647058823529413,42,True,1,17
1,train,7,3,13,2,11,0.15384615384615385,22,True,1,13
1,train,7,4,20,4,16,0.2,64,True,1,20
1,train,8,1,20,7,13,0.35,91,True,1,20
1,train,8,2,23,9,14,0.391304347826087,126,True,1,23
1,train,8,3,22,11,11,0.5,121,True,1,22
1,train,9,1,26,13,13,0.5,169,True,1,26
1,train,9,2,16,13,3,0.8125,39,True,1,16
1,train,9,3,12,9,3,0.75,27,True,1,12
1,train,10,1,28,16,12,0.5714285714285714,192,True,1,28
1,train,10,2,32,22,10,0.6875,220,True,1,32
1,train,11,1,13,3,10,0.23076923076923078,30,True,1,13
1,train,11,2,16,8,8,0.5,64,True,1,16
1,train,11,3,20,7,13,0.35,91,True,1,20
1,train,11,4,17,9,8,0.5294117647058824,72,True,1,17
1,train,12,1,22,4,18,0.18181818181818182,72,True,1,22
1,train,12,2,23,6,17,0.2608695652173913,102,True,1,23
1,train,12,3,16,5,11,0.3125,55,True,1,16
1,train,13,1,29,4,25,0.13793103448275862,100,True,1,29
1,train,13,2,25,7,18,0.28,126,True,1,25
1,train,13,3,15,7,8,0.4666666666666667,56,True,1,15
1,train,14,1,15,4,11,0.26666666666666666,44,True,1,15
1,train,14,2,17,5,12,0.29411764705882354,60,True,1,17
1,train,14,3,19,10,9,0.5263157894736842,90,True,1,19
1,train,14,4,8,2,6,0.25,12,True,1,8
1,train,15,1,19,0,19,0.0,0,False,1,19
1,train,15,2,23,2,21,0.08695652173913043,42,True,1,23
1,train,15,3,25,7,18,0.28,126,True,1,25
1,train,15,4,9,4,5,0.4444444444444444,20,True,1,9
1,train,16,1,40,14,26,0.35,364,True,1,40
1,train,16,2,13,2,11,0.15384615384615385,22,True,1,13
1,train,17,1,21,0,21,0.0,0,False,1,21
1,train,17,2,20,4,16,0.2,64,True,1,20
1,train,17,3,26,4,22,0.15384615384615385,88,True,1,26
1,train,17,4,1,0,1,0.0,0,False,1,1
1,train,18,1,10,0,10,0.0,0,False,1,10
1,train,18,2,21,2,19,0.09523809523809523,38,True,1,21
1,train,18,3,18,0,18,0.0,0,False,1,18
1,train,18,4,16,2,14,0.125,28,True,1,16
1,train,18,5,2,2,0,1.0,0,False,1,2
1,train,19,1,13,1,12,0.07692307692307693,12,True,1,13
1,train,19,2,16,4,12,0.25,48,True,1,16
1,train,19,3,23,3,20,0.13043478260869565,60,True,1,23
1,train,19,4,2,0,2,0.0,0,False,1,2
1,train,20,1,17,6,11,0.35294117647058826,66,True,1,17
1,train,20,2,28,6,22,0.21428571428571427,132,True,1,28
1,train,20,3,15,4,11,0.26666666666666666,44,True,1,15
1,train,21,1,32,12,20,0.375,240,True,1,32
1,train,21,2,30,9,21,0.3,189,True,1,30
1,train,21,3,8,5,3,0.625,15,True,1,8
1,train,22,1,16,7,9,0.4375,63,True,1,16
1,train,22,2,15,8,7,0.5333333333333333,56,True,1,15
1,train,22,3,14,7,7,0.5,49,True,1,14
1,train,22,4,7,1,6,0.14285714285714285,6,True,1,7
1,train,23,1,20,5,15,0.25,75,True,1,20
1,train,23,2,25,2,23,0.08,46,True,1,25
1,train,24,1,40,4,36,0.1,144,True,1,40
1,train,24,2,6,3,3,0.5,9,True,1,6
1,train,25,1,41,6,35,0.14634146341463414,210,True,1,41
1,train,25,2,8,0,8,0.0,0,False,1,8
1,train,26,1,30,4,26,0.13333333333333333,104,True,1,30
1,train,26,2,29,3,26,0.10344827586206896,78,True,1,29
1,train,26,3,4,0,4,0.0,0,False,1,4
1,train,27,1,16,7,9,0.4375,63,True,1,16
1,train,27,2,21,14,7,0.6666666666666666,98,True,1,21
1,train,27,3,15,6,9,0.4,54,True,1,15
1,train,28,1,20,12,8,0.6,96,True,1,20
1,train,28,2,31,11,20,0.3548387096774194,220,True,1,31
1,train,28,3,21,5,16,0.23809523809523808,80,True,1,21
1,train,29,1,22,8,14,0.36363636363636365,112,True,1,22
1,train,29,2,13,9,4,0.6923076923076923,36,True,1,13
1,train,29,3,11,11,0,1.0,0,False,1,11
2,dev,0,2,8,2,6,0.25,12,True,46,53
2,dev,0,3,6,4,2,0.6666666666666666,8,True,1,6
2,dev,1,4,11,6,5,0.5454545454545454,30,True,14,24
2,dev,2,4,14,2,12,0.14285714285714285,24,True,5,18
2,dev,3,4,11,8,3,0.7272727272727273,24,True,9,19
2,dev,4,4,11,6,5,0.5454545454545454,30,True,15,25
