fold,real_candidate,control_candidate,control_type,delta_local_user_pair_gauc,delta_local_pair_auc,delta_transfer_gauc,delta_transfer_macro_user_auc,delta_transfer_global_auc
0,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.08661713007587524,0.08661713007587524,0.08819910610522397,0.08863134293689845,-0.008209019625406766
1,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.05183946488294311,0.05183946488294311,0.08695419008851846,0.08993311087061084,0.0014578271433529633
2,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.10445205479452058,0.10445205479452058,0.08354989628427123,0.08697274947274958,-0.05285555913170975
3,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.1035598705501618,0.1035598705501618,0.09409323194288233,0.08898816846733504,0.02677067311213649
0,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.05985859605313515,0.05985859605313515,0.049757132717214825,0.051694626104348274,0.00541122471785449
1,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.08193979933110362,0.08193979933110362,0.06795955288492606,0.06653258778258775,-0.0013536966331134659
2,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.03938356164383561,0.03938356164383561,0.011046514249639205,0.014315545565545595,0.0057218467260308215
3,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.058252427184466105,0.058252427184466105,0.07026533101707932,0.07423574496491159,0.011865524060646004
0,V2H-local-real,V2H-local-zero,zero_eeg_control,0.08661713007587524,0.08661713007587524,0.08819910610522397,0.08863134293689845,-0.008209019625406766
1,V2H-local-real,V2H-local-zero,zero_eeg_control,0.05183946488294311,0.05183946488294311,0.08695419008851846,0.08993311087061084,0.0014578271433529633
2,V2H-local-real,V2H-local-zero,zero_eeg_control,0.10445205479452058,0.10445205479452058,0.08354989628427123,0.08697274947274958,-0.05285555913170975
3,V2H-local-real,V2H-local-zero,zero_eeg_control,0.1035598705501618,0.1035598705501618,0.09409323194288233,0.08898816846733504,0.02677067311213649
