fold,split,user_id,session_id,event_count,positive_count,negative_count,possible_pair_count,valid_pair_context
1,train,0,1,43,9,34,306,True
1,train,0,2,30,0,30,0,False
1,train,1,1,22,3,19,57,True
1,train,1,2,17,10,7,70,True
1,train,1,3,13,7,6,42,True
1,train,1,4,2,0,2,0,False
1,train,2,1,42,5,37,185,True
1,train,2,2,25,7,18,126,True
1,train,2,3,4,2,2,4,True
1,train,3,1,20,7,13,91,True
1,train,3,2,21,9,12,108,True
1,train,3,3,15,9,6,54,True
1,train,4,1,23,3,20,60,True
1,train,4,2,23,12,11,132,True
1,train,4,3,28,15,13,195,True
1,train,5,1,26,12,14,168,True
1,train,5,2,13,8,5,40,True
1,train,5,3,6,4,2,8,True
1,train,5,4,20,3,17,51,True
1,train,6,1,21,3,18,54,True
1,train,7,1,15,2,13,26,True
1,train,7,2,17,3,14,42,True
1,train,7,3,13,2,11,22,True
1,train,7,4,20,4,16,64,True
1,train,8,1,20,7,13,91,True
1,train,8,2,23,9,14,126,True
1,train,8,3,22,11,11,121,True
1,train,9,1,26,13,13,169,True
1,train,9,2,16,13,3,39,True
1,train,9,3,12,9,3,27,True
1,train,10,1,28,16,12,192,True
1,train,10,2,32,22,10,220,True
1,train,11,1,13,3,10,30,True
1,train,11,2,16,8,8,64,True
1,train,11,3,20,7,13,91,True
1,train,11,4,17,9,8,72,True
1,train,12,1,22,4,18,72,True
1,train,12,2,23,6,17,102,True
1,train,12,3,16,5,11,55,True
1,train,13,1,29,4,25,100,True
1,train,13,2,25,7,18,126,True
1,train,13,3,15,7,8,56,True
1,train,14,1,15,4,11,44,True
1,train,14,2,17,5,12,60,True
1,train,14,3,19,10,9,90,True
1,train,14,4,8,2,6,12,True
1,train,15,1,19,0,19,0,False
1,train,15,2,23,2,21,42,True
1,train,15,3,25,7,18,126,True
1,train,15,4,9,4,5,20,True
1,train,16,1,40,14,26,364,True
1,train,16,2,13,2,11,22,True
1,train,17,1,21,0,21,0,False
1,train,17,2,20,4,16,64,True
1,train,17,3,26,4,22,88,True
1,train,17,4,1,0,1,0,False
1,train,18,1,10,0,10,0,False
1,train,18,2,21,2,19,38,True
1,train,18,3,18,0,18,0,False
1,train,18,4,16,2,14,28,True
1,train,18,5,2,2,0,0,False
1,train,19,1,13,1,12,12,True
1,train,19,2,16,4,12,48,True
1,train,19,3,23,3,20,60,True
1,train,19,4,2,0,2,0,False
1,train,20,1,17,6,11,66,True
1,train,20,2,28,6,22,132,True
1,train,20,3,15,4,11,44,True
1,train,21,1,32,12,20,240,True
1,train,21,2,30,9,21,189,True
1,train,21,3,8,5,3,15,True
1,train,22,1,16,7,9,63,True
1,train,22,2,15,8,7,56,True
1,train,22,3,14,7,7,49,True
1,train,22,4,7,1,6,6,True
1,train,23,1,20,5,15,75,True
1,train,23,2,25,2,23,46,True
1,train,24,1,40,4,36,144,True
1,train,24,2,6,3,3,9,True
1,train,25,1,41,6,35,210,True
1,train,25,2,8,0,8,0,False
1,train,26,1,30,4,26,104,True
1,train,26,2,29,3,26,78,True
1,train,26,3,4,0,4,0,False
1,train,27,1,16,7,9,63,True
1,train,27,2,21,14,7,98,True
1,train,27,3,15,6,9,54,True
1,train,28,1,20,12,8,96,True
1,train,28,2,31,11,20,220,True
1,train,28,3,21,5,16,80,True
1,train,29,1,22,8,14,112,True
1,train,29,2,13,9,4,36,True
1,train,29,3,11,11,0,0,False
1,dev,0,2,15,6,9,54,True
1,dev,1,4,11,4,7,28,True
1,dev,2,3,10,1,9,9,True
1,dev,2,4,4,2,2,4,True
1,dev,3,3,3,1,2,2,True
1,dev,3,4,8,8,0,0,False
1,dev,4,4,14,10,4,40,True
1,dev,5,4,3,3,0,0,False
1,dev,5,5,9,4,5,20,True
1,dev,6,2,4,0,4,0,False
1,dev,7,4,13,5,8,40,True
1,dev,8,3,8,6,2,12,True
1,dev,8,4,5,1,4,4,True
1,dev,9,3,5,1,4,4,True
1,dev,9,4,6,2,4,8,True
1,dev,10,2,1,1,0,0,False
1,dev,10,3,10,8,2,16,True
1,dev,11,4,3,3,0,0,False
1,dev,11,5,10,9,1,9,True
1,dev,12,3,9,2,7,14,True
1,dev,12,4,3,2,1,2,True
1,dev,13,3,13,3,10,30,True
1,dev,14,4,6,1,5,5,True
1,dev,14,5,5,4,1,4,True
1,dev,15,4,15,7,8,56,True
1,dev,16,2,5,1,4,4,True
1,dev,16,3,5,4,1,4,True
1,dev,17,4,14,4,10,40,True
