fold,task,candidate,uses_eeg,control_type,split,event_count,local_pair_auc,local_context_macro_auc,local_user_pair_gauc,local_user_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_gauc,event_macro_auc,event_global_auc,event_valid_user_count
1,same_user_same_session_pairwise_training,V2H-local-H2_E0,False,H2_E0_non_eeg,train,1786,0.7119388188641835,0.7280397950234365,0.7119388188641835,0.7124761842450666,7061,81,30,0.6646210266682311,0.6589052873398104,0.41602268699042894,30
1,same_user_same_session_pairwise_training,V2H-local-zero,False,zero_eeg_control,train,1786,0.7119388188641835,0.7280397950234365,0.7119388188641835,0.7124761842450666,7061,81,30,0.6646210266682311,0.6589052873398104,0.41602268699042894,30
1,same_user_same_session_pairwise_training,V2H-local-shuffle,False,shuffle_eeg_control,train,1786,0.8294859085115422,0.8198787154115951,0.8294859085115422,0.8321106174788446,7061,81,30,0.7403930211893934,0.7423548827771332,0.47140789318208676,30
1,same_user_same_session_pairwise_training,V2H-local-real,True,real_eeg,train,1786,0.8294859085115422,0.8159595223553747,0.8294859085115422,0.8239310350064978,7061,81,30,0.7647726630230215,0.766271845463019,0.46477756114852886,30
2,same_user_same_session_pairwise_training,V2H-local-H2_E0,False,H2_E0_non_eeg,train,2135,0.7113555631946832,0.7179330591447878,0.7113555631946832,0.7069100206406532,8727,100,30,0.6687949924341839,0.6625733164448582,0.41492217505558926,30
2,same_user_same_session_pairwise_training,V2H-local-zero,False,zero_eeg_control,train,2135,0.7113555631946832,0.7179330591447878,0.7113555631946832,0.7069100206406532,8727,100,30,0.6687949924341839,0.6625733164448582,0.41492217505558926,30
2,same_user_same_session_pairwise_training,V2H-local-shuffle,False,shuffle_eeg_control,train,2135,0.818952675604446,0.8118193821328097,0.818952675604446,0.8211986818622283,8727,100,30,0.725242168546557,0.7263887757904707,0.4274034768546594,30
2,same_user_same_session_pairwise_training,V2H-local-real,True,real_eeg,train,2135,0.8276612810817005,0.8175285275697316,0.8276612810817005,0.8231222620959769,8727,100,30,0.7298283774772802,0.7284672157366212,0.44661309884778655,30
3,same_user_same_session_pairwise_training,V2H-local-H2_E0,False,H2_E0_non_eeg,train,2491,0.7028210116731517,0.7003661748597706,0.7028210116731517,0.6973340330893341,10280,111,30,0.6402197970046325,0.6383689601907443,0.39822445149238805,30
3,same_user_same_session_pairwise_training,V2H-local-zero,False,zero_eeg_control,train,2491,0.7028210116731517,0.7003661748597706,0.7028210116731517,0.6973340330893341,10280,111,30,0.6402197970046325,0.6383689601907443,0.39822445149238805,30
3,same_user_same_session_pairwise_training,V2H-local-shuffle,False,shuffle_eeg_control,train,2491,0.8142996108949416,0.8049671963836988,0.8142996108949416,0.8146408277103843,10280,111,30,0.6734222613929581,0.6760943087724418,0.42441327350646396,30
3,same_user_same_session_pairwise_training,V2H-local-real,True,real_eeg,train,2491,0.8203307392996109,0.8053613388886494,0.8203307392996109,0.8171221054066038,10280,111,30,0.6934580251218002,0.6912119723918956,0.44134586754639227,30
