fold,candidate,uses_eeg,control_type,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,delta_transfer_gauc_vs_current_champion
1,V2H-local-H2_E0,False,H2_E0_non_eeg,0.6307443302965692,0.6277594181612038,0.4165914612981604,28,0.014723854473796427
1,V2H-local-zero,False,zero_eeg_control,0.6307443302965692,0.6277594181612038,0.4165914612981604,28,0.014723854473796427
1,V2H-local-shuffle,False,shuffle_eeg_control,0.6497389675001616,0.6511599412492269,0.4194029850746268,28,0.03371849167738883
1,V2H-local-real,True,real_eeg,0.7176985203850876,0.7176925290318147,0.41804928844151334,28,0.10167804456231488
2,V2H-local-H2_E0,False,H2_E0_non_eeg,0.5393743235930736,0.5352448477448477,0.378750491721203,26,-0.07664615222969917
2,V2H-local-zero,False,zero_eeg_control,0.5393743235930736,0.5352448477448477,0.378750491721203,26,-0.07664615222969917
2,V2H-local-shuffle,False,shuffle_eeg_control,0.6118777056277056,0.6079020516520517,0.32017308586346244,26,-0.004142770195067147
2,V2H-local-real,True,real_eeg,0.6229242198773448,0.6222175972175973,0.32589493258949326,26,0.0069037440545720585
3,V2H-local-H2_E0,False,H2_E0_non_eeg,0.5892618647863402,0.6067050811842479,0.33600673844576284,24,-0.02675861103643251
3,V2H-local-zero,False,zero_eeg_control,0.5892618647863402,0.6067050811842479,0.33600673844576284,24,-0.02675861103643251
3,V2H-local-shuffle,False,shuffle_eeg_control,0.6130897657121432,0.6214575046866714,0.3509118874972533,24,-0.0029307101106295086
3,V2H-local-real,True,real_eeg,0.6833550967292226,0.695693249651583,0.36277741155789933,24,0.06733462090644982
