phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,task,split,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_gauc,event_macro_auc,event_global_auc
V2-I,1,2026,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6822742474916388,0.6822742474916388,0.6741059965167108,0.703219473648045,598,35,28,0.6524835777820853,0.6476755866488008,0.43502256161055186
V2-I,2,2026,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.636986301369863,0.636986301369863,0.6178150553150553,0.5965640532307199,584,30,26,0.6060222763347765,0.6028723591223591,0.3513929120623681
V2-I,3,2026,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6488673139158576,0.6488673139158576,0.657050206343937,0.6490738428238428,618,28,24,0.6469139640468311,0.650177199343866,0.36501135281623087
V2-I,1,2027,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6923076923076923,0.6923076923076923,0.6962950211164498,0.7221611695183124,598,35,28,0.66846934160367,0.6635602410155982,0.4408538701839639
V2-I,2,2027,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6318493150684932,0.6318493150684932,0.6046206108706109,0.5879860109026775,584,30,26,0.5933345734126985,0.5885830373330373,0.34195186496441726
V2-I,3,2027,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6084142394822006,0.6084142394822006,0.6259264650146036,0.6140505228898085,618,28,24,0.6130808779410178,0.6203164389622723,0.38746063136307035
V2-I,1,2028,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6939799331103679,0.6939799331103679,0.6954080674616387,0.7259845736274307,598,35,28,0.6719285606599039,0.6661495482031196,0.4444290177021868
V2-I,2,2028,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6506849315068494,0.6506849315068494,0.6366758241758241,0.6231613756613756,584,30,26,0.6171037382756133,0.6134156121656121,0.34592139613060113
V2-I,3,2028,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6326860841423948,0.6326860841423948,0.6336062425598996,0.6358598940741798,618,28,24,0.6229748301426623,0.6288917679542679,0.3553431480260748
V2-I,1,2029,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6889632107023411,0.6889632107023411,0.6743940385011813,0.6989260977118119,598,35,28,0.6589194719045465,0.6528915429808287,0.4257549461992364
V2-I,2,2029,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6472602739726028,0.6472602739726028,0.6216101028601029,0.5984642055475388,584,30,26,0.5962063717532468,0.596996521996522,0.3564710510317205
V2-I,3,2029,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6601941747572816,0.6601941747572816,0.6689374049308583,0.6703204401418686,618,28,24,0.6743132935440627,0.6773177401302402,0.35461070826924485
V2-I,1,2030,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,same_user_same_session_pairwise_training,dev,0.6839464882943144,0.6839464882943144,0.6797136989994133,0.7084840239125952,598,35,28,0.6577442872218991,0.6531928339517625,0.42710864283234995
