phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,delta_transfer_gauc_vs_current_champion
V2-I,1,2026,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6524835777820853,0.6476755866488008,0.43502256161055186,28,0.03646310195931257
V2-I,2,2026,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6060222763347765,0.6028723591223591,0.3513929120623681,26,-0.009998199487996295
V2-I,3,2026,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6469139640468311,0.650177199343866,0.36501135281623087,24,0.030893488224058352
V2-I,1,2027,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.66846934160367,0.6635602410155982,0.4408538701839639,28,0.05244886578089725
V2-I,2,2027,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.5933345734126985,0.5885830373330373,0.34195186496441726,26,-0.022685902410074288
V2-I,3,2027,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6130808779410178,0.6203164389622723,0.38746063136307035,24,-0.0029395978817549073
V2-I,1,2028,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6719285606599039,0.6661495482031196,0.4444290177021868,28,0.05590808483713117
V2-I,2,2028,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6171037382756133,0.6134156121656121,0.34592139613060113,26,0.0010832624528405166
V2-I,3,2028,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6229748301426623,0.6288917679542679,0.3553431480260748,24,0.006954354319889555
V2-I,1,2029,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6589194719045465,0.6528915429808287,0.4257549461992364,28,0.04289899608177372
V2-I,2,2029,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.5962063717532468,0.596996521996522,0.3564710510317205,26,-0.019814104069525995
V2-I,3,2029,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6743132935440627,0.6773177401302402,0.35461070826924485,24,0.05829281772128991
V2-I,1,2030,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6577442872218991,0.6531928339517625,0.42710864283234995,28,0.0417238113991264
V2-I,2,2030,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6187536075036075,0.6173322048322049,0.34545649608411116,26,0.002733131680834777
V2-I,3,2030,C0p03-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.03,0.35,3000,0.6148575201022753,0.6214577783327783,0.3610195561415074,24,-0.001162955720497405
V2-I,1,2026,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6759011220951519,0.6727242020545593,0.419160013884068,28,0.0598806462723791
V2-I,2,2026,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6058917297979798,0.6046229233729233,0.3374101491256303,26,-0.010128746024792967
V2-I,3,2026,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6661673505204974,0.6657296098962765,0.36900314949095425,24,0.05014687469772461
V2-I,1,2027,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6865766406064914,0.6838256502095789,0.42693509198195073,28,0.07055616478371862
V2-I,2,2027,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.5990524666305916,0.5935680985680987,0.3252512248328149,26,-0.01696800919218111
V2-I,3,2027,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6318676855390143,0.6380516397183064,0.39126931809858645,24,0.01584720971624154
V2-I,1,2028,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6951208244491827,0.6904557050092766,0.4321416174939257,28,0.07910034862640991
V2-I,2,2028,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.620919237012987,0.6165990028490028,0.33283267174480563,26,0.0048987611902142625
V2-I,3,2028,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6393755137636257,0.6418152102527103,0.3627774115578994,24,0.02335503794085292
V2-I,1,2029,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6766914346018824,0.672606636088779,0.4200277681360639,28,0.06067095877910966
V2-I,2,2029,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.5997071158008659,0.598564491064491,0.34788828094267427,26,-0.016313360021906864
V2-I,3,2029,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6840745307528525,0.694954385891886,0.35043580165531385,24,0.06805405493007977
V2-I,1,2030,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6890971549180503,0.6873230820105819,0.4178410274210344,28,0.0730766790952776
V2-I,2,2030,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6169814213564213,0.6153550153550152,0.3335479025855595,26,0.0009609455336485606
V2-I,3,2030,C0p1-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.1,0.35,3000,0.6398688723863548,0.6431957432999099,0.35717424741814985,24,0.023848396563582064
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.7075219142383321,0.7063942357245928,0.42037486983686223,28,0.09150143841555936
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6068454635642136,0.605826812076812,0.3278618174015664,26,-0.009175012258559101
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6761234297947585,0.6767448716407051,0.3738372518860324,24,0.06010295397198573
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.7307001787598801,0.7307081658420944,0.43134328358208956,28,0.11467970293710739
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6050869182900434,0.6018482443482444,0.3207452705360655,26,-0.010933557532729399
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6521389934851474,0.6566173178673179,0.4002417051197539,24,0.036118517662374616
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.7242681613577137,0.7235508572115714,0.4349531412703922,28,0.10824768553494091
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.630915404040404,0.6295780608280608,0.32957837141937557,26,0.014894928217631276
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6634221256598879,0.6647462799546133,0.3606533362630923,24,0.047401649837115145
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.7199800779651525,0.7194634697313268,0.42412356820548425,28,0.10395960214237976
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6088724296536796,0.6081111943611943,0.3471730501019204,26,-0.007148046169093147
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6886174625685115,0.6900620598537266,0.3606167142752509,24,0.07259698674573878
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.7303007688828583,0.7327201006665292,0.4191947240541478,28,0.11428029306008558
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6166688086219336,0.61753108003108,0.335228695061331,26,0.0006483327991608778
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,0.6573194288229254,0.6600025745859079,0.35838277301691934,24,0.04129895300015263
V2-I,1,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,0.6939339019189766,0.6917442065209923,0.4134328358208955,28,0.07791342609620389
V2-I,2,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,0.6058917297979798,0.6046229233729233,0.3374101491256303,26,-0.010128746024792967
