score_alignment,real_candidate,control_candidate,control_type,seed_count,mean_real_transfer_gauc,mean_control_transfer_gauc,mean_delta_transfer_gauc,seed_win_rate_transfer_gauc,mean_delta_transfer_macro_user_auc,mean_delta_transfer_global_auc,mean_delta_local_user_pair_gauc,seed_win_rate_local_user_pair_gauc
fold_train_zscore,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,0.0029389810733513877,0.07907822047147355,1.0
fold_train_zscore,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,0.013282676883939725,0.04337323522142276,1.0
fold_train_zscore,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,0.000666609592287104,0.08190799460640505,1.0
raw,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,0.0029389810733513877,0.07907822047147355,1.0
raw,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,0.013282676883939725,0.04337323522142276,1.0
raw,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,0.000666609592287104,0.08190799460640505,1.0
user_center_alpha_0p5,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.00801198671260146,0.07907822047147355,1.0
user_center_alpha_0p5,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,0.018731809150563127,0.04337323522142276,1.0
user_center_alpha_0p5,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.007238597181172568,0.08190799460640505,1.0
user_center_alpha_1p0,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.004824479897092981,0.07907822047147355,1.0
user_center_alpha_1p0,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,0.041566702466010075,0.04337323522142276,1.0
user_center_alpha_1p0,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,0.0007791786036072335,0.08190799460640505,1.0
user_center_alpha_1p5,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.022684778292744866,0.07907822047147355,1.0
user_center_alpha_1p5,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,-0.017314761384140075,0.04337323522142276,1.0
user_center_alpha_1p5,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.012568323431728224,0.08190799460640505,1.0
user_center_alpha_2p0,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.02710674031402911,0.07907822047147355,1.0
user_center_alpha_2p0,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,-0.010474245368413727,0.04337323522142276,1.0
user_center_alpha_2p0,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.016750128184677693,0.08190799460640505,1.0
user_center_rate_beta_0p5,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.06962470008015711,0.07907822047147355,1.0
user_center_rate_beta_0p5,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,0.007484990988906736,0.04337323522142276,1.0
user_center_rate_beta_0p5,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.06574285056994668,0.08190799460640505,1.0
user_center_rate_beta_1p0,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.1175004694587759,0.07907822047147355,1.0
user_center_rate_beta_1p0,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,-0.03088603405205419,0.04337323522142276,1.0
user_center_rate_beta_1p0,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.11365479265091953,0.08190799460640505,1.0
user_center_rate_beta_1p5,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.11943487754019173,0.07907822047147355,1.0
user_center_rate_beta_1p5,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,-0.05413689719541255,0.04337323522142276,1.0
user_center_rate_beta_1p5,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.11700756682846636,0.08190799460640505,1.0
user_center_rate_beta_2p0,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.10603760942394624,0.07907822047147355,1.0
user_center_rate_beta_2p0,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,-0.059794104279533175,0.04337323522142276,1.0
user_center_rate_beta_2p0,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.10439069077135377,0.08190799460640505,1.0
user_train_center,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.004824479897092981,0.07907822047147355,1.0
user_train_center,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,0.041566702466010075,0.04337323522142276,1.0
user_train_center,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,0.0007791786036072335,0.08190799460640505,1.0
user_train_zscore,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,5,0.6679187710470293,0.587174204846623,0.08074456620040656,1.0,0.07828998173343409,-0.004896342758163719,0.07907822047147355,1.0
user_train_zscore,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,5,0.6679187710470293,0.6285841865279359,0.03933458451909357,1.0,0.03861842731783212,0.03520640686908351,0.04337323522142276,1.0
user_train_zscore,V2H-local-real,V2H-local-zero,zero_eeg_control,5,0.6679187710470293,0.5803985535015519,0.08752021754547752,1.0,0.08321313456531712,-0.002574674461387072,0.08190799460640505,1.0
