score_alignment,candidate,uses_eeg,control_type,seed_count,mean_transfer_gauc,std_transfer_gauc,mean_transfer_macro_user_auc,mean_transfer_global_auc,mean_local_user_pair_gauc,seed_beats_current_champion_rate,seed_hits_0p8_rate
user_center_rate_beta_2p0,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.6882034232608275,0.596619301460949,0.0,0.0
user_center_rate_beta_1p5,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.6782704460566673,0.596619301460949,0.0,0.0
user_center_rate_beta_1p0,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.6464378425472204,0.596619301460949,0.0,0.0
user_center_alpha_2p0,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.6142817161627708,0.596619301460949,0.0,0.0
user_center_alpha_1p5,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.5782527751148014,0.596619301460949,0.0,0.0
user_center_rate_beta_0p5,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.5637336867237305,0.596619301460949,0.0,0.0
user_center_alpha_1p0,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.46573421356672934,0.596619301460949,0.0,0.0
user_train_center,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.46573421356672934,0.596619301460949,0.0,0.0
user_train_zscore,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.46195629850077796,0.596619301460949,0.0,0.0
user_center_alpha_0p5,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.38872232154700287,0.596619301460949,0.0,0.0
fold_train_zscore,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.3733482570620009,0.596619301460949,0.0,0.0
raw,V2H-local-H2_E0,False,H2_E0_non_eeg,5,0.587174204846623,0.010369742320248595,0.589970373248151,0.3733482570620009,0.596619301460949,0.0,0.0
user_center_alpha_2p0,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.5871749758487417,0.6756975219324226,1.0,0.0
user_center_rate_beta_2p0,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.5821658138368813,0.6756975219324226,1.0,0.0
user_center_rate_beta_1p5,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.5588355685164755,0.6756975219324226,1.0,0.0
user_center_alpha_1p5,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.5555679968220566,0.6756975219324226,1.0,0.0
user_center_rate_beta_1p0,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.5289373730884445,0.6756975219324226,1.0,0.0
user_center_rate_beta_0p5,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.4941089866435733,0.6756975219324226,1.0,0.0
user_center_alpha_1p0,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.46090973366963645,0.6756975219324226,1.0,0.0
user_train_center,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.46090973366963645,0.6756975219324226,1.0,0.0
user_train_zscore,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.4570599557426142,0.6756975219324226,1.0,0.0
user_center_alpha_0p5,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.3807103348344014,0.6756975219324226,1.0,0.0
fold_train_zscore,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.37628723813535225,0.6756975219324226,1.0,0.0
raw,V2H-local-real,True,real_eeg,5,0.6679187710470293,0.0043087037525378945,0.6682603549815852,0.37628723813535225,0.6756975219324226,1.0,0.0
user_center_rate_beta_2p0,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.6419599181164144,0.6323242867109997,1.0,0.0
user_center_rate_beta_1p5,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.612972465711888,0.6323242867109997,1.0,0.0
user_center_alpha_2p0,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.5976492212171554,0.6323242867109997,1.0,0.0
user_center_alpha_1p5,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.5728827582061966,0.6323242867109997,1.0,0.0
user_center_rate_beta_1p0,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.5598234071404986,0.6323242867109997,1.0,0.0
