phase,run_set,fold,seed,representation,summary_kind,normalization,candidate,uses_eeg,control_type,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count,pair_protocol,pairwise_c,pair_sample_rate,pair_cap,train_pair_count_total,train_pair_count_used,train_pair_rows_with_reverse,train_feature_dim,solver,max_iter,tol
V2-K,representation_search,1,2026,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.7175254678986023,0.7139007635882636,0.5752863589031586,28,0.725752508361204,0.725752508361204,0.7368405470191186,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2026,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6119070165945166,0.6113287175787175,0.5985051675428245,26,0.6523972602739726,0.6523972602739726,0.6385466385466386,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2026,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.673057090539608,0.6845291244249578,0.5702043506921556,24,0.6504854368932039,0.6504854368932039,0.6766492992492735,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2027,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6968572720811527,0.6962119279529995,0.6089899340506769,28,0.7006688963210702,0.7006688963210702,0.7097724596831739,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2027,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6204416937229437,0.6187035187035187,0.6017237063262167,26,0.6438356164383562,0.6438356164383562,0.6327152014652015,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2027,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6240828421772477,0.6307672651422651,0.5997949168680876,24,0.6035598705501618,0.6035598705501618,0.6155372212484892,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2028,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.7261287717257866,0.7248753049199479,0.5887886150642139,28,0.717391304347826,0.717391304347826,0.7308328741364456,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2028,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6308371663059164,0.628239676989677,0.6280799628079963,26,0.6695205479452054,0.6695205479452054,0.6516254578754579,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2028,full_mean_std,full_mean_std,global_train_zscore,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6613987217134071,0.6743366510033176,0.5674943235918846,24,0.6456310679611651,0.6456310679611651,0.6674369091377604,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2026,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6903944562899788,0.6885222119150691,0.6091634849010761,28,0.705685618729097,0.705685618729097,0.7118536126571842,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2026,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6199688852813853,0.6204240204240205,0.6002217215606337,26,0.6523972602739726,0.6523972602739726,0.6435474247974248,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2026,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6591883155694345,0.6586497877122878,0.6203032300593276,24,0.6618122977346278,0.6618122977346278,0.6502154725876024,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2027,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6923629687062524,0.6915889550264549,0.578340853870184,28,0.7073578595317725,0.7073578595317725,0.7082251313501314,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2027,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6143477182539683,0.611179884929885,0.6132746844043915,26,0.6386986301369864,0.6386986301369864,0.6242953805453806,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2027,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6775991976166802,0.6892815016773349,0.6022852120413096,24,0.6715210355987055,0.6715210355987055,0.680855145754849,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2028,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.7028618810708364,0.6997419775991204,0.603748698368622,28,0.7157190635451505,0.7157190635451505,0.7304146481825053,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2028,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6201599702380952,0.6171555296555298,0.6080177377248507,26,0.6438356164383562,0.6438356164383562,0.6335086210086212,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2028,recent_weighted_full,recent_weighted_full,global_train_zscore,V2K-real-recent_weighted_full,True,real_eeg,user_center_alpha_2p0,0.6487009979142845,0.6537984739026405,0.6303010327400572,24,0.6440129449838188,0.6440129449838188,0.6441708620148056,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2026,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.6460998040102519,0.6471374458874459,0.602707393266227,28,0.6688963210702341,0.6688963210702341,0.6619297270190128,598,same_session,0.3,0.35,3000,7061,2472,4944,105,lbfgs,200,0.001
V2-K,representation_search,2,2026,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.5618055555555557,0.5546934546934547,0.6086256839394915,26,0.5787671232876712,0.5787671232876712,0.5591535779035778,584,same_session,0.3,0.35,3000,8727,3000,6000,105,lbfgs,200,0.001
V2-K,representation_search,3,2026,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.6199657568538688,0.6379952146618812,0.6182890207280451,24,0.610032362459547,0.610032362459547,0.6383165057026641,618,same_session,0.3,0.35,3000,10280,3000,6000,105,lbfgs,200,0.001
V2-K,representation_search,1,2027,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.6391500290754022,0.6401736325843469,0.5909406456091635,28,0.6622073578595318,0.6622073578595318,0.6618536688179545,598,same_session,0.3,0.35,3000,7061,2472,4944,105,lbfgs,200,0.001
V2-K,representation_search,2,2027,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.5750359623015874,0.5698713323713324,0.6031184064656868,26,0.5907534246575342,0.5907534246575342,0.5834362396862397,584,same_session,0.3,0.35,3000,8727,3000,6000,105,lbfgs,200,0.001
V2-K,representation_search,3,2027,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.6130148406372182,0.6214001854626855,0.582838936497473,24,0.6245954692556634,0.6245954692556634,0.6242635743611299,618,same_session,0.3,0.35,3000,10280,3000,6000,105,lbfgs,200,0.001
V2-K,representation_search,1,2028,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.6198119790657104,0.622145090359376,0.6036792780284624,28,0.6387959866220736,0.6387959866220736,0.628133903133903,598,same_session,0.3,0.35,3000,7061,2472,4944,105,lbfgs,200,0.001
V2-K,representation_search,2,2028,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.5559006358225108,0.5513115125615125,0.6041912527268176,26,0.5702054794520548,0.5702054794520548,0.5667899230399229,584,same_session,0.3,0.35,3000,8727,3000,6000,105,lbfgs,200,0.001
V2-K,representation_search,3,2028,band_channel_grouped,band_channel_grouped,global_train_zscore,V2K-real-band_channel_grouped,True,real_eeg,user_center_alpha_2p0,0.6488252811679385,0.6690695492778826,0.6082545960594741,24,0.6343042071197411,0.6343042071197411,0.6676268741327758,618,same_session,0.3,0.35,3000,10280,3000,6000,105,lbfgs,200,0.001
V2-K,representation_search,1,2026,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.7117381706187677,0.7090477264137978,0.6213814647691773,28,0.7090301003344481,0.7090301003344481,0.7235618085618085,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2026,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.5990374729437229,0.5943981943981944,0.5566284018166863,26,0.6232876712328768,0.6232876712328768,0.6026288526288526,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2026,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.6542700694798598,0.6572460756835757,0.5639786127591004,24,0.6359223300970874,0.6359223300970874,0.6465939338570595,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2027,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.6944811656005686,0.6906870361781074,0.6019090593543908,28,0.7023411371237458,0.7023411371237458,0.7019932646718362,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2027,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.6264559659090909,0.6263236763236762,0.5607052176089833,26,0.648972602739726,0.648972602739726,0.6413676601176601,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2027,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.678600168285483,0.6900102405310738,0.6134182963451257,24,0.6715210355987055,0.6715210355987055,0.6851312043649506,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2028,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.7126425233141652,0.7134755291005291,0.6090246442207568,28,0.7107023411371237,0.7107023411371237,0.7286079661079662,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2028,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.6028294101731602,0.6069861619861621,0.5437900082251547,26,0.6181506849315068,0.6181506849315068,0.6198297073297072,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2028,subject_residual_full,full_mean_std,subject_residual,V2K-real-subject_residual_full,True,real_eeg,user_center_alpha_2p0,0.6618375602641337,0.676200894013394,0.512597963817476,24,0.6521035598705501,0.6521035598705501,0.6680032536024538,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2026,session_residual_full,full_mean_std,session_residual,V2K-real-session_residual_full,True,real_eeg,user_center_alpha_2p0,0.7076918438112468,0.7116530096887238,0.5876431794515793,28,0.68561872909699,0.68561872909699,0.7397758095079522,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,representation_search,2,2026,session_residual_full,full_mean_std,session_residual,V2K-real-session_residual_full,True,real_eeg,user_center_alpha_2p0,0.5729139610389611,0.5795412920412921,0.5987554983370882,26,0.5873287671232876,0.5873287671232876,0.5959512709512709,584,same_session,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,3,2026,session_residual_full,full_mean_std,session_residual,V2K-real-session_residual_full,True,real_eeg,user_center_alpha_2p0,0.6213988226225988,0.6263635168843501,0.5323372152640445,24,0.5970873786407767,0.5970873786407767,0.6219785390871885,618,same_session,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,representation_search,1,2027,session_residual_full,full_mean_std,session_residual,V2K-real-session_residual_full,True,real_eeg,user_center_alpha_2p0,0.7107570373242016,0.7127608568679997,0.6076362374175633,28,0.7140468227424749,0.7140468227424749,0.7577948506519935,598,same_session,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
