phase,fold,seed,representation,pair_protocol,candidate,uses_eeg,control_type,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count,pairwise_c,pair_sample_rate,pair_cap,train_pair_count_total,train_pair_count_used,train_pair_rows_with_reverse,train_feature_dim,solver,max_iter,tol
V2-K,1,2026,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.7175254678986023,0.7139007635882636,0.5752863589031586,28,0.725752508361204,0.725752508361204,0.7368405470191186,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2026,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.6119070165945166,0.6113287175787175,0.5985051675428245,26,0.6523972602739726,0.6523972602739726,0.6385466385466386,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2026,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.673057090539608,0.6845291244249578,0.5702043506921556,24,0.6504854368932039,0.6504854368932039,0.6766492992492735,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2027,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.6968572720811527,0.6962119279529995,0.6089899340506769,28,0.7006688963210702,0.7006688963210702,0.7097724596831739,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2027,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.6204416937229437,0.6187035187035187,0.6017237063262167,26,0.6438356164383562,0.6438356164383562,0.6327152014652015,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2027,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.6240828421772477,0.6307672651422651,0.5997949168680876,24,0.6035598705501618,0.6035598705501618,0.6155372212484892,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2028,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.7261287717257866,0.7248753049199479,0.5887886150642139,28,0.717391304347826,0.717391304347826,0.7308328741364456,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2028,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.6308371663059164,0.628239676989677,0.6280799628079963,26,0.6695205479452054,0.6695205479452054,0.6516254578754579,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2028,full_mean_std,same_session,V2K-real-full_mean_std-same_session,True,real_eeg,user_center_alpha_2p0,0.6613987217134071,0.6743366510033176,0.5674943235918846,24,0.6456310679611651,0.6456310679611651,0.6674369091377604,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2026,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.7058850767805992,0.7004216055108914,0.6235682054842069,28,0.7307692307692307,0.7307692307692307,0.7422526712705285,598,0.3,0.35,3000,10901,3000,6000,699,lbfgs,200,0.001
V2-K,2,2026,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.565220734126984,0.5538019850519851,0.6627686585845582,26,0.601027397260274,0.601027397260274,0.5645121082621084,584,0.3,0.35,3000,13742,3000,6000,699,lbfgs,200,0.001
V2-K,3,2026,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.6604783910727967,0.6614727325143992,0.6280304694938842,24,0.6585760517799353,0.6585760517799353,0.6658490608966293,618,0.3,0.35,3000,16402,3000,6000,699,lbfgs,200,0.001
V2-K,1,2027,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.6845161637698951,0.6761459621727478,0.5958694897604998,28,0.705685618729097,0.705685618729097,0.6941921570492999,598,0.3,0.35,3000,10901,3000,6000,699,lbfgs,200,0.001
V2-K,2,2027,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.5870088158369409,0.5773993598993599,0.6231448700067947,26,0.6113013698630136,0.6113013698630136,0.5866274928774928,584,0.3,0.35,3000,13742,3000,6000,699,lbfgs,200,0.001
V2-K,3,2027,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.6991095345990451,0.6993782991699659,0.6206694499377426,24,0.6941747572815534,0.6941747572815534,0.7071705492327589,618,0.3,0.35,3000,16402,3000,6000,699,lbfgs,200,0.001
V2-K,1,2028,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.6897948568844091,0.6833482142857142,0.6163484901076015,28,0.7040133779264214,0.7040133779264214,0.6962811593168735,598,0.3,0.35,3000,10901,3000,6000,699,lbfgs,200,0.001
V2-K,2,2028,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.5893268623737373,0.5835976985976986,0.6305117476665595,26,0.6215753424657534,0.6215753424657534,0.6023682336182336,584,0.3,0.35,3000,13742,3000,6000,699,lbfgs,200,0.001
V2-K,3,2028,full_mean_std,same_user_recent20,V2K-real-full_mean_std-same_user_recent20,True,real_eeg,user_center_alpha_2p0,0.6371507668710464,0.6512281160197826,0.5978173295246466,24,0.6440129449838188,0.6440129449838188,0.6642360093574297,618,0.3,0.35,3000,16402,3000,6000,699,lbfgs,200,0.001
V2-K,1,2026,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.6853454588529216,0.6825918839758126,0.6159319680666435,28,0.7023411371237458,0.7023411371237458,0.6986958147672434,598,0.3,0.35,3000,20549,3000,6000,699,lbfgs,200,0.001
V2-K,2,2026,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.5674342757936508,0.5578209753209753,0.6827235990415907,26,0.5976027397260274,0.5976027397260274,0.5771011396011396,584,0.3,0.35,3000,30429,3000,6000,699,lbfgs,200,0.001
V2-K,3,2026,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.6467571278760089,0.6587686426228093,0.6469640372079396,24,0.627831715210356,0.627831715210356,0.6588735754341405,618,0.3,0.35,3000,41488,3000,6000,699,lbfgs,200,0.001
V2-K,1,2027,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.6866652667398937,0.681847750463822,0.6299201666088164,28,0.6872909698996655,0.6872909698996655,0.6858027686599115,598,0.3,0.35,3000,20549,3000,6000,699,lbfgs,200,0.001
V2-K,2,2027,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.5463266594516595,0.5403990453990455,0.6566176733540751,26,0.5702054794520548,0.5702054794520548,0.5559738872238872,584,0.3,0.35,3000,30429,3000,6000,699,lbfgs,200,0.001
V2-K,3,2027,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.5817866379929317,0.5978635407802074,0.635281623086501,24,0.5663430420711975,0.5663430420711975,0.5978631722117275,618,0.3,0.35,3000,41488,3000,6000,699,lbfgs,200,0.001
V2-K,1,2028,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.6850455514634619,0.6774160825946539,0.6150295036445679,28,0.7023411371237458,0.7023411371237458,0.6874763596192167,598,0.3,0.35,3000,20549,3000,6000,699,lbfgs,200,0.001
V2-K,2,2028,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.5532526154401155,0.5441148666148666,0.6572613811107534,26,0.589041095890411,0.589041095890411,0.5639016076516076,584,0.3,0.35,3000,30429,3000,6000,699,lbfgs,200,0.001
V2-K,3,2028,full_mean_std,same_user_all,V2K-real-full_mean_std-same_user_all,True,real_eeg,user_center_alpha_2p0,0.5516340885222004,0.5651182305348972,0.5977074635611221,24,0.5420711974110033,0.5420711974110033,0.5572208480195129,618,0.3,0.35,3000,41488,3000,6000,699,lbfgs,200,0.001
