phase,fold,seed,representation,pair_protocol,candidate,uses_eeg,control_type,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count,pairwise_c,pair_sample_rate,pair_cap,train_pair_count_total,train_pair_count_used,train_pair_rows_with_reverse,train_feature_dim,solver,max_iter,tol
V2-K,1,2026,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.7175254678986023,0.7139007635882636,0.5752863589031586,28,0.725752508361204,0.725752508361204,0.7368405470191186,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2026,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6119070165945166,0.6113287175787175,0.5985051675428245,26,0.6523972602739726,0.6523972602739726,0.6385466385466386,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2026,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.673057090539608,0.6845291244249578,0.5702043506921556,24,0.6504854368932039,0.6504854368932039,0.6766492992492735,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2027,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6968572720811527,0.6962119279529995,0.6089899340506769,28,0.7006688963210702,0.7006688963210702,0.7097724596831739,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2027,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6204416937229437,0.6187035187035187,0.6017237063262167,26,0.6438356164383562,0.6438356164383562,0.6327152014652015,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2027,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6240828421772477,0.6307672651422651,0.5997949168680876,24,0.6035598705501618,0.6035598705501618,0.6155372212484892,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2028,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.7261287717257866,0.7248753049199479,0.5887886150642139,28,0.717391304347826,0.717391304347826,0.7308328741364456,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2028,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6308371663059164,0.628239676989677,0.6280799628079963,26,0.6695205479452054,0.6695205479452054,0.6516254578754579,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2028,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6613987217134071,0.6743366510033176,0.5674943235918846,24,0.6456310679611651,0.6456310679611651,0.6674369091377604,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2029,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.7082198315780405,0.7081972574383288,0.5840680319333565,28,0.7073578595317725,0.7073578595317725,0.7285310159417303,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2029,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6048967352092353,0.6028369778369778,0.6026535064191969,26,0.6438356164383562,0.6438356164383562,0.6227954915454915,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2029,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6852964149292821,0.6948487160987161,0.568483117263605,24,0.6666666666666666,0.6666666666666666,0.6734919114372803,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2030,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.7076544765350735,0.7070247113997112,0.573099618188129,28,0.7224080267558528,0.7224080267558528,0.7298383065347351,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2030,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6064753562409813,0.6033831908831909,0.6165289847298215,26,0.6455479452054794,0.6455479452054794,0.6289513727013727,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2030,full_mean_std,same_session,V2K-real-full_mean_std,True,real_eeg,user_center_alpha_2p0,0.6660786474597663,0.6770349288057621,0.5791767377133231,24,0.6618122977346278,0.6618122977346278,0.6595231030471936,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2026,full_mean_std,same_session,V2K-H2_E0-full_mean_std,False,H2_E0_non_eeg,user_center_alpha_2p0,0.6198927440718486,0.6210540352504638,0.6102742103436306,28,0.6387959866220736,0.6387959866220736,0.6418522846201418,598,0.3,0.35,3000,7061,2472,4944,79,lbfgs,200,0.001
V2-K,2,2026,full_mean_std,same_session,V2K-H2_E0-full_mean_std,False,H2_E0_non_eeg,user_center_alpha_2p0,0.5680902777777778,0.5631056443556444,0.5953223903014697,26,0.5787671232876712,0.5787671232876712,0.5692446442446443,584,0.3,0.35,3000,8727,3000,6000,79,lbfgs,200,0.001
V2-K,3,2026,full_mean_std,same_session,V2K-H2_E0-full_mean_std,False,H2_E0_non_eeg,user_center_alpha_2p0,0.5827354366690032,0.6012473791640458,0.5952904123635832,24,0.56957928802589,0.56957928802589,0.5985752346483448,618,0.3,0.35,3000,10280,3000,6000,79,lbfgs,200,0.001
V2-K,1,2027,full_mean_std,same_session,V2K-H2_E0-full_mean_std,False,H2_E0_non_eeg,user_center_alpha_2p0,0.6230102733087807,0.6229797550333265,0.6382506074279763,28,0.6488294314381271,0.6488294314381271,0.6333856784749642,598,0.3,0.35,3000,7061,2472,4944,79,lbfgs,200,0.001
V2-K,2,2027,full_mean_std,same_session,V2K-H2_E0-full_mean_std,False,H2_E0_non_eeg,user_center_alpha_2p0,0.5571621347402598,0.5526517464017464,0.5931051746951329,26,0.5787671232876712,0.5787671232876712,0.5642359954859955,584,0.3,0.35,3000,8727,3000,6000,79,lbfgs,200,0.001
V2-K,3,2027,full_mean_std,same_session,V2K-H2_E0-full_mean_std,False,H2_E0_non_eeg,user_center_alpha_2p0,0.5730420997029388,0.5797100314808649,0.6348787812202445,24,0.5566343042071198,0.5566343042071198,0.5745267079077708,618,0.3,0.35,3000,10280,3000,6000,79,lbfgs,200,0.001
