score_variant,real_candidate,control_candidate,control_type,mean_real_protocol_gauc,mean_control_protocol_gauc,delta_protocol_gauc,delta_protocol_macro_user_auc,delta_event_transfer_gauc,real_beats_control
base_only,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6172681998864366,0.6172681998864366,0.0,0.0,0.0,False
base_only,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6172681998864366,0.6172681998864366,0.0,0.0,0.0,False
base_only,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6172681998864366,0.6172681998864366,0.0,0.0,0.0,False
eeg_only,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.08074456620040638,True
eeg_only,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.03933458451909344,True
eeg_only,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08752021754547745,True
eeg_plus_base_0p05,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760938781668874,0.5978013817985889,0.07829249636829849,0.07598500469148761,0.08105032271967816,True
eeg_plus_base_0p05,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760938781668874,0.6333373859923992,0.04275649217448818,0.03378666901375482,0.03891150500932572,True
eeg_plus_base_0p05,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760938781668874,0.5952295828889617,0.08086429527792571,0.08398787586073209,0.08715500681760746,True
eeg_plus_base_0p10,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6750978828365392,0.6001259499717031,0.07497193286483606,0.07348028284194996,0.07763178066583087,True
eeg_plus_base_0p10,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6750978828365392,0.6344808091519322,0.040617073684606986,0.032324366231620716,0.03610521326699334,True
eeg_plus_base_0p10,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6750978828365392,0.5964287671776527,0.07866911565888646,0.08363819425371899,0.0837513888932091,True
eeg_plus_base_0p25,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6746618401968327,0.6043407808851293,0.0703210593117034,0.06865401984147546,0.07140540914377158,True
eeg_plus_base_0p25,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6746618401968327,0.6375120894032406,0.03714975079359217,0.02664269811715647,0.03178948010123639,True
eeg_plus_base_0p25,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6746618401968327,0.6036461489434248,0.0710156912534079,0.07462476336398738,0.07644569669606527,True
eeg_plus_base_0p50,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6744505002043875,0.611552550706549,0.06289794949783845,0.05919872910393642,0.061324193088051815,True
eeg_plus_base_0p50,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6744505002043875,0.6364205130972798,0.0380299871071077,0.02195980475909931,0.02925432802897976,True
eeg_plus_base_0p50,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6744505002043875,0.612577636221362,0.061872863983025495,0.0631544904184792,0.06635231115762896,True
eeg_plus_base_rank_0p25,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6742439702734492,0.6052901014444814,0.06895386882896781,0.06926651895672642,0.07178803444678772,True
eeg_plus_base_rank_0p25,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6742439702734492,0.6341419117153922,0.04010205855805693,0.03419591493499308,0.03587664504103616,True
eeg_plus_base_rank_0p25,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6742439702734492,0.6032794969701183,0.07096447330333089,0.07651602816592507,0.07536792197234243,True
eeg_plus_base_rank_0p50,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6759840931154762,0.6099793257551573,0.0660047673603189,0.0664352133910312,0.06745646167340646,True
eeg_plus_base_rank_0p50,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6759840931154762,0.6355782259821015,0.040405867133374795,0.03211224800408097,0.03379523520445349,True
eeg_plus_base_rank_0p50,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6759840931154762,0.610524272487155,0.06545982062832123,0.07109058991678074,0.07036313185520926,True
