fold,event_id,user_id,session_id,item_id,label,history_count,session_position,eeg_score,stage1_base_prediction,base_logit,base_session_rank,eeg_session_rank,base_session_z,eeg_session_z,seed,candidate,uses_eeg,control_type
1,evt_000073,0,2,74,0,73.0,31,-1.5400067177216155,0.2326676249504089,-1.1933091189797649,0.0625,0.125,-0.3657073328265017,-0.19068836839320127,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000074,0,2,75,0,74.0,32,-1.7407933273499294,0.2167833174268404,-1.2845110740504109,-0.25,-0.125,-0.6419004021808056,-0.5426486715486437,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000075,0,2,76,0,75.0,33,-0.14181729274995813,0.3462148855129878,-0.635719087667173,0.3125,0.375,1.3228803961349578,2.2602080075788926,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000076,0,2,77,0,76.0,34,-1.2075024061849964,0.2504630188147227,-1.0961443773220787,0.1875,0.25,-0.07145675222582579,0.3921608490200368,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000077,0,2,78,1,77.0,35,-1.9218843993624581,0.1724583903948465,-1.5683033972257707,-0.4375,-0.4375,-1.5013279521305416,-0.8600845240801454,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000078,0,2,79,1,78.0,36,-1.3284596147708712,0.3111018985509872,-0.7949728600904528,0.25,0.1875,0.8406013904078726,0.18013408149042934,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000079,0,2,80,0,79.0,37,-1.8574505354441193,0.2316002349058786,-1.1992973652141352,0.0,-0.25,-0.38384194525053317,-0.747137937053472,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000080,0,2,82,0,80.0,38,-1.6763634322630756,0.2058221002419789,-1.3502952866397524,-0.375,0.0,-0.8411191971729992,-0.42970904151544326,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000081,0,2,83,1,81.0,39,-1.5591478298464123,0.2294682413339615,-1.2113162342286163,-0.0625,0.0625,-0.4202395018676642,-0.22424096255596368,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
1,evt_000082,0,2,84,1,82.0,40,-1.8772120882788337,0.2260131736596425,-1.2309615651099346,-0.125,-0.3125,-0.4797327904752299,-0.7817781062330983,2026,V2H-local-H2_E0,False,H2_E0_non_eeg
