phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,base_weight,history_floor,history_cap,agreement_gamma,selected_alignment,stage1_source,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_only,baseline,0.0,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,v2n_reference,0.05,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_gate_floor0p25_cap5_base0p05,history_reliability,0.05,0.25,5.0,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_gate_floor0p25_cap10_base0p05,history_reliability,0.05,0.25,10.0,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_gate_floor0p25_cap20_base0p05,history_reliability,0.05,0.25,20.0,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_gate_floor0p50_cap10_base0p05,history_reliability,0.05,0.5,10.0,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,session_rank_eeg_base0p05,session_block_listwise,0.05,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6353209062910555,0.6349165764790765,0.6071676501214855,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,session_rank_eeg_base0p10,session_block_listwise,0.1,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6326675066227305,0.6324364177489177,0.6060395695938909,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,session_z_eeg_base0p05,session_block_listwise,0.05,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6454849498327759,0.639920251705966,0.6454849498327759,0.6479496323782038,598,35,28,0.6182719519286684,0.6152447734144163,0.6143005900728914,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,session_z_eeg_base0p10,session_block_listwise,0.1,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6387959866220736,0.6336185771900057,0.6387959866220736,0.6419314917886346,598,35,28,0.6150119532209084,0.612096195801553,0.6128774730996183,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,agreement_gate0p10_base0p05,eeg_base_agreement,0.05,,,0.1,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6471571906354515,0.6388169898884185,0.6471571906354515,0.6460902219473648,598,35,28,0.6192943292197023,0.6171731129320416,0.6423116973273169,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,agreement_gate0p25_base0p05,eeg_base_agreement,0.05,,,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6471571906354515,0.6405034978249263,0.6471571906354515,0.6474394282965712,598,35,28,0.6202253882104627,0.6186753805057377,0.6424158278375565,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,margin_shrinkage,0.05,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6454849498327759,0.6380658561015704,0.6454849498327759,0.6454893149178863,598,35,28,0.6176679373694298,0.6156566730227445,0.6425893786879555,28
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_only,baseline,0.0,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5753424657534246,0.5641215266215267,0.5753424657534246,0.553654000320667,584,30,26,0.5600306637806638,0.5574303011803011,0.5752244036762866,26
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,v2n_reference,0.05,,,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_gate_floor0p25_cap5_base0p05,history_reliability,0.05,0.25,5.0,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_gate_floor0p25_cap10_base0p05,history_reliability,0.05,0.25,10.0,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
V2-O,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_gate_floor0p25_cap20_base0p05,history_reliability,0.05,0.25,20.0,,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
