phase,protocol_id,seed,fold,user_id,session_id,event_count,positive_count,negative_count,pair_count,reference_context_auc,selected_context_auc,delta_context_auc,weighted_delta_pairs,abs_weighted_delta_pairs,history_count_mean,history_count_std,session_position_min,session_position_max,eeg_score_std,base_logit_std,abs_contribution_share,signed_contribution_share
V2-P,V2M-two_stage_user_local_reranker-v1,2029,2,14,5,12,3,9,27,0.8518518518518519,0.7037037037037037,-0.14814814814814814,-4.0,4.0,75.5,3.452052529534663,6.0,17.0,0.6247803806915223,0.23056894446364917,0.03539823008849557,-0.36363636363636376
V2-P,V2M-two_stage_user_local_reranker-v1,2028,2,22,4,10,2,8,16,0.4375,0.625,0.1875,3.0,3.0,66.5,2.8722813232690143,18.0,27.0,0.8697092864885322,0.412161620075989,0.026548672566371678,0.2727272727272728
V2-P,V2M-two_stage_user_local_reranker-v1,2026,1,18,5,13,5,8,40,0.675,0.7250000000000001,0.050000000000000044,2.0000000000000018,2.0000000000000018,73.0,3.7416573867739413,3.0,15.0,0.726302713692247,0.2435736234931037,0.0176991150442478,0.18181818181818205
V2-P,V2M-two_stage_user_local_reranker-v1,2026,3,14,6,12,6,6,36,0.75,0.6944444444444444,-0.05555555555555558,-2.000000000000001,2.000000000000001,87.5,3.452052529534663,1.0,12.0,0.4958680429832236,0.3704012079518756,0.017699115044247794,-0.18181818181818196
V2-P,V2M-two_stage_user_local_reranker-v1,2030,2,10,3,11,10,1,10,0.8,0.6,-0.20000000000000007,-2.000000000000001,2.000000000000001,76.0,3.1622776601683795,11.0,21.0,0.6232801807468906,0.3643021396074225,0.017699115044247794,-0.18181818181818196
V2-P,V2M-two_stage_user_local_reranker-v1,2026,3,5,7,7,3,4,12,0.5833333333333333,0.75,0.16666666666666674,2.000000000000001,2.000000000000001,99.0,2.0,1.0,7.0,0.628355073903729,0.247851102560072,0.017699115044247794,0.18181818181818196
V2-P,V2M-two_stage_user_local_reranker-v1,2030,2,22,4,10,2,8,16,0.5625,0.6875,0.125,2.0,2.0,66.5,2.8722813232690143,18.0,27.0,0.9240670586866593,0.412161620075989,0.017699115044247784,0.18181818181818188
V2-P,V2M-two_stage_user_local_reranker-v1,2028,2,27,4,10,3,7,21,0.38095238095238093,0.2857142857142857,-0.09523809523809523,-2.0,2.0,66.5,2.8722813232690143,1.0,10.0,1.8936239905061287,0.3735225349441942,0.017699115044247784,-0.18181818181818188
V2-P,V2M-two_stage_user_local_reranker-v1,2027,2,22,4,10,2,8,16,0.5,0.625,0.125,2.0,2.0,66.5,2.8722813232690143,18.0,27.0,0.758650882901095,0.412161620075989,0.017699115044247784,0.18181818181818188
V2-P,V2M-two_stage_user_local_reranker-v1,2029,2,7,4,8,2,6,12,0.3333333333333333,0.5,0.16666666666666669,2.0,2.0,81.5,2.29128784747792,34.0,41.0,0.46724327484268857,0.16301936481765258,0.017699115044247784,0.18181818181818188
V2-P,V2M-two_stage_user_local_reranker-v1,2028,2,29,5,5,2,3,6,0.6666666666666667,0.33333333333333337,-0.33333333333333337,-2.0,2.0,61.0,1.4142135623730951,1.0,5.0,0.24708403679226532,0.3974359761333643,0.017699115044247784,-0.18181818181818188
V2-P,V2M-two_stage_user_local_reranker-v1,2030,2,7,4,8,2,6,12,0.16666666666666669,0.3333333333333333,0.16666666666666663,1.9999999999999996,1.9999999999999996,81.5,2.29128784747792,34.0,41.0,0.6386537647638553,0.16301936481765258,0.01769911504424778,0.18181818181818182
V2-P,V2M-two_stage_user_local_reranker-v1,2027,3,1,5,10,5,5,25,0.8400000000000001,0.92,0.07999999999999996,1.9999999999999991,1.9999999999999991,81.5,2.8722813232690143,1.0,10.0,0.5533747333446644,0.24340254842556294,0.017699115044247777,0.1818181818181818
V2-P,V2M-two_stage_user_local_reranker-v1,2028,2,15,5,14,6,8,48,0.8333333333333333,0.8541666666666667,0.02083333333333348,1.000000000000007,1.000000000000007,98.5,4.031128874149275,1.0,14.0,0.4683153714404136,0.29031424080263923,0.008849557522123956,0.09090909090909158
V2-P,V2M-two_stage_user_local_reranker-v1,2026,1,15,4,15,7,8,56,0.7857142857142857,0.7678571428571428,-0.017857142857142905,-1.0000000000000027,1.0000000000000027,83.0,4.320493798938574,10.0,24.0,1.6236013440160406,0.411500871842443,0.008849557522123916,-0.09090909090909118
V2-P,V2M-two_stage_user_local_reranker-v1,2027,2,2,4,14,2,12,24,0.8333333333333334,0.7916666666666666,-0.04166666666666674,-1.0000000000000018,1.0000000000000018,91.5,4.031128874149275,5.0,18.0,1.200356635745902,0.6365526328452942,0.008849557522123908,-0.0909090909090911
