phase,protocol_id,level,fold,seed,reference_variant,selected_variant,reference_protocol_gauc,selected_protocol_gauc,delta_protocol_gauc,reference_macro_user_auc,selected_macro_user_auc,delta_macro_user_auc,reference_event_transfer_gauc,selected_event_transfer_gauc,delta_event_transfer_gauc,selected_beats_reference_protocol,selected_beats_current_champion,selected_hits_0p8,fold_seed_count,reference_win_rate
V2-P,V2M-two_stage_user_local_reranker-v1,overall_mean,0,0,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6760938781668874,0.6772939977796371,0.0012001196127496541,0.6805579847699132,0.6871659513421072,0.006607966572193957,0.6688599504001634,0.6701697077618007,0.0013097573616373721,True,True,False,15.0,0.5333333333333333
V2-P,V2M-two_stage_user_local_reranker-v1,seed_mean,0,2026,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6719644187407013,0.6713936424849937,-0.0005707762557077464,0.6794231822618811,0.6810308716339265,0.0016076893720451773,0.6655091567760767,0.6657496250802827,0.00024046830420609844,False,True,False,3.0,0.0
V2-P,V2M-two_stage_user_local_reranker-v1,seed_mean,0,2027,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6672810893191725,0.6705580904443785,0.003277001125205977,0.6730665162477383,0.6817791621560542,0.008712645908315886,0.6633669411504693,0.6649032039665111,0.0015362628160418372,True,True,False,3.0,0.6666666666666666
V2-P,V2M-two_stage_user_local_reranker-v1,seed_mean,0,2028,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6801129631763042,0.68285927601025,0.0027463128339458853,0.682463777659096,0.6939621044352006,0.011498326776104592,0.6726050037419382,0.6760224226694568,0.0034174189275186415,True,True,False,3.0,1.0
V2-P,V2M-two_stage_user_local_reranker-v1,seed_mean,0,2029,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6881715089270442,0.6865306700542942,-0.0016408388727498686,0.6891672036413179,0.6940792957929934,0.004912092151675503,0.6747957912855317,0.6736711706739708,-0.0011246206115609336,False,True,False,3.0,0.3333333333333333
V2-P,V2M-two_stage_user_local_reranker-v1,seed_mean,0,2030,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6729394106712148,0.6751283099042688,0.002188899233054024,0.6786692440395324,0.6849783226923613,0.00630907865282863,0.6680228590468014,0.6705021164187825,0.0024792573719812174,True,True,False,3.0,0.6666666666666666
V2-P,V2M-two_stage_user_local_reranker-v1,fold_mean,1,0,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.720066889632107,0.7207357859531772,0.0006688963210702336,0.736682202717917,0.7464628731057303,0.009780670387813228,0.7202277357799745,0.7202900217527083,6.228597273372216e-05,False,True,False,5.0,0.4
V2-P,V2M-two_stage_user_local_reranker-v1,,1,2026,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.7140468227424749,0.7140468227424749,0.0,0.7262253057788771,0.7250724407867264,-0.0011528649921507261,0.7092797915185975,0.7078570351704679,-0.0014227563481296057,False,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,1,2027,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.7240802675585284,0.7307692307692307,0.006688963210702337,0.7345887445887447,0.756751443001443,0.022162698412698356,0.724921927160733,0.7299432491223535,0.0050213219616205285,True,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,1,2028,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.725752508361204,0.7274247491638796,0.0016722408026755842,0.746160929018072,0.764613309970453,0.018452380952380998,0.7252217268635179,0.7270246171738709,0.001802890310352967,True,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,1,2029,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.7140468227424749,0.7090301003344481,-0.0050167224080267525,0.7278063371813372,0.7380741943241944,0.010267857142857162,0.7159240593568952,0.712492408089423,-0.0034316512674721356,False,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,1,2030,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.7224080267558528,0.7224080267558528,0.0,0.7486296970225543,0.7478029774458347,-0.0008267195767196478,0.7257911740001292,0.724132799207426,-0.0016583747927031434,False,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,fold_mean,2,0,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6493150684931507,0.6496575342465754,0.00034246575342467,0.633437210937211,0.6346877196877198,0.0012505087505088274,0.6131787968975468,0.6128913690476191,-0.0002874278499278793,True,True,False,5.0,0.6
V2-P,V2M-two_stage_user_local_reranker-v1,,2,2026,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6335616438356164,0.6318493150684932,-0.001712328767123239,0.6265426702926702,0.6263493450993451,-0.0001933251933250446,0.6062291441197691,0.6050795905483406,-0.001149553571428541,False,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,2,2027,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.636986301369863,0.6352739726027398,-0.001712328767123239,0.6200371387871388,0.6183836996336998,-0.0016534391534390736,0.6041196563852814,0.6014397321428572,-0.0026799242424242475,False,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,2,2028,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6592465753424658,0.660958904109589,0.001712328767123239,0.6511116198616199,0.6485169922669924,-0.0025946275946274744,0.6300647095959596,0.6278624413780663,-0.002202268217893266,True,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,2,2029,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6643835616438356,0.666095890410959,0.00171232876712335,0.6338608151108152,0.6418303918303919,0.007969576719576765,0.6077179157647908,0.6120297844516595,0.004311868686868614,True,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,2,2030,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6523972602739726,0.6541095890410958,0.001712328767123239,0.6356338106338106,0.6383581696081696,0.0027243589743589647,0.6177625586219336,0.6180452967171717,0.0002827380952380443,True,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,fold_mean,3,0,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6588996763754045,0.6614886731391586,0.002588996763754059,0.6715545406546116,0.6803472612328714,0.008792720578259815,0.6731733185229688,0.677327732485075,0.004154413962106274,True,True,False,5.0,0.6
V2-P,V2M-two_stage_user_local_reranker-v1,,3,2026,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6682847896440129,0.6682847896440129,0.0,0.6855015707140965,0.6916708290157078,0.006169258301611302,0.6810185346898633,0.6843122495220397,0.003293714832176442,False,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,3,2027,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6407766990291263,0.6456310679611651,0.004854368932038833,0.6645736653673315,0.6702023438330199,0.005628678465688375,0.6610592399053937,0.663326630634323,0.0022673907289292305,True,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,3,2028,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6553398058252428,0.6601941747572816,0.004854368932038833,0.650118784097596,0.6687560110681563,0.01863722697056025,0.662528574766337,0.6731802094564332,0.010651634690096223,True,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,3,2029,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.686084142394822,0.6844660194174758,-0.0016181229773462036,0.7058344586318013,0.7023333012243939,-0.003501157407407418,0.7007453987349092,0.6964913194808299,-0.004254079254079279,False,True,False,,
V2-P,V2M-two_stage_user_local_reranker-v1,,3,2030,v2n_eeg_base_0p05,sqrt_margin_eeg_base0p05,0.6440129449838188,0.6488673139158576,0.004854368932038833,0.6517442244622327,0.6687738210230793,0.01702959656084657,0.6605148445183411,0.6693282533317498,0.008813408813408752,True,True,False,,
