candidate,score_variant,uses_eeg,control_type,variant_family,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate,delta_protocol_gauc_vs_selected,delta_macro_auc_vs_selected,delta_event_gauc_vs_selected,delta_event_global_auc_vs_selected,delta_protocol_gauc_vs_reference,improves_protocol_over_reference,improves_event_global_over_selected
V2H-local-real,sqrt_margin_eeg_base0p05,True,real_eeg,margin_shrinkage,5,0.6772939977796371,0.0063429532664097,0.6871659513421072,0.6772939977796371,0.6701697077618007,0.6736682181354801,0.5891799240033528,1.0,0.0,0.0,0.0,0.0,0.0,0.0012001196127496838,True,False
V2H-local-real,hist_gate_floor0p25_cap10_base0p05,True,real_eeg,history_reliability,5,0.6760938781668874,0.0073032945538268,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0,-0.0012001196127496838,-0.0066079665721939795,-0.0013097573616371871,-0.0012688979136801226,0.0,False,False
V2H-local-real,hist_gate_floor0p25_cap20_base0p05,True,real_eeg,history_reliability,5,0.6760938781668874,0.0073032945538268,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0,-0.0012001196127496838,-0.0066079665721939795,-0.0013097573616371871,-0.0012688979136801226,0.0,False,False
V2H-local-real,hist_gate_floor0p25_cap5_base0p05,True,real_eeg,history_reliability,5,0.6760938781668874,0.0073032945538268,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0,-0.0012001196127496838,-0.0066079665721939795,-0.0013097573616371871,-0.0012688979136801226,0.0,False,False
V2H-local-real,hist_gate_floor0p50_cap10_base0p05,True,real_eeg,history_reliability,5,0.6760938781668874,0.0073032945538268,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0,-0.0012001196127496838,-0.0066079665721939795,-0.0013097573616371871,-0.0012688979136801226,0.0,False,False
V2H-local-real,v2n_eeg_base_0p05,True,real_eeg,v2n_reference,5,0.6760938781668874,0.0073032945538268,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0,-0.0012001196127496838,-0.0066079665721939795,-0.0013097573616371871,-0.0012688979136801226,0.0,False,False
V2H-local-real,eeg_only,True,real_eeg,baseline,5,0.6756975219324226,0.0064674776856064,0.6780740753672072,0.6756975219324226,0.6679187710470293,0.6682603549815852,0.5871749758487417,1.0,0.0,-0.0015964758472144513,-0.009091875974900021,-0.00225093671477139,-0.0020049481546111636,-0.00039635623446476753,False,False
V2H-local-real,session_rank_eeg_base0p05,True,real_eeg,session_block_listwise,5,0.6756975219324226,0.0064674776856064,0.6780740753672072,0.6756975219324226,0.6666678117468632,0.6672780447433226,0.6255896899628969,1.0,0.0,-0.0015964758472144513,-0.009091875974900021,-0.0035018960149375555,0.03640976595954404,-0.00039635623446476753,False,True
V2H-local-real,session_z_eeg_base0p05,True,real_eeg,session_block_listwise,5,0.6754215074320085,0.006958292570065,0.6800101689674289,0.6754215074320085,0.6680463135981871,0.6703264765437386,0.6254880318461438,1.0,0.0,-0.001872490347628597,-0.007155782374678288,-0.0021233941636136233,0.036308107842790927,-0.0006723707348789132,False,True
V2H-local-real,session_rank_eeg_base0p10,True,real_eeg,session_block_listwise,5,0.6754126014665979,0.0061871989088507,0.677932227136073,0.6754126014665979,0.6668748178093751,0.66750781794631,0.6264146148678764,1.0,0.0,-0.0018813963130391853,-0.009233724206034188,-0.0032948899524256614,0.03723469086452358,-0.0006812767002895015,False,True
V2H-local-real,session_z_eeg_base0p10,True,real_eeg,session_block_listwise,5,0.6752308792456361,0.0072452572530248,0.6811742951141571,0.6752308792456361,0.6674156639875918,0.6695016142734397,0.6255574376516823,1.0,0.0,-0.002063118534000985,-0.005991656227950171,-0.0027540437742089585,0.03637751364832942,-0.0008629989212513012,False,True
V2H-local-real,agreement_gate0p10_base0p05,True,real_eeg,eeg_base_agreement,5,0.6750485355345794,0.0064087485623198,0.6789604113317855,0.6750485355345794,0.6644409761367134,0.6669411834858263,0.5902385928202707,1.0,0.0,-0.0022454622450576167,-0.008205540010321699,-0.005728731625087358,0.0010586688169178515,-0.001045342632307933,False,True
V2H-local-real,agreement_gate0p25_base0p05,True,real_eeg,eeg_base_agreement,5,0.672101077369759,0.0060509943212356,0.6770475662529833,0.672101077369759,0.6617736715535761,0.6647836884969822,0.5931642487645641,1.0,0.0,-0.005192920409878066,-0.010118385089123882,-0.0083960362082246,0.003984324761211244,-0.003992800797128382,False,True
