user_id,context_count,fold_count,seed_count,total_pair_count,total_weighted_delta_pairs,total_abs_weighted_delta_pairs,positive_delta_context_count,negative_delta_context_count,mean_delta_context_auc,mean_history_count,mean_eeg_score_std,weighted_delta_auc,abs_contribution_share,signed_contribution_share
14,20,3,5,360,-4.0000000000000036,10.000000000000002,3,3,0.0037037037037036978,72.875,0.6843274743384976,-0.01111111111111112,0.08849557522123895,-0.36363636363636404
22,15,3,5,205,10.0,10.0,6,0,0.041666666666666664,66.5,0.7908637015830303,0.04878048780487805,0.08849557522123894,0.9090909090909093
3,15,3,5,220,2.6645352591003757e-15,8.0,4,4,0.08981481481481482,70.66666666666667,0.3319258185972622,1.2111523905001707e-17,0.07079646017699115,2.422304781000342e-16
13,15,3,5,415,3.0000000000000004,7.000000000000001,5,2,0.009572649572649576,88.66666666666667,1.4642461257989003,0.0072289156626506035,0.06194690265486726,0.2727272727272728
29,20,3,5,175,2.9999999999999996,7.0,5,1,0.016666666666666663,59.25,1.319072585347036,0.01714285714285714,0.061946902654867256,0.2727272727272727
17,20,3,5,515,-1.000000000000004,6.999999999999998,3,4,-0.023750000000000004,88.625,2.369053748161993,-0.0019417475728155417,0.06194690265486724,-0.09090909090909129
10,15,3,5,305,-3.9999999999999964,5.999999999999997,1,4,-0.02666666666666666,76.66666666666667,0.6119291171730147,-0.013114754098360644,0.05309734513274334,-0.36363636363636337
15,20,3,5,680,1.000000000000007,5.000000000000005,3,2,0.0026785714285714355,102.75,0.6914934237531616,0.001470588235294128,0.04424778761061952,0.09090909090909156
5,20,3,5,325,5.000000000000002,5.000000000000002,4,0,0.016785714285714293,86.875,0.6928057612283369,0.01538461538461539,0.04424778761061948,0.4545454545454548
8,25,3,5,340,-3.0,5.000000000000001,1,4,-0.012222222222222223,84.0,0.9899718441048866,-0.008823529411764706,0.044247787610619475,-0.27272727272727276
27,15,3,5,355,-2.9999999999999987,5.0,1,3,-0.00952380952380952,66.5,1.342545187747133,-0.008450704225352108,0.04424778761061947,-0.27272727272727265
7,10,2,5,260,4.999999999999999,4.999999999999999,3,0,0.041666666666666664,76.25,0.5257616314136875,0.01923076923076923,0.04424778761061946,0.45454545454545453
18,10,2,5,320,2.0000000000000013,4.0000000000000036,2,1,0.0066666666666666706,79.75,0.5940806049553835,0.006250000000000004,0.03539823008849561,0.18181818181818196
1,15,3,5,415,-1.5543122344752192e-15,4.0,1,2,0.0004444444444444399,70.16666666666667,1.1092651814688572,-3.745330685482456e-18,0.035398230088495575,-1.4130111222501995e-16
2,20,3,5,385,-3.000000000000003,3.000000000000003,0,3,-0.008888888888888896,88.75,1.1198257029367658,-0.0077922077922078,0.02654867256637171,-0.27272727272727304
4,15,3,5,600,-3.0000000000000027,3.0000000000000027,0,3,-0.0043333333333333375,94.5,0.9867675219881823,-0.0050000000000000044,0.026548672566371705,-0.27272727272727304
16,20,3,5,215,2.9999999999999996,2.9999999999999996,3,0,0.02142857142857143,65.125,0.6549093388245507,0.013953488372093021,0.026548672566371678,0.2727272727272727
19,15,3,5,270,-2.9999999999999973,2.9999999999999973,0,3,-0.008333333333333326,69.5,1.1900094478990908,-0.011111111111111101,0.026548672566371657,-0.27272727272727254
24,5,1,5,60,-2.000000000000001,2.000000000000001,0,2,-0.03333333333333335,49.5,0.577119955470639,-0.03333333333333335,0.017699115044247794,-0.18181818181818193
6,5,1,5,15,2.0,2.0,2,0,0.13333333333333336,30.5,0.5142183901113498,0.13333333333333333,0.017699115044247787,0.18181818181818185
12,20,3,5,350,2.0,2.0,2,0,0.0037037037037037034,76.25,0.9564778103524072,0.005714285714285714,0.017699115044247787,0.18181818181818185
9,25,3,5,275,1.9999999999999982,1.9999999999999982,2,0,0.0033333333333333305,69.2,0.6363314763124143,0.007272727272727267,0.017699115044247773,0.18181818181818168
21,20,3,5,420,-4.6629367034256575e-15,1.9999999999999976,1,1,-0.0009920634920634996,88.875,0.4895413801249523,-1.1102230246251566e-17,0.017699115044247767,-4.2390333667505984e-16
28,15,2,5,180,-1.0000000000000004,1.0000000000000004,0,1,-0.00740740740740741,82.16666666666667,0.6468341368319603,-0.005555555555555558,0.008849557522123897,-0.09090909090909097
23,10,2,5,50,-1.0,1.0,0,1,-0.0125,52.0,0.3317202420984739,-0.02,0.008849557522123894,-0.09090909090909093
0,20,3,5,590,0.9999999999999984,0.9999999999999984,1,0,0.0009259259259259244,94.75,1.3460820605611032,0.0016949152542372855,0.00884955752212388,0.09090909090909079
20,15,3,5,205,0.0,0.0,0,0,0.0,77.33333333333333,1.0559820039440708,0.0,0.0,0.0
25,5,1,5,70,0.0,0.0,0,0,0.0,74.0,1.2313818296767027,0.0,0.0,0.0
26,5,1,5,55,0.0,0.0,0,0,0.0,68.5,1.2925880623458255,0.0,0.0,0.0
11,15,3,5,370,0.0,0.0,0,0,0.0,85.66666666666667,0.9176144107380776,0.0,0.0,0.0
