score_variant,variant_family,real_candidate,control_candidate,control_type,mean_real_protocol_gauc,mean_control_protocol_gauc,delta_protocol_gauc,delta_protocol_macro_user_auc,delta_event_transfer_gauc,real_beats_control
ctx_le12_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6769496613780948,0.5997996528452706,0.07715000853282417,0.07867831127711844,0.07922431382324002,True
ctx_le12_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6769496613780948,0.636707390700897,0.04024227067719777,0.03405084960209903,0.03521206132317467,True
ctx_le12_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6769496613780948,0.5968773705893293,0.08007229078876543,0.08688010808038049,0.08389028598875392,True
ctx_le16_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6772939977796371,0.5997888292802048,0.07750516849943223,0.07887085264227878,0.08059636522312974,True
ctx_le16_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6772939977796371,0.6366148825798872,0.04067911519974987,0.0343683101397978,0.03557770695601259,True
ctx_le16_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6772939977796371,0.5974382586040299,0.07985573917560718,0.08668490733756085,0.0848835702416405,True
ctx_le20_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6772939977796371,0.5997888292802048,0.07750516849943223,0.07887085264227878,0.08059636522312974,True
ctx_le20_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6772939977796371,0.6366148825798872,0.04067911519974987,0.0343683101397978,0.03557770695601259,True
ctx_le20_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6772939977796371,0.5974382586040299,0.07985573917560718,0.08668490733756085,0.0848835702416405,True
ctx_le8_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6769856064871013,0.5980198040598649,0.07896580242723639,0.08147438527277973,0.08388515402815677,True
ctx_le8_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6769856064871013,0.6332464816370805,0.04373912485002074,0.038781850847171784,0.045081669396141,True
ctx_le8_sqrt_else_raw_base0p05,context_threshold_sqrt,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6769856064871013,0.5954641737772299,0.08152143270987133,0.089116185731689,0.08780487283571015,True
ctx_smooth12_scale4_sqrt_raw_base0p05,context_smooth_sqrt,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760769076570495,0.5990292954862422,0.07704761217080736,0.07874050204417016,0.09186522371092565,True
ctx_smooth12_scale4_sqrt_raw_base0p05,context_smooth_sqrt,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760769076570495,0.6343746714936802,0.04170223616336932,0.03654573258695237,0.05268433785667748,True
ctx_smooth12_scale4_sqrt_raw_base0p05,context_smooth_sqrt,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760769076570495,0.5952259750339397,0.08085093262310983,0.08868116041576968,0.09781688443203584,True
ctx_smooth16_scale4_sqrt_raw_base0p05,context_smooth_sqrt,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6760822527189759,0.5996809544150483,0.07640129830392761,0.07808514777175257,0.08382723919630308,True
ctx_smooth16_scale4_sqrt_raw_base0p05,context_smooth_sqrt,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6760822527189759,0.6338208657478102,0.04226138697116577,0.03644891346562351,0.04630923915921903,True
ctx_smooth16_scale4_sqrt_raw_base0p05,context_smooth_sqrt,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6760822527189759,0.5955684407873644,0.08051381193161156,0.08842744508096012,0.08939585036785391,True
margin_power0p25_base0p05,global_power_margin,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6795761674784092,0.605343190042676,0.0742329774357332,0.0683721257269636,0.07392837880830383,True
margin_power0p25_base0p05,global_power_margin,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6795761674784092,0.6405259988210716,0.03905016865733757,0.024063959305669513,0.03139482077911815,True
margin_power0p25_base0p05,global_power_margin,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6795761674784092,0.6025196962937296,0.07705647118467962,0.07639806041346509,0.08145691505926456,True
margin_power0p75_base0p05,global_power_margin,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6755329901521867,0.5990220797761984,0.07651091037598834,0.07508170805303493,0.0787589070740996,True
margin_power0p75_base0p05,global_power_margin,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6755329901521867,0.6342542358565535,0.04127875429563321,0.03410071827586669,0.03670515382904649,True
margin_power0p75_base0p05,global_power_margin,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6755329901521867,0.5954542855362228,0.08007870461596389,0.08486471208177737,0.08535501908401877,True
