phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,power,context_threshold,smooth_threshold,smooth_scale,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,reference_raw_margin,1.0,,,,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,v2p_sqrt_margin,0.5,,,,0.6454849498327759,0.6380658561015704,0.6454849498327759,0.6454893149178863,598,35,28,0.6176679373694298,0.6156566730227445,0.6425893786879555,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,global_power_margin,0.25,,,,0.6404682274247492,0.6327087132444275,0.6404682274247492,0.6412036006321721,598,35,28,0.6157536990372812,0.6134741333402048,0.6442901770218674,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p75_base0p05,global_power_margin,0.75,,,,0.6505016722408027,0.6427972358329501,0.6505016722408027,0.650251219679791,598,35,28,0.6240255432792746,0.6216397177557892,0.6425893786879555,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power1p25_base0p05,global_power_margin,1.25,,,,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426935091981951,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,ctx_le8_sqrt_else_raw_base0p05,context_threshold_sqrt,,8.0,,,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6285544140768021,0.6265332963993678,0.6455050329746617,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,ctx_le12_sqrt_else_raw_base0p05,context_threshold_sqrt,,12.0,,,0.6488294314381271,0.6400499830856974,0.6488294314381271,0.6470766165051879,598,35,28,0.619823824599944,0.6176408000068715,0.633738285317598,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,ctx_le16_sqrt_else_raw_base0p05,context_threshold_sqrt,,16.0,,,0.6454849498327759,0.6380658561015704,0.6454849498327759,0.6454893149178863,598,35,28,0.6176679373694298,0.6156566730227445,0.6425893786879555,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,ctx_le20_sqrt_else_raw_base0p05,context_threshold_sqrt,,20.0,,,0.6454849498327759,0.6380658561015704,0.6454849498327759,0.6454893149178863,598,35,28,0.6176679373694298,0.6156566730227445,0.6425893786879555,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,ctx_smooth12_scale4_sqrt_raw_base0p05,context_smooth_sqrt,,,12.0,4.0,0.6505016722408027,0.6427972358329501,0.6505016722408027,0.650251219679791,598,35,28,0.6219194072925416,0.6190064978011407,0.641443943075321,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,ctx_smooth16_scale4_sqrt_raw_base0p05,context_smooth_sqrt,,,16.0,4.0,0.6488294314381271,0.6400499830856974,0.6488294314381271,0.6470766165051879,598,35,28,0.618828799724322,0.6159401197347627,0.6412009718847622,28
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,reference_raw_margin,1.0,,,,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,v2p_sqrt_margin,0.5,,,,0.5753424657534246,0.5670417545417545,0.5753424657534246,0.5561848645181978,584,30,26,0.5593995761183261,0.5568713693713693,0.5789793655902442,26
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,global_power_margin,0.25,,,,0.5873287671232876,0.5857739482739482,0.5873287671232876,0.5745887445887445,584,30,26,0.5741220238095237,0.5729111166611166,0.5846296892321997,26
V2-Q,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p75_base0p05,global_power_margin,0.75,,,,0.577054794520548,0.5679854867354867,0.577054794520548,0.5570027657527656,584,30,26,0.560271351911977,0.5577006327006327,0.5776204269928119,26
