candidate,score_variant,uses_eeg,control_type,variant_family,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,margin_power0p25_base0p05,False,H2_E0_non_eeg,global_power_margin,5,0.605343190042676,0.007921038701559233,0.615442451202685,0.605343190042676,0.5973670201146637,0.6017188947149265,0.6211391444974227,0.2,0.0
V2H-local-H2_E0,ctx_le12_sqrt_else_raw_base0p05,False,H2_E0_non_eeg,context_threshold_sqrt,5,0.5997996528452706,0.0085234197735099,0.6080973290972967,0.5997996528452706,0.5904737883280882,0.5944343915931218,0.610771666943611,0.0,0.0
V2H-local-H2_E0,ctx_le16_sqrt_else_raw_base0p05,False,H2_E0_non_eeg,context_threshold_sqrt,5,0.5997888292802048,0.007925524547103449,0.6082950986998285,0.5997888292802048,0.589573342538671,0.5936858852493773,0.6173987176328701,0.0,0.0
V2H-local-H2_E0,ctx_le20_sqrt_else_raw_base0p05,False,H2_E0_non_eeg,context_threshold_sqrt,5,0.5997888292802048,0.007925524547103449,0.6082950986998285,0.5997888292802048,0.589573342538671,0.5936858852493773,0.6173987176328701,0.0,0.0
V2H-local-H2_E0,sqrt_margin_eeg_base0p05,False,H2_E0_non_eeg,v2p_sqrt_margin,5,0.5997888292802048,0.007925524547103449,0.6082950986998285,0.5997888292802048,0.589573342538671,0.5936858852493773,0.6173987176328701,0.0,0.0
V2H-local-H2_E0,ctx_smooth16_scale4_sqrt_raw_base0p05,False,H2_E0_non_eeg,context_smooth_sqrt,5,0.5996809544150483,0.008072066773838364,0.6077708317777439,0.5996809544150483,0.5899401189929236,0.5937115500974628,0.6153338464236334,0.0,0.0
V2H-local-H2_E0,ctx_smooth12_scale4_sqrt_raw_base0p05,False,H2_E0_non_eeg,context_smooth_sqrt,5,0.5990292954862422,0.007888937736334959,0.6069241967195077,0.5990292954862422,0.5889490779473526,0.5927665785126103,0.6151875068907986,0.0,0.0
V2H-local-H2_E0,margin_power0p75_base0p05,False,H2_E0_non_eeg,global_power_margin,5,0.5990220797761984,0.008017380836352887,0.6070100843401175,0.5990220797761984,0.5891821951606062,0.5932159306375577,0.616401622493979,0.0,0.0
V2H-local-H2_E0,margin_power1p25_base0p05,False,H2_E0_non_eeg,global_power_margin,5,0.5980369080109159,0.0077357974771011155,0.6050141661955203,0.5980369080109159,0.5880511848420095,0.5913991541967732,0.6157807562411259,0.0,0.0
V2H-local-H2_E0,ctx_le8_sqrt_else_raw_base0p05,False,H2_E0_non_eeg,context_threshold_sqrt,5,0.5980198040598649,0.007684345106966387,0.605667354794124,0.5980198040598649,0.5874034202546884,0.5909133812615955,0.6159884161818581,0.0,0.0
V2H-local-H2_E0,v2n_eeg_base_0p05,False,H2_E0_non_eeg,reference_raw_margin,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-real,margin_power0p25_base0p05,True,real_eeg,global_power_margin,5,0.6795761674784092,0.0062223687984933815,0.6838145769296486,0.6795761674784092,0.6712953989229675,0.6746110625852689,0.5925538003621958,1.0,0.0
V2H-local-real,ctx_le16_sqrt_else_raw_base0p05,True,real_eeg,context_threshold_sqrt,5,0.6772939977796371,0.006342953266409711,0.6871659513421072,0.6772939977796371,0.6701697077618007,0.6736682181354801,0.5891799240033528,1.0,0.0
V2H-local-real,ctx_le20_sqrt_else_raw_base0p05,True,real_eeg,context_threshold_sqrt,5,0.6772939977796371,0.006342953266409711,0.6871659513421072,0.6772939977796371,0.6701697077618007,0.6736682181354801,0.5891799240033528,1.0,0.0
V2H-local-real,sqrt_margin_eeg_base0p05,True,real_eeg,v2p_sqrt_margin,5,0.6772939977796371,0.006342953266409711,0.6871659513421072,0.6772939977796371,0.6701697077618007,0.6736682181354801,0.5891799240033528,1.0,0.0
V2H-local-real,ctx_le8_sqrt_else_raw_base0p05,True,real_eeg,context_threshold_sqrt,5,0.6769856064871013,0.007073593049456335,0.6871417400669038,0.6769856064871013,0.6712885742828452,0.6745248681359792,0.5923745028207941,1.0,0.0
V2H-local-real,ctx_le12_sqrt_else_raw_base0p05,True,real_eeg,context_threshold_sqrt,5,0.6769496613780948,0.006358596209358319,0.6867756403744152,0.6769496613780948,0.6696981021513282,0.6732321196220006,0.5739877343551599,1.0,0.0
V2H-local-real,v2n_eeg_base_0p05,True,real_eeg,reference_raw_margin,5,0.6760938781668874,0.007303294553826833,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0
V2H-local-real,ctx_smooth16_scale4_sqrt_raw_base0p05,True,real_eeg,context_smooth_sqrt,5,0.6760822527189759,0.0067167813258217956,0.6858559795494965,0.6760822527189759,0.6737673581892267,0.6772020371236641,0.5881724309734493,1.0,0.0
V2H-local-real,ctx_smooth12_scale4_sqrt_raw_base0p05,True,real_eeg,context_smooth_sqrt,5,0.6760769076570495,0.006740980028885323,0.6856646987636779,0.6760769076570495,0.6808143016582783,0.6842826364185493,0.5888814593524063,1.0,0.0
V2H-local-real,margin_power0p75_base0p05,True,real_eeg,global_power_margin,5,0.6755329901521867,0.0068814445568037615,0.6820917923931524,0.6755329901521867,0.6679411022347058,0.6700164423319186,0.5883035811618009,1.0,0.0
V2H-local-real,margin_power1p25_base0p05,True,real_eeg,global_power_margin,5,0.6753414266417556,0.006583492592863761,0.6787004316822014,0.6753414266417556,0.6672564088857077,0.66781759154279,0.5877738918931418,1.0,0.0
V2H-local-shuffle,margin_power0p25_base0p05,False,shuffle_eeg_control,global_power_margin,5,0.6405259988210716,0.006124283048630614,0.6597506176239791,0.6405259988210716,0.6399005781438494,0.6440353836712964,0.6041954165263153,1.0,0.0
V2H-local-shuffle,ctx_le12_sqrt_else_raw_base0p05,False,shuffle_eeg_control,context_threshold_sqrt,5,0.636707390700897,0.005621762272717952,0.6527247907723162,0.636707390700897,0.6344860408281535,0.6361856592848657,0.5777238660383577,1.0,0.0
V2H-local-shuffle,ctx_le16_sqrt_else_raw_base0p05,False,shuffle_eeg_control,context_threshold_sqrt,5,0.6366148825798872,0.0054891045213099525,0.6527976412023094,0.6366148825798872,0.6345920008057881,0.6362508784572276,0.599980905047829,1.0,0.0
V2H-local-shuffle,ctx_le20_sqrt_else_raw_base0p05,False,shuffle_eeg_control,context_threshold_sqrt,5,0.6366148825798872,0.0054891045213099525,0.6527976412023094,0.6366148825798872,0.6345920008057881,0.6362508784572276,0.599980905047829,1.0,0.0
V2H-local-shuffle,sqrt_margin_eeg_base0p05,False,shuffle_eeg_control,v2p_sqrt_margin,5,0.6366148825798872,0.0054891045213099525,0.6527976412023094,0.6366148825798872,0.6345920008057881,0.6362508784572276,0.599980905047829,1.0,0.0
V2H-local-shuffle,ctx_smooth12_scale4_sqrt_raw_base0p05,False,shuffle_eeg_control,context_smooth_sqrt,5,0.6343746714936802,0.005893451792782897,0.6491189661767255,0.6343746714936802,0.6281299638016008,0.6284806577167688,0.5906678877934961,1.0,0.0
V2H-local-shuffle,margin_power0p75_base0p05,False,shuffle_eeg_control,global_power_margin,5,0.6342542358565535,0.005686446522222167,0.6479910741172857,0.6342542358565535,0.6312359484056593,0.6323023430126604,0.5987385460118835,1.0,0.0
V2H-local-shuffle,ctx_smooth16_scale4_sqrt_raw_base0p05,False,shuffle_eeg_control,context_smooth_sqrt,5,0.6338208657478102,0.005886392741735097,0.649407066083873,0.6338208657478102,0.6274581190300077,0.6279625990558529,0.5909304833095511,1.0,0.0
V2H-local-shuffle,v2n_eeg_base_0p05,False,shuffle_eeg_control,reference_raw_margin,5,0.6333373859923992,0.006639291380541284,0.6467713157561584,0.6333373859923992,0.6299484453908378,0.6310281375737725,0.5983469988405159,1.0,0.0
V2H-local-shuffle,ctx_le8_sqrt_else_raw_base0p05,False,shuffle_eeg_control,context_threshold_sqrt,5,0.6332464816370805,0.0066763571732686286,0.648359889219732,0.6332464816370805,0.6262069048867042,0.6271287203390379,0.5903796945635663,1.0,0.0
V2H-local-shuffle,margin_power1p25_base0p05,False,shuffle_eeg_control,global_power_margin,5,0.6331117480210792,0.007486421513765211,0.6470206489962498,0.6331117480210792,0.6298787824447334,0.6310627178524004,0.5981187942912525,1.0,0.0
V2H-local-zero,margin_power0p25_base0p05,False,zero_eeg_control,global_power_margin,5,0.6025196962937296,0.005182762120781712,0.6074165165161836,0.6025196962937296,0.589838483863703,0.5939931344742853,0.6109207922730912,0.0,0.0
V2H-local-zero,ctx_le16_sqrt_else_raw_base0p05,False,zero_eeg_control,context_threshold_sqrt,5,0.5974382586040299,0.005097686236647548,0.6004810440045464,0.5974382586040299,0.5852861375201602,0.5896411408256645,0.606827771189345,0.0,0.0
V2H-local-zero,ctx_le20_sqrt_else_raw_base0p05,False,zero_eeg_control,context_threshold_sqrt,5,0.5974382586040299,0.005097686236647548,0.6004810440045464,0.5974382586040299,0.5852861375201602,0.5896411408256645,0.606827771189345,0.0,0.0
V2H-local-zero,sqrt_margin_eeg_base0p05,False,zero_eeg_control,v2p_sqrt_margin,5,0.5974382586040299,0.005097686236647548,0.6004810440045464,0.5974382586040299,0.5852861375201602,0.5896411408256645,0.606827771189345,0.0,0.0
V2H-local-zero,ctx_le12_sqrt_else_raw_base0p05,False,zero_eeg_control,context_threshold_sqrt,5,0.5968773705893293,0.0051197078246774125,0.5998955322940347,0.5968773705893293,0.5858078161625743,0.5900858488953727,0.5983690085525983,0.0,0.0
V2H-local-zero,margin_power1p25_base0p05,False,zero_eeg_control,global_power_margin,5,0.5956781863006385,0.0052437933541813015,0.5971021868724565,0.5956781863006385,0.5822957555283954,0.5868119269031967,0.6051027998516332,0.0,0.0
V2H-local-zero,ctx_smooth16_scale4_sqrt_raw_base0p05,False,zero_eeg_control,context_smooth_sqrt,5,0.5955684407873644,0.004664017389117862,0.5974285344685364,0.5955684407873644,0.5843715078213728,0.5883465262691453,0.6044868356388183,0.0,0.0
V2H-local-zero,ctx_le8_sqrt_else_raw_base0p05,False,zero_eeg_control,context_threshold_sqrt,5,0.5954641737772299,0.005326120936330777,0.5980255543352148,0.5954641737772299,0.583483701447135,0.5872396329053076,0.6059832397370166,0.0,0.0
V2H-local-zero,margin_power0p75_base0p05,False,zero_eeg_control,global_power_margin,5,0.5954542855362228,0.0043016939332682766,0.5972270803113751,0.5954542855362228,0.582586083150687,0.5869452544075561,0.6057972603965308,0.0,0.0
V2H-local-zero,v2n_eeg_base_0p05,False,zero_eeg_control,reference_raw_margin,5,0.5952295828889617,0.005233074306209543,0.5965701089091812,0.5952295828889617,0.5817049435825561,0.5861115479538098,0.6052358115553401,0.0,0.0
V2H-local-zero,ctx_smooth12_scale4_sqrt_raw_base0p05,False,zero_eeg_control,context_smooth_sqrt,5,0.5952259750339397,0.004606989080053523,0.5969835383479082,0.5952259750339397,0.5829974172262424,0.5865582618072698,0.6042439832579928,0.0,0.0
