phase,protocol_id,fold,seed,reference_variant,selected_variant,reference_protocol_gauc,selected_protocol_gauc,delta_protocol_gauc,reference_macro_user_auc,selected_macro_user_auc,delta_macro_user_auc,reference_event_transfer_gauc,selected_event_transfer_gauc,delta_event_transfer_gauc,selected_beats_v2q_protocol
V2-R,V2M-two_stage_user_local_reranker-v1,1,2026,margin_power0p25_base0p05,margin_power0p25_base0p05,0.7107023411371237,0.7107023411371237,0.0,0.7107907965050824,0.7107907965050824,0.0,0.7028853567659538,0.7028853567659538,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,1,2027,margin_power0p25_base0p05,margin_power0p25_base0p05,0.725752508361204,0.725752508361204,0.0,0.7257447909233623,0.7257447909233623,0.0,0.7124315651181322,0.7124315651181322,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,1,2028,margin_power0p25_base0p05,margin_power0p25_base0p05,0.7307692307692307,0.7307692307692307,0.0,0.7563990242561672,0.7563990242561672,0.0,0.7207250543817708,0.7207250543817708,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,1,2029,margin_power0p25_base0p05,margin_power0p25_base0p05,0.7090301003344481,0.7090301003344481,0.0,0.7133018238375382,0.7133018238375382,0.0,0.7068192586849305,0.7068192586849305,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,1,2030,margin_power0p25_base0p05,margin_power0p25_base0p05,0.7240802675585284,0.7240802675585284,0.0,0.7294994060172632,0.7294994060172632,0.0,0.7253491201998665,0.7253491201998665,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,2,2026,margin_power0p25_base0p05,margin_power0p25_base0p05,0.6472602739726028,0.6472602739726028,0.0,0.640434102934103,0.640434102934103,0.0,0.6182405528499278,0.6182405528499278,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,2,2027,margin_power0p25_base0p05,margin_power0p25_base0p05,0.6455479452054794,0.6455479452054794,0.0,0.6332697395197395,0.6332697395197395,0.0,0.6149853445165945,0.6149853445165945,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,2,2028,margin_power0p25_base0p05,margin_power0p25_base0p05,0.6695205479452054,0.6695205479452054,0.0,0.6531135531135531,0.6531135531135531,0.0,0.6303597357503608,0.6303597357503608,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,2,2029,margin_power0p25_base0p05,margin_power0p25_base0p05,0.672945205479452,0.672945205479452,0.0,0.6505529193029194,0.6505529193029194,0.0,0.6189495400432901,0.6189495400432901,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,2,2030,margin_power0p25_base0p05,margin_power0p25_base0p05,0.648972602739726,0.648972602739726,0.0,0.6233729233729234,0.6233729233729234,0.0,0.6112286931818182,0.6112286931818182,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,3,2026,margin_power0p25_base0p05,margin_power0p25_base0p05,0.6634304207119741,0.6634304207119741,0.0,0.6866898538815462,0.6866898538815462,0.0,0.6821613700984331,0.6821613700984331,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,3,2027,margin_power0p25_base0p05,margin_power0p25_base0p05,0.6585760517799353,0.6585760517799353,0.0,0.6846488636468641,0.6846488636468641,0.0,0.6766964678677966,0.6766964678677966,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,3,2028,margin_power0p25_base0p05,margin_power0p25_base0p05,0.656957928802589,0.656957928802589,0.0,0.672728658790804,0.672728658790804,0.0,0.6749415696968144,0.6749415696968144,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,3,2029,margin_power0p25_base0p05,margin_power0p25_base0p05,0.6828478964401294,0.6828478964401294,0.0,0.7021842873281212,0.7021842873281212,0.0,0.7009259000517741,0.7009259000517741,0.0,False
V2-R,V2M-two_stage_user_local_reranker-v1,3,2030,margin_power0p25_base0p05,margin_power0p25_base0p05,0.6472491909385113,0.6472491909385113,0.0,0.6744879105147423,0.6744879105147423,0.0,0.6727314546370491,0.6727314546370491,0.0,False
