phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,feature_set,pair_weighting,oof_meta,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.6019417475728155,0.6451868460403355,0.6019417475728155,0.6272468239432525,618,28,24,0.6304789227866151,0.6410218677927011,0.6147000659195782,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.6454849498327759,0.6380658561015704,0.6454849498327759,0.6454893149178863,598,35,28,0.6176679373694298,0.6156566730227445,0.6425893786879555,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.5753424657534246,0.5670417545417545,0.5753424657534246,0.5561848645181978,584,30,26,0.5593995761183261,0.5568713693713693,0.5789793655902442,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.6132686084142395,0.6694362516711587,0.6132686084142395,0.6491712454212454,618,28,24,0.6415097722790031,0.6626265940849274,0.6173368490441661,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.6404682274247492,0.6327087132444275,0.6404682274247492,0.6412036006321721,598,35,28,0.6157536990372812,0.6134741333402048,0.6442901770218674,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.5873287671232876,0.5857739482739482,0.5873287671232876,0.5745887445887445,584,30,26,0.5741220238095237,0.5729111166611166,0.5846296892321997,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.6229773462783171,0.6756747487978139,0.6229773462783171,0.6541977863406435,618,28,24,0.6448523892579837,0.6652391281557949,0.6233794770380137,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_equal_C0p25,oof_pair_meta,score_only,equal,True,0.6270903010033445,0.6280851489780062,0.6270903010033445,0.614672026386312,598,35,28,0.5991949344188151,0.5952088486909917,0.5749392572023604,28
