candidate,score_variant,uses_eeg,control_type,variant_family,feature_set,pair_weighting,oof_meta,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,oof_pair_score_equal_C0p25,False,H2_E0_non_eeg,oof_pair_meta,score_only,equal,True,5,0.60956212674454,0.006424013824042048,0.6223315200371874,0.60956212674454,0.6051477198354775,0.6086192892938924,0.570873835769811,0.2,0.0
V2H-local-H2_E0,margin_power0p25_base0p05,False,H2_E0_non_eeg,baseline_score_transform,none,none,False,5,0.605343190042676,0.007921038701559233,0.615442451202685,0.605343190042676,0.5973670201146637,0.6017188947149265,0.6211391444974227,0.2,0.0
V2H-local-H2_E0,oof_pair_context_sqrt_pair_C0p25,False,H2_E0_non_eeg,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,5,0.6041237918813278,0.005779316445370494,0.6159628243765825,0.6041237918813278,0.5946522529419702,0.5976551272067145,0.6095293881022579,0.0,0.0
V2H-local-H2_E0,oof_pair_score_context_balanced_C0p25,False,H2_E0_non_eeg,oof_pair_meta,score_only,context_balanced,True,5,0.6023577456125148,0.008096377526388853,0.6131749195101801,0.6023577456125148,0.5991718808832318,0.6029969246288692,0.5996178539498471,0.0,0.0
V2H-local-H2_E0,oof_pair_context_balanced_C0p10,False,H2_E0_non_eeg,oof_pair_meta,context_interactions,context_balanced,True,5,0.6023065672005747,0.00707439397542886,0.6123837343760666,0.6023065672005747,0.5986052356375147,0.6017332105724963,0.6060546147261524,0.0,0.0
V2H-local-H2_E0,oof_pair_context_balanced_C0p25,False,H2_E0_non_eeg,oof_pair_meta,context_interactions,context_balanced,True,5,0.6009832059785222,0.007496745468503806,0.6107463091813059,0.6009832059785222,0.5933968304169419,0.596457314510886,0.6118103530164426,0.0,0.0
V2H-local-H2_E0,sqrt_margin_eeg_base0p05,False,H2_E0_non_eeg,baseline_score_transform,none,none,False,5,0.5997888292802048,0.007925524547103449,0.6082950986998285,0.5997888292802048,0.589573342538671,0.5936858852493773,0.6173987176328701,0.0,0.0
V2H-local-H2_E0,v2n_eeg_base_0p05,False,H2_E0_non_eeg,baseline_score_transform,none,none,False,5,0.5978013817985889,0.007405435905639908,0.6045729800784256,0.5978013817985889,0.5878096276804854,0.5911075511422734,0.6159457941276025,0.0,0.0
V2H-local-H2_E0,oof_pair_context_equal_C0p25,False,H2_E0_non_eeg,oof_pair_meta,context_interactions,equal,True,5,0.5927796936476398,0.004300028741085106,0.5991268989883971,0.5927796936476398,0.4993081023454158,0.499000850340136,0.5034211447385046,0.0,0.0
V2H-local-real,margin_power0p25_base0p05,True,real_eeg,baseline_score_transform,none,none,False,5,0.6795761674784092,0.0062223687984933815,0.6838145769296486,0.6795761674784092,0.6712953989229675,0.6746110625852689,0.5925538003621958,1.0,0.0
V2H-local-real,sqrt_margin_eeg_base0p05,True,real_eeg,baseline_score_transform,none,none,False,5,0.6772939977796371,0.006342953266409711,0.6871659513421072,0.6772939977796371,0.6701697077618007,0.6736682181354801,0.5891799240033528,1.0,0.0
V2H-local-real,v2n_eeg_base_0p05,True,real_eeg,baseline_score_transform,none,none,False,5,0.6760938781668874,0.007303294553826833,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0
V2H-local-real,oof_pair_context_equal_C0p25,True,real_eeg,oof_pair_meta,context_interactions,equal,True,5,0.6609816286539603,0.011417882549169523,0.6599050454287505,0.6609816286539603,0.5475827671385571,0.5483700190351977,0.5468276723112908,1.0,0.0
V2H-local-real,oof_pair_score_context_balanced_C0p25,True,real_eeg,oof_pair_meta,score_only,context_balanced,True,5,0.6607941140958945,0.008695372212300774,0.6626198133985233,0.6607941140958945,0.6500714612892573,0.6509149321431067,0.6140969161395483,1.0,0.0
