score_variant,variant_family,real_candidate,control_candidate,control_type,mean_real_protocol_gauc,mean_control_protocol_gauc,delta_protocol_gauc,delta_protocol_macro_user_auc,delta_event_transfer_gauc,real_beats_control
margin_power0p15_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.08074456620040638,True
margin_power0p15_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.03933458451909344,True
margin_power0p15_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08752021754547745,True
margin_power0p15_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6803708444985326,0.6041314449820149,0.0762393995165177,0.07134536545020331,0.07585856880065311,True
margin_power0p15_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6803708444985326,0.6408657920435331,0.03950505245499947,0.02756505968294476,0.032313386103168695,True
margin_power0p15_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6803708444985326,0.6011722822930083,0.07919856220552424,0.07975750960624772,0.08253925437901055,True
margin_power0p15_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.677308830758931,0.6104139376085229,0.06689489315040809,0.05816323244208821,0.0681507033188079,True
margin_power0p15_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.677308830758931,0.6396150290192629,0.037693801739668076,0.01911576388207159,0.031094120247888046,True
margin_power0p15_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.677308830758931,0.6089494833082094,0.06835934745072159,0.0632804547724568,0.07268237748672657,True
margin_power0p15_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6729389559826366,0.6162190578862546,0.056719898096382004,0.048246355148497067,0.0616297477225044,True
margin_power0p15_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6729389559826366,0.6408743841749792,0.03206457180765743,0.017123489407099846,0.02951573205406144,True
margin_power0p15_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6729389559826366,0.6144642911066522,0.058474664875984406,0.056410036413316655,0.06722535463187207,True
margin_power0p15_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6669643208838119,0.6213070428443657,0.04565727803944619,0.037059132879581735,0.05345138724043741,True
margin_power0p15_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6669643208838119,0.6416216240793978,0.025342696804414033,0.011497513905460943,0.027426642677762958,True
margin_power0p15_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6669643208838119,0.6181731932516901,0.04879112763212179,0.04618791180394344,0.060040304886285756,True
margin_power0p15_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6596374617227587,0.6237618014544004,0.03587566026835831,0.028093498594326416,0.04539689780619405,True
margin_power0p15_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6596374617227587,0.640040554514467,0.01959690720829177,0.00809263939465521,0.023513394995320347,True
margin_power0p15_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6596374617227587,0.6236367831000559,0.03600067862270284,0.03196168686858192,0.047900514996316534,True
margin_power0p1_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.08074456620040638,True
margin_power0p1_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.03933458451909344,True
margin_power0p1_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08752021754547745,True
margin_power0p1_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6795292653631237,0.6085836727558858,0.07094559260723798,0.06247310723563093,0.07234502114270835,True
margin_power0p1_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6795292653631237,0.6420800761939442,0.0374491891691795,0.020700091203538884,0.031325135656970815,True
margin_power0p1_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6795292653631237,0.6072569310231002,0.07227233434002356,0.0681668749525648,0.07683067655702791,True
margin_power0p1_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6719410900041707,0.6168761953182003,0.05506489468597042,0.04658342522862269,0.061600674656692056,True
margin_power0p1_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6719410900041707,0.6411738225505667,0.03076726745360403,0.016257633812077454,0.03002812457196613,True
margin_power0p1_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6719410900041707,0.6144382342386528,0.057502855765517835,0.055377453021460354,0.06781088425679438,True
margin_power0p1_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6628684565186008,0.6215433709395384,0.04132508557906245,0.033453960026612606,0.050515497239798646,True
margin_power0p1_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6628684565186008,0.6405987699982044,0.022269686520396403,0.00903829916242227,0.025372132933396796,True
margin_power0p1_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6628684565186008,0.6203135470656302,0.04255490945297058,0.038848635966061806,0.054306986284999526,True
margin_power0p1_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6592957978521796,0.6235361634830805,0.035759634369099125,0.02794989131976655,0.045463435676052155,True
margin_power0p1_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6592957978521796,0.640942171075688,0.01835362677649166,0.006961493424223364,0.022536011833511504,True
margin_power0p1_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6592957978521796,0.623407537273714,0.035888260578465614,0.031481029176927855,0.047669639365821914,True
margin_power0p1_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6509332569555368,0.6249022852005441,0.026030971754992693,0.022261910494692172,0.03722197649127579,True
margin_power0p1_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6509332569555368,0.637342787099635,0.013590469855901843,0.005666146748325218,0.018664544074231904,True
margin_power0p1_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6509332569555368,0.6256275715542674,0.02530568540126943,0.023161168130060972,0.03850606829890213,True
margin_power0p25_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.08074456620040638,True
margin_power0p25_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.03933458451909344,True
margin_power0p25_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08752021754547745,True
margin_power0p25_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6791401248387029,0.6003533251499273,0.07878679968877556,0.07911459032612733,0.07977736998069052,True
margin_power0p25_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6791401248387029,0.6380791243627131,0.04106100047598982,0.03425738038334791,0.03442826828259249,True
margin_power0p25_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6791401248387029,0.5967514564490631,0.08238866838963976,0.08804870098271977,0.08527193896142193,True
margin_power0p25_base0p05,reference_score_family,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6795761674784092,0.605343190042676,0.0742329774357332,0.0683721257269636,0.07392837880830383,True
margin_power0p25_base0p05,reference_score_family,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6795761674784092,0.6405259988210716,0.03905016865733757,0.024063959305669513,0.03139482077911815,True
margin_power0p25_base0p05,reference_score_family,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6795761674784092,0.6025196962937296,0.07705647118467962,0.07639806041346509,0.08145691505926456,True
margin_power0p25_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6789963048645401,0.6092389395397138,0.06975736532482635,0.06155279841401684,0.07105694979273058,True
margin_power0p25_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6789963048645401,0.6407505680271195,0.03824573683742061,0.020322704524893487,0.030804478962151105,True
margin_power0p25_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6789963048645401,0.6069395868136161,0.07205671805092395,0.06799355980748645,0.07602971483124432,True
margin_power0p25_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6769735807155504,0.6117010473010056,0.06527253341454475,0.05729661158420707,0.06640506200051133,True
margin_power0p25_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6769735807155504,0.6398486845834724,0.03712489613207792,0.0189072015950994,0.030000990731166466,True
margin_power0p25_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6769735807155504,0.609493267371859,0.06748031334369131,0.0625113173664299,0.0709843506973652,True
margin_power0p25_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6718189171601396,0.6187997306365556,0.05301918652358406,0.044322679188282255,0.05781021276927556,True
margin_power0p25_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6718189171601396,0.6412042891564336,0.030614628003706068,0.01682665592256205,0.028687051487931714,True
margin_power0p25_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6718189171601396,0.6169857678521238,0.05483314930801586,0.051734375933938925,0.06336643503601047,True
margin_power0p2_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.08074456620040638,True
margin_power0p2_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.03933458451909344,True
margin_power0p2_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08752021754547745,True
margin_power0p2_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6813695123598442,0.6014392895115355,0.07993022284830875,0.07717561950613017,0.07939067343891026,True
margin_power0p2_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6813695123598442,0.6386078085646425,0.04276170379520172,0.03258369360929514,0.0342938233595802,True
margin_power0p2_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6813695123598442,0.5993115508345043,0.08205796152533995,0.08545161747688423,0.08439279211094042,True
margin_power0p2_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6807833693599897,0.6073692551642613,0.07341411419572841,0.06477805198146958,0.07380806959216712,True
margin_power0p2_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6807833693599897,0.6401968957224629,0.040586473637526876,0.02340960333734088,0.033351382019615294,True
margin_power0p2_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6807833693599897,0.6054860351546428,0.0752973342053469,0.0719201349133487,0.0796793706963852,True
margin_power0p2_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6764296632106875,0.6117999692492139,0.06462969396147367,0.05617049079818137,0.06580437564240305,True
margin_power0p2_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6764296632106875,0.6399350457597103,0.03649461745097726,0.01848977556263076,0.030039349988466357,True
margin_power0p2_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6764296632106875,0.6098115469054018,0.06661811630528569,0.06140525285062792,0.07022105980996463,True
margin_power0p2_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6736105248346701,0.6154414848171824,0.05816904001748768,0.04926469236065212,0.06129924237047879,True
margin_power0p2_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6736105248346701,0.6412473165342708,0.03236320830039929,0.017501030583434773,0.028347689106145046,True
margin_power0p2_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6736105248346701,0.6140265112600414,0.059584013574628725,0.05718739827399033,0.06645872964918798,True
margin_power0p2_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6662010457936142,0.6218597798249637,0.04434126596865051,0.035540428319064565,0.05257007148598747,True
margin_power0p2_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6662010457936142,0.6412755504709512,0.02492549532266297,0.011083429897663755,0.027308037799363305,True
margin_power0p2_base0p15,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6662010457936142,0.6209876550074136,0.04521339078620057,0.041328084624708494,0.05663138333944817,True
margin_power0p35_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6756975219324226,0.596619301460949,0.07907822047147361,0.075420308392388,0.08074456620040638,True
margin_power0p35_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6756975219324226,0.6323242867109997,0.04337323522142289,0.03208979579952054,0.03933458451909344,True
margin_power0p35_base0p0,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6756975219324226,0.5937895273260175,0.08190799460640508,0.08284103680668786,0.08752021754547745,True
margin_power0p35_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6776391360640248,0.5988170201697381,0.07882211589428667,0.08055659796691295,0.0816795825391321,True
margin_power0p35_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6776391360640248,0.6363019481082707,0.04133718795575414,0.03557434665359349,0.036907333037504486,True
margin_power0p35_base0p025,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6776391360640248,0.5954246208132016,0.08221451525082324,0.09009932187903302,0.08753981697406354,True
margin_power0p35_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6794835259161863,0.6013430400942905,0.07814048582189581,0.07620935027051567,0.07789020331064156,True
margin_power0p35_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6794835259161863,0.6379757926766375,0.041507733239548816,0.03225061103563742,0.033940577862617616,True
margin_power0p35_base0p05,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6794835259161863,0.6000837788416502,0.07939974707453612,0.08418934155835844,0.08285813035500578,True
margin_power0p35_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6798332073796549,0.6059076859123985,0.0739255214672564,0.06828903955852306,0.07334918326177553,True
margin_power0p35_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6798332073796549,0.6393043655194035,0.04052884186025141,0.025647562059557094,0.03249960903233495,True
margin_power0p35_base0p075,fine_power_base_grid,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6798332073796549,0.6024100842216689,0.07742312315798605,0.0770794297085714,0.08119770509135038,True
margin_power0p35_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6785792368240023,0.6081449575852163,0.07043427923878609,0.06222871283783227,0.07098974877168218,True
margin_power0p35_base0p1,fine_power_base_grid,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6785792368240023,0.6397528354898669,0.038826401334135396,0.021272347880238685,0.03180318480236932,True
