phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,power,base_weight,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,reference_score_family,1.0,0.05,0.6521739130434783,0.6467654898012041,0.6521739130434783,0.6534258228543942,598,35,28,0.6290835863970191,0.6270960669621383,0.6426240888580353,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,reference_score_family,0.5,0.05,0.6454849498327759,0.6380658561015704,0.6454849498327759,0.6454893149178863,598,35,28,0.6176679373694298,0.6156566730227445,0.6425893786879555,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,reference_score_family,0.25,0.05,0.6404682274247492,0.6327087132444275,0.6404682274247492,0.6412036006321721,598,35,28,0.6157536990372812,0.6134741333402048,0.6442901770218674,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p0,fine_power_base_grid,0.1,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p025,fine_power_base_grid,0.1,0.025,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464579,598,35,28,0.6150571816243458,0.6128788952449666,0.6445678583825061,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p05,fine_power_base_grid,0.1,0.05,0.6521739130434783,0.6602408372051229,0.6521739130434783,0.666800728372157,598,35,28,0.618973315241972,0.6157483207929637,0.6457132939951407,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p075,fine_power_base_grid,0.1,0.075,0.6505016722408027,0.6552463772999488,0.6505016722408027,0.6431623033051603,598,35,28,0.6161837996166354,0.6125927214320072,0.6473446719888928,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p1,fine_power_base_grid,0.1,0.1,0.6505016722408027,0.653549347477919,0.6505016722408027,0.6412094413522984,598,35,28,0.6125461437401736,0.607589994331066,0.6497049635543215,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p15,fine_power_base_grid,0.1,0.15,0.6505016722408027,0.6489197178482894,0.6505016722408027,0.6386962138390709,598,35,28,0.613823092330555,0.608238142479214,0.6518569940992711,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p0,fine_power_base_grid,0.15,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p025,fine_power_base_grid,0.15,0.025,0.6404682274247492,0.6327087132444275,0.6404682274247492,0.6412036006321721,598,35,28,0.6139294867653076,0.6114900063560779,0.6440472058313085,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p05,fine_power_base_grid,0.15,0.05,0.6471571906354515,0.6378343746200889,0.6471571906354515,0.6453041297327011,598,35,28,0.6179332773362624,0.615581087232873,0.6448802499132246,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p075,fine_power_base_grid,0.15,0.075,0.6538461538461539,0.6611336943479801,0.6538461538461539,0.6675150140864426,598,35,28,0.6199434644957034,0.6166411779358209,0.64585213467546,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p1,fine_power_base_grid,0.15,0.1,0.6538461538461539,0.6609578285471144,0.6538461538461539,0.6477314643028927,598,35,28,0.6213626671835627,0.6183041726791726,0.6473446719888928,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p15,fine_power_base_grid,0.15,0.15,0.6521739130434783,0.6544422046207761,0.6521739130434783,0.6419237270665841,598,35,28,0.6135909198595766,0.608482851473923,0.6499132245748005,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p0,fine_power_base_grid,0.2,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p025,fine_power_base_grid,0.2,0.025,0.6438127090301003,0.6365777608634752,0.6438127090301003,0.6442988387274102,598,35,28,0.6168932394305529,0.6149338839070982,0.6433182922596321,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p05,fine_power_base_grid,0.2,0.05,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464579,598,35,28,0.6150571816243458,0.6128788952449666,0.6448802499132245,28
