phase,protocol_id,iteration,selected_variant,reference_variant,weighted_delta_context_auc
V2-T,V2M-two_stage_user_local_reranker-v1,0,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014875843918068438
V2-T,V2M-two_stage_user_local_reranker-v1,1,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014971783945640943
V2-T,V2M-two_stage_user_local_reranker-v1,2,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0035275375512061917
V2-T,V2M-two_stage_user_local_reranker-v1,3,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0019935762542917295
V2-T,V2M-two_stage_user_local_reranker-v1,4,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0031362007168458782
V2-T,V2M-two_stage_user_local_reranker-v1,5,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0007932011331444748
V2-T,V2M-two_stage_user_local_reranker-v1,6,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0030250648228176335
V2-T,V2M-two_stage_user_local_reranker-v1,7,margin_power0p2_base0p025,margin_power0p25_base0p05,0.004149855907780985
V2-T,V2M-two_stage_user_local_reranker-v1,8,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0025993718184772084
V2-T,V2M-two_stage_user_local_reranker-v1,9,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001134944955169675
V2-T,V2M-two_stage_user_local_reranker-v1,10,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0010903936321011933
V2-T,V2M-two_stage_user_local_reranker-v1,11,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00010467915837956933
V2-T,V2M-two_stage_user_local_reranker-v1,12,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0013186813186813208
V2-T,V2M-two_stage_user_local_reranker-v1,13,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002637573432442155
V2-T,V2M-two_stage_user_local_reranker-v1,14,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0031677791605385273
V2-T,V2M-two_stage_user_local_reranker-v1,15,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0006935614379840541
V2-T,V2M-two_stage_user_local_reranker-v1,16,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012021857923497313
V2-T,V2M-two_stage_user_local_reranker-v1,17,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001274623406720743
V2-T,V2M-two_stage_user_local_reranker-v1,18,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00192984447723919
V2-T,V2M-two_stage_user_local_reranker-v1,19,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014882655981682876
V2-T,V2M-two_stage_user_local_reranker-v1,20,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0033741037536904298
V2-T,V2M-two_stage_user_local_reranker-v1,21,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0011481056257175689
V2-T,V2M-two_stage_user_local_reranker-v1,22,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003771361225692396
V2-T,V2M-two_stage_user_local_reranker-v1,23,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0008341277407054376
V2-T,V2M-two_stage_user_local_reranker-v1,24,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.00023274758524380174
V2-T,V2M-two_stage_user_local_reranker-v1,25,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0017941242431038346
V2-T,V2M-two_stage_user_local_reranker-v1,26,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0008845643520566163
V2-T,V2M-two_stage_user_local_reranker-v1,27,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0007408975444538543
V2-T,V2M-two_stage_user_local_reranker-v1,28,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0018933066042989212
V2-T,V2M-two_stage_user_local_reranker-v1,29,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.00011212019284673538
V2-T,V2M-two_stage_user_local_reranker-v1,30,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0001071696495552505
V2-T,V2M-two_stage_user_local_reranker-v1,31,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00022031284423881952
V2-T,V2M-two_stage_user_local_reranker-v1,32,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0042026351658337145
V2-T,V2M-two_stage_user_local_reranker-v1,33,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0011492931846914171
V2-T,V2M-two_stage_user_local_reranker-v1,34,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0033237314424994484
V2-T,V2M-two_stage_user_local_reranker-v1,35,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0029804614195827386
V2-T,V2M-two_stage_user_local_reranker-v1,36,margin_power0p2_base0p025,margin_power0p25_base0p05,0.000974131399502114
V2-T,V2M-two_stage_user_local_reranker-v1,37,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0013890496585252936
V2-T,V2M-two_stage_user_local_reranker-v1,38,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0021777003484320582
V2-T,V2M-two_stage_user_local_reranker-v1,39,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003549532107131335
V2-T,V2M-two_stage_user_local_reranker-v1,40,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0029395138496325643
V2-T,V2M-two_stage_user_local_reranker-v1,41,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0025666778261354793
V2-T,V2M-two_stage_user_local_reranker-v1,42,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0016047684548372335
V2-T,V2M-two_stage_user_local_reranker-v1,43,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001830454181443771
V2-T,V2M-two_stage_user_local_reranker-v1,44,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0022980958634274476
V2-T,V2M-two_stage_user_local_reranker-v1,45,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003610949330227144
V2-T,V2M-two_stage_user_local_reranker-v1,46,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003404348781023502
V2-T,V2M-two_stage_user_local_reranker-v1,47,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012584372497425947
V2-T,V2M-two_stage_user_local_reranker-v1,48,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0018755861206627101
V2-T,V2M-two_stage_user_local_reranker-v1,49,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001638193306810205
V2-T,V2M-two_stage_user_local_reranker-v1,50,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0015306122448979634
V2-T,V2M-two_stage_user_local_reranker-v1,51,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0020482476103777913
V2-T,V2M-two_stage_user_local_reranker-v1,52,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0020975932877014825
V2-T,V2M-two_stage_user_local_reranker-v1,53,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0032261653131605357
V2-T,V2M-two_stage_user_local_reranker-v1,54,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0022392457277548633
V2-T,V2M-two_stage_user_local_reranker-v1,55,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001143379830779785
V2-T,V2M-two_stage_user_local_reranker-v1,56,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002925560732473727
V2-T,V2M-two_stage_user_local_reranker-v1,57,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0039010254123941135
V2-T,V2M-two_stage_user_local_reranker-v1,58,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001944857567784008
V2-T,V2M-two_stage_user_local_reranker-v1,59,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012197826569084098
V2-T,V2M-two_stage_user_local_reranker-v1,60,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0007071302298173225
V2-T,V2M-two_stage_user_local_reranker-v1,61,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.00035431675918270946
V2-T,V2M-two_stage_user_local_reranker-v1,62,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0004519774011299412
V2-T,V2M-two_stage_user_local_reranker-v1,63,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002121340687314385
V2-T,V2M-two_stage_user_local_reranker-v1,64,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002769763416041548
V2-T,V2M-two_stage_user_local_reranker-v1,65,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0018214936247723178
V2-T,V2M-two_stage_user_local_reranker-v1,66,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0013717421124828577
V2-T,V2M-two_stage_user_local_reranker-v1,67,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0006762087230925302
V2-T,V2M-two_stage_user_local_reranker-v1,68,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014718250630782158
V2-T,V2M-two_stage_user_local_reranker-v1,69,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0009839291571006894
V2-T,V2M-two_stage_user_local_reranker-v1,70,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0006142506142506154
V2-T,V2M-two_stage_user_local_reranker-v1,71,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003770566727605121
V2-T,V2M-two_stage_user_local_reranker-v1,72,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0017401392111368926
V2-T,V2M-two_stage_user_local_reranker-v1,73,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0010006671114076008
V2-T,V2M-two_stage_user_local_reranker-v1,74,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012623606143488371
V2-T,V2M-two_stage_user_local_reranker-v1,75,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00160978750804894
V2-T,V2M-two_stage_user_local_reranker-v1,76,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0005206164098292412
V2-T,V2M-two_stage_user_local_reranker-v1,77,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0009838216003497991
V2-T,V2M-two_stage_user_local_reranker-v1,78,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0014414014857523027
V2-T,V2M-two_stage_user_local_reranker-v1,79,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0025535694459864564
V2-T,V2M-two_stage_user_local_reranker-v1,80,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003949533735600663
V2-T,V2M-two_stage_user_local_reranker-v1,81,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0007556946993414681
V2-T,V2M-two_stage_user_local_reranker-v1,82,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0008168028004667486
V2-T,V2M-two_stage_user_local_reranker-v1,83,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0023268698060941867
V2-T,V2M-two_stage_user_local_reranker-v1,84,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002538656819755367
V2-T,V2M-two_stage_user_local_reranker-v1,85,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003184363676292964
V2-T,V2M-two_stage_user_local_reranker-v1,86,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0024713547517411835
V2-T,V2M-two_stage_user_local_reranker-v1,87,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012700611938575245
V2-T,V2M-two_stage_user_local_reranker-v1,88,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0013705851344227755
V2-T,V2M-two_stage_user_local_reranker-v1,89,margin_power0p2_base0p025,margin_power0p25_base0p05,0.005424341733529219
