phase,protocol_id,split_version,seed,fold,user_id,session_id,event_count,positive_count,negative_count,pair_count,reference_variant,selected_variant,reference_context_auc,selected_context_auc,delta_context_auc,weighted_delta_pairs,history_count_mean,eeg_score_std,base_logit_std,abs_contribution_share,signed_contribution_share
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,2,15,5,14,6,8,48,margin_power0p25_base0p05,margin_power0p2_base0p025,0.75,0.7916666666666667,0.04166666666666674,2.0000000000000036,98.5,0.6869097305602303,0.29031424080263923,0.019230769230769256,0.12500000000000006
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2029,3,4,5,15,10,5,50,margin_power0p25_base0p05,margin_power0p2_base0p025,0.76,0.8,0.040000000000000036,2.0000000000000018,110.0,0.30848568892114214,0.20754851682110453,0.01923076923076924,0.12499999999999994
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,3,4,5,15,10,5,50,margin_power0p25_base0p05,margin_power0p2_base0p025,0.6,0.64,0.040000000000000036,2.0000000000000018,110.0,0.2899538654611622,0.20754851682110453,0.01923076923076924,0.12499999999999994
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,3,4,5,15,10,5,50,margin_power0p25_base0p05,margin_power0p2_base0p025,0.62,0.66,0.040000000000000036,2.0000000000000018,110.0,0.2935044609933315,0.20754851682110453,0.01923076923076924,0.12499999999999994
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,3,10,4,12,7,5,35,margin_power0p25_base0p05,margin_power0p2_base0p025,0.6,0.6571428571428571,0.05714285714285716,2.000000000000001,88.5,0.40391774361900534,0.2086334482435481,0.019230769230769232,0.12499999999999989
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,3,8,5,8,2,6,12,margin_power0p25_base0p05,margin_power0p2_base0p025,0.75,0.9166666666666667,0.16666666666666674,2.000000000000001,99.5,0.5473110921191932,0.2616320624313675,0.019230769230769232,0.12499999999999989
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2028,3,3,4,11,9,2,18,margin_power0p25_base0p05,margin_power0p2_base0p025,0.4444444444444444,0.5555555555555556,0.11111111111111116,2.000000000000001,83.0,0.30892723699976077,0.18003674039375328,0.019230769230769232,0.12499999999999989
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2030,3,17,5,14,5,9,45,margin_power0p25_base0p05,margin_power0p2_base0p025,0.33333333333333337,0.3777777777777778,0.04444444444444445,2.0000000000000004,101.5,7.938276794561031,3.7129782167947214,0.01923076923076923,0.12499999999999986
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,1,2,3,10,1,9,9,margin_power0p25_base0p05,margin_power0p2_base0p025,0.7777777777777778,1.0,0.2222222222222222,2.0,75.5,1.0380021634882795,0.5356532724080472,0.01923076923076922,0.12499999999999983
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,29,4,6,2,4,8,margin_power0p25_base0p05,margin_power0p2_base0p025,0.5,0.75,0.25,2.0,51.5,0.7106460194801087,0.25963242668161013,0.01923076923076922,0.12499999999999983
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2027,2,1,4,11,6,5,30,margin_power0p25_base0p05,margin_power0p2_base0p025,0.6666666666666666,0.7333333333333333,0.06666666666666665,1.9999999999999996,70.0,1.3859022292208398,0.4987413356422464,0.019230769230769218,0.1249999999999998
