phase,protocol_id,split_version,score_variant,variant_family,power,base_weight,mean_protocol_gauc,mean_protocol_macro_user_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,fold_seed_std_protocol_gauc,min_fold_mean_protocol_gauc,max_fold_mean_protocol_gauc,min_seed_mean_protocol_gauc,max_seed_mean_protocol_gauc,protocol_gap_to_top,within_tight_top_band,within_near_top_band,beats_all_controls,delta_protocol_gauc_vs_v2s_selected,fold_seed_win_rate_vs_v2s_selected,fold_mean_min_delta_vs_v2s_selected,seed_mean_min_delta_vs_v2s_selected,delta_protocol_gauc_vs_v2q_reference,fold_seed_win_rate_vs_v2q_reference,fold_mean_min_delta_vs_v2q_reference,seed_mean_min_delta_vs_v2q_reference,stability_priority_score
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p025,fine_power_base_grid,0.2,0.025,0.6813695123598442,0.6876784697797247,0.6716831716777639,0.6749233978103025,0.5907621272844835,0.031004836426457662,0.659931506849315,0.7210702341137123,0.6734567363076588,0.6896685031142956,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0017933448814347812,0.6666666666666666,0.0010033444816053504,-0.003168765474547327,0.6736183032532298
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p05,fine_power_base_grid,0.2,0.05,0.6807833693599897,0.682727164806407,0.6723193203752318,0.6754717246671613,0.5942397891526279,0.028929588169220633,0.6585616438356163,0.7190635451505016,0.6733030688661931,0.6877530657006709,0.0005861429998544887,True,True,True,-0.0005861429998543628,0.4,-0.002006688963210701,-0.005348978673079337,0.0012072018815804182,0.4666666666666667,-0.0010033444816053504,-0.0005754528760016179,0.6739509723176845
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p025,fine_power_base_grid,0.15,0.025,0.6803708444985326,0.6854749935516882,0.6717720837675485,0.6750871064928605,0.5922548129627155,0.030750857183987332,0.6582191780821918,0.7214046822742475,0.6738110412620495,0.6877530657006709,0.0009986678613116418,True,True,True,-0.0009986678613114937,0.26666666666666666,-0.0017123287671233056,-0.004841006277222948,0.0007946770201232874,0.4666666666666667,-0.0003236245954692407,-0.0005213350506723113,0.6729497968692024
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p1,fine_power_base_grid,0.4,0.1,0.6800400041930195,0.6847810246892142,0.6715163154031047,0.6747902877545735,0.5927859060808902,0.030853537260883666,0.6582191780821918,0.7207357859531772,0.6737529140224919,0.6883372046111945,0.0013295081668247555,False,True,True,-0.0013295081668246518,0.26666666666666666,-0.001941747572815533,-0.004899133516780396,0.0004638367146101293,0.4,-0.0006472491909384814,-4.476458474156342e-05,0.6725932865444652
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p075,fine_power_base_grid,0.35,0.075,0.6798332073796549,0.6844206111762057,0.6709487732267795,0.674297260462935,0.5923242698723299,0.03070006501604574,0.6589041095890411,0.720401337792642,0.6748764272587978,0.6877978302854125,0.001536304980189307,False,True,True,-0.0015363049801891886,0.2,-0.002912621359223344,-0.0049666139969256244,0.0002570399012455926,0.3333333333333333,-0.0016181229773462925,-0.0010473467216384942,0.6723581911256434
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p05,reference_score_family,0.25,0.05,0.6795761674784092,0.6838145769296486,0.6712953989229675,0.6746110625852689,0.5925538003621958,0.030684289681814855,0.6568493150684931,0.720066889632107,0.6734340204122553,0.6882744007513432,0.0017933448814350106,False,True,True,-0.0017933448814347812,0.13333333333333333,-0.003082191780821941,-0.004854368932038833,0.0,0.0,0.0,0.0,0.6720384283912888
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p025,fine_power_base_grid,0.1,0.025,0.6795292653631237,0.6812291500896424,0.6716088161834903,0.6747678908393194,0.5950044990295857,0.027556383219970858,0.6568493150684931,0.7157190635451505,0.6710827677032133,0.6854786467123618,0.0018402469967204738,False,True,True,-0.0018402469967201778,0.3333333333333333,-0.005351170568561869,-0.007569279836059077,-4.6902115285396564e-05,0.4,-0.004347826086956519,-0.003452050049944052,0.6729735028914643
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p05,fine_power_base_grid,0.35,0.05,0.6794835259161863,0.6867124755116472,0.6703892044595896,0.6736042195605687,0.5905575976417099,0.031516290002711035,0.6578767123287672,0.7197324414715719,0.6706522962341556,0.6874615646061316,0.0018859864436578944,False,True,True,-0.0018859864436577315,0.13333333333333333,-0.002265372168284796,-0.0028044400735033705,-9.264156222295039e-05,0.4,-0.0009708737864077444,-0.005973205548050697,0.6717377867488419
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p05,fine_power_base_grid,0.3,0.05,0.6794007725949704,0.6858645702540411,0.6703127277540227,0.6735772843044668,0.5913781378780928,0.03090315238502671,0.6592233009708738,0.7197324414715719,0.6728679207768414,0.6861302661030307,0.0019687397648737726,False,True,True,-0.0019687397648736247,0.13333333333333333,-0.0038834951456310886,-0.00381169883069421,-0.0001753948834388434,0.4,-0.0025889967637540367,-0.0037575810053648664,0.6718083178320471
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p075,fine_power_base_grid,0.4,0.075,0.6791930404575471,0.6860071475841185,0.6701548574578594,0.6735079779494463,0.5914820497079225,0.030313281887225752,0.6585760517799353,0.7187290969899666,0.6728812834316572,0.6852860280278935,0.0021764719022970835,False,False,True,-0.002176471902296913,0.26666666666666666,-0.004530744336569592,-0.004382475086401956,-0.00038312702086213215,0.4666666666666667,-0.0032362459546925403,-0.0037442183505489446,0.6718813866524074
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p025,fine_power_base_grid,0.25,0.025,0.6791401248387029,0.6884305594486486,0.6705681252890132,0.6740136198677865,0.5898739341907976,0.031113990603111433,0.6571917808219178,0.7190635451505016,0.6712050332147536,0.6882563614762335,0.002229387521141324,False,False,True,-0.002229387521141176,0.13333333333333333,-0.002739726027397271,-0.00383842414032598,-0.0004360426397063947,0.4,-0.0010033444816053504,-0.005420468567452745,0.6714949605212583
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p075,fine_power_base_grid,0.3,0.075,0.679126762183887,0.6814939633573796,0.6703362406726796,0.6734807523825381,0.5933457178139216,0.03111847905266977,0.6554794520547945,0.7207357859531772,0.6734787849969969,0.6857358731841924,0.002242750175957209,False,False,True,-0.0022427501759570683,0.13333333333333333,-0.004452054794520555,-0.004854368932038833,-0.00044940529452228704,0.26666666666666666,-0.0013698630136986135,-0.003932629930102978,0.6714804757540529
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p075,fine_power_base_grid,0.25,0.075,0.6789963048645401,0.6807618052144134,0.6708716417621657,0.6739498289409004,0.5950490448431816,0.029446661384809246,0.6558219178082192,0.7180602006688963,0.6700354209815748,0.6871822894449631,0.0023732074953041193,False,False,True,-0.0023732074953039936,0.4,-0.0041095890410959065,-0.009573579213101127,-0.0005798626138692124,0.4,-0.002006688963210701,-0.005654311937813998,0.6720346395183378
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p15,fine_power_base_grid,0.5,0.15,0.6789378712044191,0.6826687881535494,0.6700716252207746,0.6734065231138644,0.5932222539748884,0.03121805394610425,0.6575342465753424,0.7197324414715719,0.6718426227445408,0.687209014754595,0.002431641155425157,False,False,True,-0.002431641155424957,0.13333333333333333,-0.0035598705501618034,-0.005456547117672257,-0.0006382962739901761,0.4,-0.0022653721682847515,-0.0015913976677144708,0.6712666910512263
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p1,fine_power_base_grid,0.35,0.1,0.6785792368240023,0.6809296354460121,0.6701434648233782,0.6733369854719061,0.5938644898402828,0.030345068071564632,0.6558219178082192,0.7193979933110367,0.6722109575598129,0.6843912120262757,0.0027902755358418796,False,False,True,-0.00279027553584185,0.26666666666666666,-0.004109589041095885,-0.006683619384342772,-0.000996930654407069,0.4,-0.0012944983818770294,-0.0038831887250675434,0.6712596364727779
