score_variant,variant_family,real_candidate,control_candidate,control_type,mean_real_protocol_gauc,mean_control_protocol_gauc,delta_protocol_gauc,delta_protocol_macro_user_auc,delta_event_transfer_gauc,real_beats_control
count_hist_std_rel_fallback0p05,count_history_context_std_fallback,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6790949599303219,0.6093794580794182,0.0697155018509037,0.060208703527008356,0.08241538742247667,True
count_hist_std_rel_fallback0p05,count_history_context_std_fallback,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6790949599303219,0.6368577591790381,0.04223720075128379,0.022644659133152167,0.05986228093774937,True
count_hist_std_rel_fallback0p05,count_history_context_std_fallback,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6790949599303219,0.6069145987108887,0.07218036121943316,0.06883663856831912,0.08635147992660919,True
count_std_rel_f0p75_count12_std1p0_base0p025,context_count_std_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6807222631689055,0.6024522553517216,0.07827000781718385,0.07503687699020545,0.09132523333382447,True
count_std_rel_f0p75_count12_std1p0_base0p025,context_count_std_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6807222631689055,0.6387514950975922,0.04197076807131328,0.029671108295222237,0.06166133223932335,True
count_std_rel_f0p75_count12_std1p0_base0p025,context_count_std_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6807222631689055,0.6002860324759339,0.08043623069297157,0.0818927120568893,0.09387465543733642,True
hist_pos_std_rel_fallback0p05,history_position_context_std_fallback,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.673735716168365,0.6165016839045532,0.05723403226381185,0.051492465515573294,0.06286467449898814,True
hist_pos_std_rel_fallback0p05,history_position_context_std_fallback,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.673735716168365,0.6350786035466005,0.03865711262176452,0.024771977605877682,0.046097284803757854,True
hist_pos_std_rel_fallback0p05,history_position_context_std_fallback,V2H-local-real,V2H-local-zero,zero_eeg_control,0.673735716168365,0.6167999744385944,0.05693574172977067,0.054928276145243315,0.06561929710759906,True
hist_pos_std_rel_fallback0p10,history_position_context_std_fallback,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.672964423485278,0.6179885081415697,0.05497591534370827,0.04651379667977684,0.060697042788974476,True
hist_pos_std_rel_fallback0p10,history_position_context_std_fallback,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.672964423485278,0.6365465866256617,0.036417836859616304,0.02261672556614258,0.044586098388378126,True
hist_pos_std_rel_fallback0p10,history_position_context_std_fallback,V2H-local-real,V2H-local-zero,zero_eeg_control,0.672964423485278,0.6158478083689288,0.057116615116349134,0.05417477922013458,0.0651650491787058,True
hist_rel_f0p70_cap100_base0p025,history_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6755497333177355,0.6068463954241723,0.0687033378935632,0.06338434837600038,0.06886385779882664,True
hist_rel_f0p70_cap100_base0p025,history_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6755497333177355,0.6331718805855341,0.042377852732201404,0.027438489554673096,0.03578879342146324,True
hist_rel_f0p70_cap100_base0p025,history_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6755497333177355,0.6059131248774008,0.0696366084403347,0.07023971517119365,0.07612278006373241,True
hist_rel_f0p80_cap90_base0p025,history_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6748314896947057,0.6024506911241676,0.07238079857053814,0.06713327139120473,0.07107944686835521,True
hist_rel_f0p80_cap90_base0p025,history_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6748314896947057,0.6320187965292831,0.04281269316542269,0.02830833608252792,0.0344372287380601,True
hist_rel_f0p80_cap90_base0p025,history_reliability,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6748314896947057,0.6019543985411613,0.07287709115354446,0.07355373616291072,0.07706358152916437,True
hist_std_rel_fallback0p05,history_context_std_fallback,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6784191147816341,0.6090442080360375,0.06937490674559654,0.06082827403289859,0.07814013895273186,True
hist_std_rel_fallback0p05,history_context_std_fallback,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6784191147816341,0.6377621817124353,0.04065693306919882,0.02173752156302433,0.04871171311833811,True
hist_std_rel_fallback0p05,history_context_std_fallback,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6784191147816341,0.6064625208854032,0.07195659389623088,0.06962888017818847,0.08374255340536907,True
margin_power0p2_base0p025,v2s_reference,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6813695123598442,0.6014392895115355,0.07993022284830875,0.07717561950613017,0.07939067343891026,True
margin_power0p2_base0p025,v2s_reference,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6813695123598442,0.6386078085646425,0.04276170379520172,0.03258369360929514,0.0342938233595802,True
margin_power0p2_base0p025,v2s_reference,V2H-local-real,V2H-local-zero,zero_eeg_control,0.6813695123598442,0.5993115508345043,0.08205796152533995,0.08545161747688423,0.08439279211094042,True
pos_rel_f0p80_cap20_base0p025,session_position_reliability,V2H-local-real,V2H-local-H2_E0,H2_E0_non_eeg,0.6704456192707695,0.6160766378092629,0.054368981461506594,0.049689353339346876,0.051624651926766796,True
pos_rel_f0p80_cap20_base0p025,session_position_reliability,V2H-local-real,V2H-local-shuffle,shuffle_eeg_control,0.6704456192707695,0.6284095094854216,0.042036109785347886,0.030396996677231503,0.03428851361966534,True
