phase,protocol_id,fold,seed,reference_variant,selected_variant,reference_protocol_gauc,selected_protocol_gauc,delta_protocol_gauc,reference_macro_user_auc,selected_macro_user_auc,delta_macro_user_auc,reference_event_transfer_gauc,selected_event_transfer_gauc,delta_event_transfer_gauc,selected_beats_reference_protocol
V2-U,V2M-two_stage_user_local_reranker-v1,1,2026,margin_power0p2_base0p025,margin_power0p2_base0p025,0.7107023411371237,0.7107023411371237,0.0,0.717100320314606,0.717100320314606,0.0,0.7023049255885077,0.7023049255885077,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,1,2027,margin_power0p2_base0p025,margin_power0p2_base0p025,0.7290969899665551,0.7290969899665551,0.0,0.7342876369662085,0.7342876369662085,0.0,0.7135406301824212,0.7135406301824212,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,1,2028,margin_power0p2_base0p025,margin_power0p2_base0p025,0.7324414715719063,0.7324414715719063,0.0,0.7629730983302414,0.7629730983302414,0.0,0.7242385475221296,0.7242385475221296,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,1,2029,margin_power0p2_base0p025,margin_power0p2_base0p025,0.7073578595317725,0.7073578595317725,0.0,0.7133733396233397,0.7133733396233397,0.0,0.7017423703990868,0.7017423703990868,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,1,2030,margin_power0p2_base0p025,margin_power0p2_base0p025,0.725752508361204,0.725752508361204,0.0,0.7473565488744062,0.7473565488744062,0.0,0.7262684413430681,0.7262684413430681,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,2,2026,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6472602739726028,0.6472602739726028,0.0,0.64011359011359,0.64011359011359,0.0,0.6177271599927849,0.6177271599927849,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,2,2027,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6472602739726028,0.6472602739726028,0.0,0.6323082010582011,0.6323082010582011,0.0,0.613833198051948,0.613833198051948,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,2,2028,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6763698630136986,0.6763698630136986,0.0,0.6605540293040294,0.6605540293040294,0.0,0.6387502254689756,0.6387502254689756,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,2,2029,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6763698630136986,0.6763698630136986,0.0,0.6565358252858253,0.6565358252858253,0.0,0.6225756448412698,0.6225756448412698,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,2,2030,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6523972602739726,0.6523972602739726,0.0,0.6324286824286823,0.6324286824286823,0.0,0.6159011994949495,0.6159011994949495,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,3,2026,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6779935275080906,0.6779935275080906,0.0,0.7017616679607134,0.7017616679607134,0.0,0.6931810322544589,0.6931810322544589,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,3,2027,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6440129449838188,0.6440129449838188,0.0,0.6697547127603887,0.6697547127603887,0.0,0.662227603398932,0.662227603398932,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,3,2028,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6601941747572816,0.6601941747572816,0.0,0.6723799103170557,0.6723799103170557,0.0,0.6744133585916803,0.6744133585916803,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,3,2029,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6828478964401294,0.6828478964401294,0.0,0.701375265863785,0.701375265863785,0.0,0.6970034336293077,0.6970034336293077,0.0,False
V2-U,V2M-two_stage_user_local_reranker-v1,3,2030,margin_power0p2_base0p025,margin_power0p2_base0p025,0.6504854368932039,0.6504854368932039,0.0,0.6728742174947993,0.6728742174947993,0.0,0.6715398044069374,0.6715398044069374,0.0,False
