phase,protocol_id,split_version,seed,fold,user_id,session_id,context_event_count,positive_count,negative_count,diagnostic_pair_count,mean_reliability,label_free_policy_weight,mean_history_count,mean_session_position,context_eeg_std,context_base_std
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,0,2,15,6,9,54,1.0,3.872983346207417,80.0,38.0,3.32342582920686,0.3302108748921972
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,15,4,15,7,8,56,1.0,3.872983346207417,83.0,17.0,1.6236013440160406,0.411500871842443
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,4,4,14,10,4,40,1.0,3.7416573867739413,80.5,7.5,1.3371226783269274,0.5297006997400051
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,17,4,14,4,10,40,1.0,3.7416573867739413,74.5,8.5,1.1791706332703933,0.37817430649613726
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,7,4,13,5,8,40,1.0,3.605551275463989,71.0,27.0,0.519233273334618,0.21088786144756838
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,13,3,13,3,10,30,1.0,3.605551275463989,75.0,22.0,2.4825386673707373,0.43463261543938553
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,18,5,13,5,8,40,1.0,3.605551275463989,73.0,9.0,0.726302713692247,0.2435736234931037
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,21,3,13,4,9,36,1.0,3.605551275463989,76.0,15.0,0.624319214840302,0.32409318198978193
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,26,3,12,1,11,11,1.0,3.4641016151377544,68.5,10.5,1.196885451439481,0.4433237385600309
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,1,4,11,4,7,28,1.0,3.3166247903554,59.0,8.0,1.2682365591071827,0.4057152827925604
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,19,4,11,3,8,24,1.0,3.3166247903554,59.0,8.0,1.8858793976595365,0.3207339295310335
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2026,1,20,4,11,1,10,10,1.0,3.3166247903554,65.0,6.0,0.8803124947046272,0.17911431751011359
