phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,power,base_weight,history_floor,history_cap,position_floor,position_cap,context_std_floor,context_std_ref,context_count_floor,context_count_ref,fallback_base_weight,mean_reliability,std_reliability,min_reliability,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p025,v2s_reference,0.2,0.025,,,,,,,,,0.0,1.0,0.0,1.0,0.6438127090301003,0.6365777608634752,0.6438127090301003,0.6442988387274102,598,35,28,0.6168932394305529,0.6149338839070982,0.6433182922596321,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_rel_f0p80_cap90_base0p025,history_reliability,0.2,0.025,0.8,90.0,,,,,,,0.0,0.9493346068131169,0.025042878757024368,0.8466666666666667,0.6421404682274248,0.6358395110180826,0.6421404682274248,0.643708238851096,598,35,28,0.617344446598178,0.616077720229506,0.6387712599791738,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_rel_f0p70_cap100_base0p025,history_reliability,0.2,0.025,0.7,100.0,,,,,,,0.0,0.9016017191977077,0.0338078863219829,0.7629999999999999,0.6438127090301003,0.6403037967323683,0.6438127090301003,0.6472796674225245,598,35,28,0.6169464366479291,0.6163753392771251,0.6370357514751822,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,pos_rel_f0p80_cap20_base0p025,session_position_reliability,0.2,0.025,,,0.8,20.0,,,,,0.0,0.9115759312320917,0.06521362817962645,0.81,0.6471571906354515,0.6628794353794353,0.6471571906354515,0.6794122174122175,598,35,28,0.6076208782925201,0.5989728707139422,0.6378687955570983,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,std_rel_f0p70_ref1p0_base0p025,context_std_reliability,0.2,0.025,,,,,0.7,1.0,,,0.0,0.8904661918149902,0.0852910117392522,0.7,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464577,598,35,28,0.605214404169628,0.6016481567374425,0.6333564734467199,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,std_rel_f0p70_ref1p5_base0p025,context_std_reliability,0.2,0.025,,,,,0.7,1.5,,,0.0,0.8362800562166799,0.07212285303898557,0.7,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464577,598,35,28,0.6032429842131335,0.6011763468013468,0.6351266921207914,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,count_std_rel_f0p75_count12_std1p0_base0p025,context_count_std_reliability,0.2,0.025,,,,,0.75,1.0,0.75,12.0,0.0,0.8600538014106078,0.10230083493504538,0.578125,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464577,598,35,28,0.6185164006805798,0.6157947244554388,0.6314127039222492,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_std_rel_fallback0p05,history_context_std_fallback,0.2,0.025,0.85,100.0,,,0.75,1.0,,,0.05,0.8644968756541032,0.0747575589280953,0.6853443829277214,0.6454849498327759,0.6397240193668765,0.6454849498327759,0.6468158455301313,598,35,28,0.6145156253365208,0.6131024316292174,0.6336688649774384,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,pos_std_rel_fallback0p05,position_context_std_fallback,0.2,0.025,,,0.8,20.0,0.75,1.0,,,0.05,0.8282883719684293,0.08640332037189778,0.6075,0.6438127090301003,0.6586702517059659,0.6438127090301003,0.6760448704734419,598,35,28,0.6027746548642071,0.5971166168487597,0.6356820548420687,28
V2-U,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,hist_pos_std_rel_fallback0p05,history_position_context_std_fallback,0.2,0.025,0.85,100.0,0.85,20.0,0.75,1.0,,,0.05,0.8072620977296727,0.08201733734594702,0.587682808360521,0.6404682274247492,0.6570687777830635,0.6404682274247492,0.6747636913351199,598,35,28,0.6079843208201418,0.6056483628805057,0.6334953141270392,28
