phase,protocol_id,split_version,score_variant,control_count,has_all_controls,all_controls_beaten,min_delta_protocol_gauc,mean_delta_protocol_gauc,min_delta_macro_user_auc,mean_delta_event_transfer_gauc
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p025,3,True,True,0.0427617037952017,0.0682499627229501,0.0325836936092951,0.06602576296981026
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p0,3,True,True,0.0433732352214228,0.06811981676643379,0.0320897957995205,0.06919978942165904
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p025,3,True,True,0.0418109129113712,0.06765599323120253,0.0370206195049416,0.06901542709677133
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p025,3,True,True,0.0412327875044067,0.0675108684985114,0.0352564726870405,0.067679410344661
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p025,3,True,True,0.0413371879557541,0.06745793970028796,0.0355743466535934,0.06870891085023334
